Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	139	844	8	106	10	0
0.00622	143	931	5	131	6	0
0.00627	158	1859	2	149	9	0
0.00631	159	1860	2	150	9	0
0.01248	159	1865	2	150	9	0
0.0125	161	1983	2	152	9	0
0.01252	161	2346	2	152	9	0
0.01258	161	2358	2	152	9	0
0.0126	161	2359	2	152	9	0
0.01268	161	2443	2	152	9	0
0.0127	162	2655	2	153	9	0
0.01272	162	2657	2	153	9	0
0.01277	162	2667	2	153	9	0
0.01879	162	2671	2	153	9	0
0.01881	165	2752	2	156	9	-0.00256676
0.01886	165	2755	2	156	9	-0.00573072
0.01889	165	2756	2	156	9	-0.00363476
0.01894	165	2900	2	156	9	-0.00400231
0.01896	165	2997	2	156	9	-0.00431557
0.01898	165	3063	2	156	9	-0.00462721
0.019	165	3064	2	156	9	-0.00483407
0.01906	165	3083	2	156	9	-0.00498566
0.01913	165	3085	2	156	9	-0.00513672
0.01928	165	3107	2	156	9	-0.00528727
0.0193	165	3169	2	156	9	-0.00543729
0.01932	165	3175	2	156	9	-0.00553592
0.01941	165	3177	2	156	9	-0.00558017
0.01943	165	3180	2	156	9	-0.00562429
0.02515	165	3187	2	156	9	-0.00566831
0.02517	165	3189	2	156	9	-0.00556032
0.02519	165	3206	2	156	9	-0.00545232
0.02526	165	3226	2	156	9	-0.00534433
0.02528	165	3289	2	156	9	-0.00523634
0.02531	165	3311	2	156	9	-0.00512834
0.02533	165	3332	2	156	9	-0.00502035
0.02537	166	3384	2	157	9	-0.00501728
0.02539	166	3409	2	157	9	0.0675495
0.02544	166	3410	2	157	9	0.140054
0.02547	166	3412	2	157	9	0.212497
0.02554	166	3443	2	157	9	0.284879
0.02556	167	3484	2	158	9	0.356939
0.02561	167	3486	2	158	9	0.428877
0.02563	167	3490	2	158	9	0.500693
0.02565	167	3492	2	158	9	0.572386
0.02571	167	3494	2	158	9	0.643958
0.02579	167	3495	2	158	9	0.715408
0.02608	167	3496	2	158	9	0.786737
0.02611	167	3505	2	158	9	0.857945
0.02626	167	3506	2	158	9	0.929033
0.03155	167	3511	2	158	9	1
0.03159	167	3513	1	167	0	0.59225
0.03165	167	3544	1	167	0	0.401558
0.03167	167	3567	1	167	0	0.291038
0.03169	167	3570	1	167	0	0.218913
0.03172	167	3576	1	167	0	0.168135
0.03174	167	3597	1	167	0	0.130475
0.03176	167	3599	1	167	0	0.10141
0.03178	167	3605	1	167	0	0.0783
0.03185	167	3606	1	167	0	0.0594847
0.03187	167	3607	1	167	0	0.0438688
0.03191	167	3623	1	167	0	0.0307001
0.03193	167	3646	1	167	0	0.0194451
0.03195	167	3654	1	167	0	0.00971502
