Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	130	839	4	117	9	0
0.00533	137	930	4	124	9	0
0.00535	149	1388	6	131	9	0
0.00538	153	1773	4	138	11	0
0.0054	153	1774	4	138	11	0
0.01068	153	1858	4	138	11	0
0.0107	154	1862	4	139	11	0
0.01072	155	2254	3	151	2	0
0.01074	158	2262	4	152	2	0
0.0108	158	2407	4	152	2	0
0.01082	158	2411	4	152	2	0
0.01084	158	2412	4	152	2	0
0.0109	158	2446	4	152	2	0
0.01092	158	2472	4	152	2	0
0.01094	158	2481	4	152	2	0
0.01097	158	2482	4	152	2	0
0.01608	158	2516	4	152	2	0
0.0161	158	2560	4	152	2	0
0.01612	159	2566	4	153	2	0
0.01615	159	2630	4	153	2	0
0.01617	161	2790	4	155	2	0
0.01619	161	2793	4	155	2	0
0.01624	161	2841	4	155	2	0
0.01626	161	2904	4	155	2	0.848936
0.01628	161	2916	4	155	2	0.826265
0.0163	161	2917	4	155	2	0.80641
0.01632	161	2921	3	157	2	0.786393
0.01634	161	2958	3	157	2	0.766688
0.01642	161	2959	3	157	2	0.748499
0.01651	161	2960	3	157	2	0.731658
0.01661	161	2963	3	157	2	0.716101
0.01663	161	2964	3	157	2	0.757279
0.01665	161	2966	3	157	2	0.798792
0.01667	161	2969	3	157	2	0.840192
0.02151	161	2971	3	157	2	0.881481
0.02156	161	3008	2	159	2	0.921132
0.02158	161	3011	2	159	2	0.96064
0.0216	161	3012	2	159	2	1
0.02162	161	3016	1	161	0	0.91671
0.02164	161	3025	1	161	0	0.840371
0.02166	161	3033	1	161	0	0.770148
0.02168	161	3049	1	161	0	0.705334
0.0217	161	3089	1	161	0	0.645673
0.02172	162	3177	1	162	0	0.589204
0.02174	162	3199	1	162	0	0.537255
0.02179	162	3203	1	162	0	0.488754
0.02182	162	3204	1	162	0	0.443369
0.02186	162	3217	1	162	0	0.400809
0.02194	162	3224	1	162	0	0.360819
0.02196	162	3228	1	162	0	0.323172
0.02198	162	3232	1	162	0	0.28808
0.022	162	3245	1	162	0	0.254909
0.02202	162	3246	1	162	0	0.223506
0.02204	162	3248	1	162	0	0.193732
0.02208	162	3250	1	162	0	0.165758
0.02242	162	3252	1	162	0	0.139164
0.02268	162	3253	1	162	0	0.113851
0.02701	162	3256	1	162	0	0.0897283
0.02706	162	3258	1	162	0	0.0667134
0.02709	162	3259	1	162	0	0.0449956
0.02711	162	3263	1	162	0	0.0242207
0.02713	163	3300	1	163	0	0.00383653
0.02715	163	3313	1	163	0	0.00360296
0.02717	163	3327	1	163	0	0.00336963
0.02719	163	3330	1	163	0	0.00313654
0.02721	163	3331	1	163	0	0.00290368
0.02724	163	3345	1	163	0	0.00267107
0.02726	163	3369	1	163	0	0.00267952
0.02728	163	3386	1	163	0	0.00268797
0.0273	163	3389	1	163	0	0.00269642
0.02732	163	3391	1	163	0	0.00270485
0.02737	163	3411	1	163	0	0.00271329
0.02739	163	3420	1	163	0	0.00272172
0.02741	163	3428	1	163	0	0.00273015
0.02743	163	3438	1	163	0	0.00273857
0.02745	163	3449	1	163	0	0.00274698
0.02747	163	3454	1	163	0	0.0027554
0.0275	164	3458	1	164	0	0.00227494
