Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00146	6	3	3	2	2	0
0.0017	6	4	3	2	2	0
0.00177	7	5	3	3	2	0
0.0019	10	6	4	4	2	0
0.00204	10	7	4	4	2	0
0.00213	11	8	4	5	2	0
0.00215	12	10	4	6	2	0
0.00237	13	11	4	7	2	0
0.00253	16	12	5	8	2	0
0.00268	16	13	5	8	2	0
0.00271	19	14	6	9	2	0
0.00282	19	15	6	9	2	0
0.00291	20	17	6	9	3	0
0.00294	20	18	6	9	3	0
0.00299	20	19	6	9	3	0
0.00304	22	22	6	9	3	0
0.00307	24	24	6	9	5	0
0.00315	24	25	6	9	5	0
0.00317	25	26	6	9	6	0
0.00329	26	27	6	10	6	0
0.00333	27	28	6	11	6	0
0.00342	27	29	5	13	6	0
0.00349	27	30	5	13	6	0
0.00355	30	31	6	14	6	0
0.00358	30	32	6	14	6	0
0.0036	30	33	6	14	6	0
0.00362	30	34	6	14	6	0
0.00367	31	35	6	15	6	0
0.00374	31	36	6	15	6	0
0.00383	32	38	6	16	6	0.230197
0.00391	35	39	7	17	6	0.230139
0.00394	35	41	7	17	6	0.229884
0.00406	35	42	7	17	6	0.229641
0.00409	36	43	7	18	6	0.228119
0.00413	36	44	7	18	6	0.227314
0.00417	37	46	7	19	6	0.225332
0.00419	40	47	8	20	6	0.226996
0.0043	40	48	8	20	6	0.229064
0.00434	41	49	8	21	6	0.232696
0.00436	42	51	8	22	6	0.237619
0.0044	43	52	8	23	6	0.241365
0.00442	43	54	8	23	6	0.247691
0.00445	43	55	8	23	6	0.254116
0.00454	43	57	7	29	3	0.209996
0.00458	44	58	7	29	4	0.187772
0.00463	44	59	7	29	4	0.166444
0.00465	44	61	7	29	4	0.145152
0.00467	45	62	7	30	4	0.121027
0.00471	46	64	7	31	4	0.0982288
0.00473	46	65	7	31	4	0.0769832
0.00475	46	67	7	31	4	0.058134
0.00481	47	69	7	31	4	0.0414282
0.00484	48	71	7	32	4	0.0259225
0.00486	48	73	7	32	4	0.0116566
0.00488	48	75	7	32	4	-0.00129858
0.00491	51	77	8	32	5	-0.00731834
0.00493	51	78	8	32	5	-0.0149559
0.00496	52	80	8	33	5	-0.0226578
0.00505	53	81	8	34	5	-0.0301156
0.00507	53	83	8	34	5	-0.0363124
0.00509	56	86	9	34	5	-0.0225973
0.00513	56	87	9	34	5	-0.0279516
0.00517	56	90	9	34	5	-0.0330758
0.00519	57	94	9	34	6	-0.0358966
0.00522	58	96	9	34	7	-0.0369096
0.00524	58	97	9	34	7	-0.0379029
0.00526	59	99	9	35	7	-0.0390024
0.00529	59	102	9	35	7	-0.0398675
0.00531	60	105	9	36	7	-0.0409546
0.00539	60	107	9	36	7	-0.0419105
0.00544	61	108	9	36	7	-0.0426445
0.00549	63	109	10	36	7	0.12703
0.00551	63	111	10	36	7	0.126424
0.00553	63	112	10	36	7	0.125825
0.00555	63	116	10	36	7	0.129031
0.00557	65	118	10	37	8	0.13157
0.00561	65	119	9	37	10	-0.0345272
