Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	29	41	7	15	4	0
0.00155	51	114	9	26	7	0
0.0031	85	227	14	44	8	0
0.00464	105	368	13	53	14	0
0.00466	106	411	13	53	15	0
0.00619	119	526	11	62	19	0
0.00621	122	631	10	67	19	0
0.00623	123	639	10	68	19	0
0.00625	123	640	10	68	19	0
0.00774	136	778	8	75	28	0
0.00776	142	867	9	77	28	0
0.00778	142	944	8	79	28	0
0.0078	142	948	8	79	28	0
0.00783	142	949	8	79	28	0
0.00929	142	989	8	79	28	0
0.00931	148	1155	9	83	28	0
0.00933	149	1245	9	83	28	0
0.00935	149	1293	9	83	28	0
0.00937	149	1297	9	83	28	0
0.0094	149	1301	8	87	28	0
0.01085	150	1325	8	87	29	0
0.01087	157	1437	9	89	32	0
0.01089	159	1505	8	90	33	0
0.01091	160	1580	8	91	33	0
0.01093	160	1601	8	91	33	0
0.01095	160	1611	8	91	33	0
0.01097	160	1614	8	91	33	0
0.011	160	1616	8	91	33	0
0.01242	161	1646	8	92	33	0
0.01244	163	1724	9	92	33	0
0.01246	166	1834	9	93	35	-0.0371359
0.01248	166	1892	9	93	35	-0.0363245
0.0125	166	1923	9	93	35	-0.0355338
0.01252	166	1926	9	93	35	-0.0326787
0.01254	166	1943	9	93	35	-0.031896
0.01398	166	1949	9	93	35	-0.0313994
0.014	168	1988	9	94	36	-0.0310976
0.01402	170	2082	8	95	37	-0.031488
0.01404	171	2179	8	95	38	-0.0304619
0.01406	171	2218	8	95	38	-0.0294099
0.01408	171	2252	7	95	40	-0.0293219
0.0141	171	2267	7	95	40	-0.028971
0.01413	171	2269	7	95	40	-0.0285222
0.01415	171	2272	7	95	40	-0.0280686
0.01555	171	2274	7	95	40	-0.0276102
0.01557	171	2297	7	95	40	-0.0271469
0.01559	171	2356	7	95	40	-0.0264812
0.01561	171	2420	7	95	40	-0.0258059
0.01563	171	2476	7	95	40	-0.0251208
0.01565	171	2531	7	95	40	-0.0244257
0.01568	171	2533	7	95	40	-0.0235117
0.0157	171	2548	7	95	40	-0.0227401
0.01578	171	2549	7	95	40	-0.0222851
0.01713	171	2551	7	95	40	-0.0219071
0.01715	172	2573	7	96	40	-0.0216514
0.01717	173	2626	7	96	40	-0.0213935
0.01719	173	2664	7	96	40	-0.0211331
0.01721	173	2741	7	96	40	-0.0208704
0.01723	173	2760	7	96	40	-0.0206052
0.01725	173	2787	7	96	40	-0.0202898
0.01727	173	2794	7	96	40	-0.0199712
0.01731	173	2798	7	96	40	-0.0198581
0.01733	173	2801	7	96	40	-0.0197442
0.01873	173	2811	7	96	40	-0.0196295
0.01875	173	2850	6	96	42	-0.0191491
0.01877	175	2895	7	96	42	-0.0186148
0.01879	177	2930	8	96	42	-0.0179326
0.01881	177	2958	8	96	42	-0.0174892
0.01883	177	3008	8	96	42	-0.0171149
0.01886	177	3010	8	96	42	-0.0168517
0.01888	177	3028	8	96	42	-0.0165869
0.01891	177	3029	8	96	42	-0.0165331
0.01894	177	3030	8	96	42	-0.0164791
0.02029	177	3032	8	96	42	-0.016425
0.02031	177	3041	8	96	42	-0.0163708
0.02033	177	3051	8	96	42	-0.0163164
0.02035	177	3088	8	96	42	-0.0162619
0.02037	177	3119	8	96	42	-0.0162073
0.02039	177	3173	8	96	42	-0.0161525
0.02041	177	3191	8	96	42	-0.0160976
0.02043	177	3198	8	96	42	-0.0160426
0.02045	177	3228	8	96	42	-0.0159874
0.02048	177	3230	8	96	42	-0.0159321
0.02051	177	3235	8	96	42	-0.0158766
0.0219	178	3238	8	96	43	-0.0156296
0.02192	178	3244	8	96	43	-0.0153379
0.02194	178	3262	8	96	43	-0.0150449
0.02196	178	3290	8	96	43	-0.0147505
0.02198	178	3316	8	96	43	-0.0144547
0.022	178	3323	8	96	43	-0.0141575
0.02202	178	3360	8	96	43	-0.0138589
0.02204	178	3373	8	96	43	-0.0135589
0.02208	178	3388	8	96	43	-0.0132574
0.02215	178	3389	8	96	43	-0.0129546
0.02351	178	3391	8	96	43	-0.0126503
0.02353	178	3399	8	96	43	-0.0125534
0.02355	178	3412	8	96	43	-0.0124563
0.02357	178	3419	8	96	43	-0.0123591
0.02359	178	3452	8	96	43	-0.0122618
0.02361	178	3473	8	96	43	-0.0121643
0.02363	178	3485	8	96	43	-0.0120666
0.02365	178	3495	8	96	43	-0.0119688
0.02367	178	3503	8	96	43	-0.0118709
0.02372	178	3509	8	96	43	-0.0117728
0.02511	178	3515	8	96	43	-0.0116745
0.02513	178	3522	8	96	43	-0.0115762
0.02516	178	3548	8	96	43	-0.0114776
0.02518	178	3558	8	96	43	-0.0113789
0.0252	178	3575	8	96	43	-0.0112801
0.02522	178	3594	8	96	43	-0.0111811
0.02524	178	3605	8	96	43	-0.0110819
0.02527	178	3607	8	96	43	-0.0109826
0.02529	178	3614	8	96	43	-0.0108832
0.02531	178	3616	8	96	43	-0.0107836
0.02533	178	3618	8	96	43	-0.0106838
0.02537	178	3622	8	96	43	-0.0106838
0.02666	178	3623	8	96	43	-0.0106838
0.02669	178	3624	8	96	43	-0.0106838
0.02672	178	3630	8	96	43	-0.0106838
0.02674	178	3637	8	96	43	-0.0106838
0.02676	178	3646	8	96	43	-0.0106838
0.02678	178	3659	8	96	43	-0.0106838
0.0268	178	3667	8	96	43	-0.0106838
0.02682	178	3675	8	96	43	-0.0106838
0.02684	178	3686	8	96	43	-0.0106838
0.02687	178	3695	8	96	43	-0.0106838
0.02689	178	3699	8	96	43	-0.0106838
0.02691	178	3701	8	96	43	-0.0106838
0.02695	178	3703	8	96	43	-0.0106387
0.02828	178	3705	8	96	43	-0.0105936
0.02831	178	3706	8	96	43	0.0077153
0.02833	178	3708	8	96	43	0.0260242
0.02835	178	3715	8	96	43	0.044333
0.02837	178	3721	8	96	43	0.0626419
0.0284	178	3734	8	96	43	0.0809507
0.02842	178	3743	8	96	43	0.0992596
0.02844	178	3748	8	96	43	0.117568
0.02846	178	3758	8	96	43	0.135877
0.02848	178	3761	8	96	43	0.154186
0.0285	178	3766	8	96	43	0.172495
0.02853	178	3772	8	96	43	0.190804
0.02857	178	3773	8	96	43	0.209113
0.02861	178	3774	8	96	43	0.227422
0.02997	178	3776	8	96	43	0.24573
0.02999	178	3780	8	96	43	0.264039
0.03001	178	3784	8	96	43	0.282348
0.03004	178	3792	8	96	43	0.300657
0.03007	178	3795	8	96	43	0.318966
0.03009	178	3799	8	96	43	0.337275
0.03012	178	3803	8	96	43	0.355584
0.03014	178	3808	8	96	43	0.373892
0.03021	178	3809	8	96	43	0.392201
0.03155	178	3812	8	96	43	0.41051
0.03158	178	3815	8	96	43	0.428819
0.03162	178	3817	8	96	43	0.447128
0.03164	178	3818	8	96	43	0.465437
0.03166	178	3820	8	96	43	0.483746
0.03168	178	3824	8	96	43	0.502054
0.0317	179	3827	8	97	43	0.520258
0.03172	179	3831	8	97	43	0.538449
0.03174	179	3833	7	140	12	0.457005
0.03177	179	3834	7	140	12	0.393131
0.0318	179	3836	7	140	12	0.34161
0.03314	179	3838	7	140	12	0.299384
0.03318	179	3840	7	140	12	0.264001
0.0332	179	3842	7	140	12	0.234012
0.03322	179	3843	7	140	12	0.208205
0.03326	179	3845	7	140	12	0.186071
0.03328	179	3847	7	140	12	0.166647
0.03331	179	3850	7	140	12	0.149463
0.03333	179	3853	7	140	12	0.134153
0.03335	179	3855	7	140	12	0.120426
0.03338	179	3856	7	140	12	0.108632
0.03344	179	3857	7	140	12	0.0979429
0.03346	179	3858	7	140	12	0.088211
0.03349	179	3859	7	140	12	0.079313
0.03484	179	3861	7	140	12	0.0711461
0.03495	179	3862	7	140	12	0.0649091
0.035	179	3863	7	140	12	0.0591457
0.03502	179	3866	7	140	12	0.0538039
0.03504	179	3867	7	140	12	0.0488391
0.03508	179	3868	7	140	12	0.0442127
0.03646	179	3869	7	140	12	0.0398912
0.03649	179	3870	7	140	12	0.0358455
0.03656	179	3872	7	140	12	0.03205
0.03658	179	3874	7	140	12	0.0284822
0.03661	179	3875	7	140	12	0.0562347
0.03663	179	3878	7	140	12	0.0824167
0.03674	180	3879	7	141	12	0.107065
0.03676	180	3880	7	141	12	0.1304
0.03809	180	3882	7	141	12	0.15251
0.03813	180	3883	7	141	12	0.181662
0.03822	180	3884	7	141	12	0.2108
0.03828	182	3886	7	143	12	0.239688
0.03836	182	3887	7	143	12	0.268536
0.03975	183	3890	7	144	12	0.297212
0.03977	183	3891	7	144	12	0.325837
0.03979	183	3896	5	148	12	0.353804
0.03982	183	3897	5	148	12	0.381696
0.03989	183	3898	5	148	12	0.409487
0.03991	183	3900	5	148	12	0.43736
0.03994	183	3903	5	148	12	0.465132
0.03997	183	3906	4	158	12	0.491064
0.04	183	3907	4	158	12	0.516785
0.04002	183	3908	4	158	12	0.542299
0.04005	183	3909	4	158	12	0.567607
0.04008	183	3910	4	158	12	0.592713
0.04128	183	3911	3	170	11	0.612212
0.0414	183	3913	3	170	11	0.664053
0.04155	183	3914	3	170	11	0.714875
0.04157	183	3915	3	170	11	0.764708
0.04162	183	3919	3	170	11	0.813581
0.0417	183	3920	3	170	11	0.86152
0.04287	183	3922	3	170	11	0.908553
0.04313	183	3923	3	170	11	0.954705
0.04315	183	3925	3	170	11	1
0.04317	183	3927	2	181	2	0.841112
0.0432	183	3929	2	181	2	0.726497
0.04322	183	3931	2	181	2	0.639914
0.04324	183	3933	2	181	2	0.57228
0.04326	183	3935	2	181	2	0.517926
0.04328	183	3937	2	181	2	0.47329
0.04331	183	3938	2	181	2	0.435979
0.04333	183	3939	2	181	2	0.404328
0.04341	183	3940	2	181	2	0.377216
0.04343	183	3941	2	181	2	0.353668
0.04452	183	3945	2	181	2	0.333055
0.04459	183	3950	2	181	2	0.314835
0.04461	183	3952	2	181	2	0.298717
0.0447	183	3953	2	181	2	0.284268
0.04473	184	3957	2	182	2	0.271071
0.04478	184	3959	2	182	2	0.259119
0.0448	184	3960	2	182	2	0.248245
0.04484	184	3961	2	182	2	0.238483
0.04489	184	3964	2	182	2	0.22952
0.04493	184	3968	2	182	2	0.221263
0.04502	184	3970	2	182	2	0.213631
0.04508	184	3971	2	182	2	0.206681
0.04516	184	3972	1	184	0	0.181359
0.04615	184	3973	1	184	0	0.15949
0.04621	184	3974	1	184	0	0.140415
0.04625	184	3975	1	184	0	0.123629
0.04632	184	3976	1	184	0	0.108744
0.04636	184	3977	1	184	0	0.0954541
0.04638	184	3980	1	184	0	0.0835161
0.04647	184	3982	1	184	0	0.0727337
0.04651	184	3986	1	184	0	0.0629468
0.04654	184	3987	1	184	0	0.0579294
0.04656	184	3990	1	184	0	0.0531565
0.04659	184	3995	1	184	0	0.0486107
0.04661	184	3996	1	184	0	0.044276
0.04664	184	3997	1	184	0	0.0401381
0.04672	184	3999	1	184	0	0.036184
0.04674	184	4000	1	184	0	0.0324016
0.04678	184	4001	1	184	0	0.0287799
0.0468	184	4002	1	184	0	0.0253091
0.04702	184	4003	1	184	0	0.0219797
0.04785	184	4004	1	184	0	0.0187834
0.048	184	4005	1	184	0	0.0157124
0.04803	184	4007	1	184	0	0.0127593
0.04808	184	4008	1	184	0	0.00991758
0.04811	184	4009	1	184	0	0.00719566
0.04816	184	4013	1	184	0	0.00457212
0.04818	184	4014	1	184	0	0.00204173
0.04821	184	4017	1	184	0	-0.000400398
0.04824	184	4019	1	184	0	-0.00275879
0.04826	184	4020	1	184	0	-0.00503769
0.04829	186	4024	1	186	0	-0.00733652
0.04831	186	4025	1	186	0	-0.00955882
0.04841	186	4026	1	186	0	-0.00960481
0.04845	186	4028	1	186	0	-0.00965077
0.04852	186	4029	1	186	0	-0.0096967
0.04854	186	4030	1	186	0	-0.00974259
0.04951	186	4031	1	186	0	-0.00978845
0.04955	186	4032	1	186	0	-0.00983428
0.0496	186	4033	1	186	0	-0.00988008
0.04963	186	4034	1	186	0	-0.00992585
0.04971	186	4036	1	186	0	-0.00997158
0.04976	186	4037	1	186	0	-0.0100173
0.04978	186	4039	1	186	0	-0.010063
0.04984	186	4041	1	186	0	-0.0101086
0.04987	186	4044	1	186	0	-0.0101542
0.0499	186	4046	1	186	0	-0.0101998
0.04992	186	4048	1	186	0	-0.0102453
0.04994	186	4050	1	186	0	-0.0102908
0.04997	186	4052	1	186	0	-0.0103363
0.05002	186	4054	1	186	0	-0.0103818
0.05006	186	4055	1	186	0	-0.0104272
0.05015	186	4056	1	186	0	-0.0104726
0.05018	186	4057	1	186	0	-0.0105179
0.05025	186	4058	1	186	0	-0.0105632
0.05037	186	4059	1	186	0	-0.0106085
0.05142	186	4061	1	186	0	-0.0106538
0.0515	186	4062	1	186	0	-0.010699
0.05153	186	4065	1	186	0	-0.0107442
0.05155	186	4066	1	186	0	-0.0107894
0.05157	186	4067	1	186	0	-0.0108345
0.05159	186	4070	1	186	0	-0.0108796
0.05169	186	4071	1	186	0	-0.0108796
0.05171	186	4073	1	186	0	-0.0108796
0.05175	186	4075	1	186	0	-0.0108796
0.05177	186	4076	1	186	0	-0.0108796
0.0519	186	4077	1	186	0	-0.0108796
0.05299	186	4078	1	186	0	-0.0108796
0.05305	186	4080	1	186	0	-0.0108796
0.05313	186	4081	1	186	0	-0.0108796
0.05318	186	4082	1	186	0	-0.0108796
0.05324	186	4083	1	186	0	-0.0108796
0.05327	186	4084	1	186	0	-0.0108796
0.0533	186	4086	1	186	0	-0.0108796
0.05332	186	4088	1	186	0	-0.0108796
0.05334	186	4089	1	186	0	-0.0108563
0.05338	186	4090	1	186	0	-0.010833
0.0534	186	4092	1	186	0	-0.0108097
0.05342	186	4093	1	186	0	-0.0107864
0.05353	186	4095	1	186	0	-0.0107631
0.05488	186	4096	1	186	0	-0.0107398
0.05495	186	4097	1	186	0	-0.0107165
0.05501	186	4099	1	186	0	-0.0106932
0.05661	186	4100	1	186	0	-0.0106699
0.05664	186	4101	1	186	0	-0.0106467
0.05667	186	4102	1	186	0	-0.0106234
0.05676	186	4103	1	186	0	-0.0106001
0.05684	186	4104	1	186	0	-0.0105768
0.05827	186	4105	1	186	0	-0.0105535
0.05831	186	4107	1	186	0	-0.0105302
0.05836	186	4108	1	186	0	-0.0105069
0.05841	186	4109	1	186	0	-0.0104836
0.05845	186	4110	1	186	0	-0.0104603
0.06002	186	4112	1	186	0	-0.010437
0.06008	186	4114	1	186	0	-0.0104137
0.06165	186	4115	1	186	0	-0.0103904
0.06187	186	4116	1	186	0	-0.0103671
0.06195	186	4120	1	186	0	-0.0103438
0.06331	186	4121	1	186	0	-0.0103205
0.06344	186	4122	1	186	0	-0.0102972
0.06349	186	4125	1	186	0	-0.0102739
0.06358	186	4126	1	186	0	-0.0102506
