Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	7	4	3	3	2	0
0.00099	7	5	3	3	2	0
0.00186	13	9	5	4	3	0
0.00198	14	10	5	4	3	0
0.00278	18	13	6	6	3	0
0.00296	21	16	6	6	6	0
0.0037	27	21	7	10	6	0
0.00374	28	22	7	11	6	0
0.00385	31	27	6	11	8	0
0.00395	34	28	7	11	8	0
0.00398	34	29	7	11	8	0
0.00462	39	35	8	14	8	0
0.00464	42	36	9	15	8	0
0.00481	42	37	9	15	8	0
0.00555	44	45	6	25	8	0
0.00558	47	48	6	28	8	0
0.0056	50	49	7	28	8	0
0.0059	50	52	6	30	8	0
0.00592	53	53	7	30	8	0
0.00594	53	54	7	30	8	0
0.00597	54	56	6	30	8	0
0.00648	56	64	6	31	8	0
0.0065	59	68	7	32	8	0
0.00653	60	69	7	33	8	0
0.00655	61	70	7	34	8	0
0.00689	62	73	7	35	8	0
0.00691	63	74	7	35	8	0
0.00702	63	75	7	35	8	0
0.00741	64	82	7	36	8	0
0.00743	68	85	8	38	8	0
0.00745	68	86	8	38	8	0.129522
0.00788	68	87	8	38	8	0.118944
0.0079	69	88	8	38	9	0.111477
0.00793	70	90	7	38	9	0.0333438
0.00795	71	91	7	38	9	0.0257784
0.00797	72	92	7	38	10	0.0215519
0.00833	72	96	7	38	10	0.0157563
0.00835	73	99	7	39	10	0.0111059
0.00838	79	104	8	43	10	0.0754497
0.00846	79	105	8	43	10	0.069391
0.00888	81	108	8	44	11	0.0643613
0.0089	81	109	8	44	11	0.05972
0.00893	82	111	8	44	11	0.0558072
0.00897	83	112	8	44	12	0.0531741
0.00926	84	117	8	45	12	0.0503791
0.00928	85	121	8	46	12	0.0490906
0.0093	87	126	8	48	12	0.0475792
0.00932	89	128	8	50	12	0.0451729
0.00935	92	130	9	51	12	0.68133
0.00937	93	131	9	52	12	0.678825
0.0094	93	132	9	52	12	0.675973
0.00964	94	134	9	52	13	0.674028
0.00987	95	139	9	52	14	0.673047
0.00989	95	142	9	52	14	0.67221
0.00991	99	146	9	52	16	0.672747
0.00993	100	147	9	52	16	0.673561
0.00998	100	149	9	52	16	0.674539
0.0102	102	157	10	52	16	0.962369
0.01022	104	163	10	54	16	0.963034
0.01024	106	170	10	56	16	0.963517
0.01026	110	175	10	59	16	0.963981
0.01085	111	177	10	60	16	0.964275
0.01087	112	179	10	61	16	0.964392
0.01089	112	180	9	61	18	0.678027
0.01091	114	183	9	63	18	0.678176
0.01099	114	184	9	63	18	0.678327
0.01112	116	189	9	65	18	0.67765
0.01114	116	198	8	65	18	0.038517
0.01116	116	204	8	65	18	0.0379679
0.01118	118	209	9	65	18	0.676527
0.01121	120	213	9	66	19	0.677044
0.01123	120	214	8	68	19	0.0384547
0.01153	123	216	9	68	19	0.676773
0.01156	124	217	9	68	19	0.676635
0.01159	124	219	9	68	19	0.67585
0.01185	127	224	8	72	20	0.0366572
0.01187	128	226	8	72	21	0.0365473
0.01189	132	230	9	72	23	0.676027
0.01191	132	231	9	72	23	0.677491
0.012	132	232	9	72	23	0.678906
0.01202	134	234	9	72	25	0.681091
0.01207	134	247	9	72	25	0.683335
0.01209	135	258	9	73	25	0.684995
0.01211	135	263	9	73	25	0.686242
0.01213	135	267	9	73	25	0.687508
0.01215	137	273	9	75	25	0.687779
0.01218	137	277	9	75	25	0.687873
0.0122	137	278	9	75	25	0.687967
0.01222	137	279	9	75	25	0.687894
0.01256	137	281	9	75	25	0.688021
0.01285	140	289	9	78	25	0.687996
0.01287	140	297	9	78	25	0.688274
0.01289	140	299	9	78	25	0.688496
0.01292	141	300	9	78	26	0.689247
0.01298	141	305	9	78	26	0.689304
0.013	141	309	9	78	26	0.689605
0.01302	142	315	9	79	26	0.689772
0.01304	142	321	9	79	26	0.690129
0.01306	142	325	9	79	26	0.690489
0.01308	144	328	9	81	26	0.690572
0.0131	144	330	9	81	26	0.690496
0.01384	145	334	9	82	26	0.690038
0.01387	145	339	9	82	26	0.689759
0.01389	145	340	9	82	26	0.689478
0.01391	146	344	9	82	27	0.689631
0.01393	146	351	9	82	27	0.689785
0.01395	147	358	9	82	27	0.689822
0.01397	147	365	9	82	27	0.689408
0.01399	150	376	9	85	27	0.68804
0.01401	151	381	9	85	28	0.687097
0.01404	152	386	9	85	29	0.686546
0.01406	152	388	9	85	29	0.685556
0.01409	152	389	9	85	29	0.684567
0.01411	152	392	9	85	29	0.683648
0.01422	152	393	9	85	29	0.682729
0.01447	152	394	9	85	29	0.681811
0.01451	153	398	9	85	30	0.681391
0.01455	153	399	9	85	30	0.680969
0.01458	154	400	9	85	31	0.680945
0.01483	154	403	9	85	31	0.680921
0.01485	155	408	9	86	31	0.680776
0.01487	155	416	9	86	31	0.680953
0.01489	156	426	9	86	32	0.681312
0.01491	156	431	9	86	32	0.681534
0.01493	156	438	9	86	32	0.681549
0.01495	157	442	9	87	32	0.681444
0.01498	157	444	9	87	32	0.681078
0.015	157	446	9	87	32	0.680777
0.01504	157	449	9	87	32	0.680474
0.01508	157	451	9	87	32	0.680169
0.0155	158	453	9	87	33	0.680317
0.01581	158	456	9	87	33	0.680467
0.01583	158	460	9	87	33	0.680743
0.01585	158	471	9	87	33	0.681022
0.01587	158	478	9	87	33	0.681304
0.01589	158	494	9	87	33	0.681376
0.01591	159	500	9	87	34	0.681818
0.01593	160	506	9	87	35	0.682562
0.01599	160	508	9	87	35	0.683316
0.01601	160	510	9	87	35	0.684292
0.01603	160	512	9	87	35	0.685065
0.01609	160	513	9	87	35	0.68551
0.01645	160	514	9	87	35	0.685833
0.01647	160	515	9	87	35	0.686158
0.01649	160	517	9	87	35	0.686487
0.01662	160	518	9	87	35	0.68682
0.01674	160	520	9	87	35	0.687156
0.01677	160	528	9	87	35	0.687297
0.01679	161	535	9	88	35	0.687314
0.01681	161	539	9	88	35	0.687143
0.01683	161	546	9	88	35	0.687029
0.01685	161	559	8	90	35	0.0482739
0.01687	162	572	8	90	36	0.0482879
