Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	23	2	2	21	2	0
0.00034	26	5	4	19	3	0
0.00036	27	6	4	20	3	0
0.00066	33	11	7	18	4	0
0.0007	35	12	7	20	4	0
0.00098	35	13	8	18	4	0
0.001	35	15	7	18	6	0
0.00105	36	16	7	18	7	0
0.0013	40	20	8	17	8	0
0.00133	40	21	8	17	8	0
0.00162	44	24	10	17	8	0
0.00166	44	26	10	17	8	0
0.00173	44	29	10	16	9	0
0.00175	44	29	10	16	9	0
0.00177	44	30	10	16	9	0
0.00194	46	34	11	16	9	0
0.00199	47	36	10	17	12	0
0.00207	47	38	10	16	13	0
0.0021	48	39	10	17	13	0
0.00226	52	47	11	16	15	0
0.00232	53	49	11	17	15	0
0.00242	56	54	12	19	14	0
0.00244	57	55	12	19	15	0
0.00258	65	68	12	25	15	0
0.00265	65	70	12	26	14	0
0.00277	65	71	12	26	14	0
0.0028	66	72	12	26	15	0
0.00286	66	73	13	26	13	0
0.00289	66	73	13	26	13	0
0.00291	71	85	13	30	12	0
0.00297	71	86	13	30	12	0.0301111
0.00299	73	89	13	32	12	0.0422115
0.0031	73	90	13	32	11	0.0494147
0.00313	73	91	13	32	11	0.0574404
0.00315	73	92	13	32	11	0.0627566
0.00317	73	95	13	32	11	0.0694724
0.00321	73	95	13	32	11	0.075633
0.00323	83	108	16	35	12	0.720022
0.00332	83	109	16	36	11	0.721699
0.00345	83	111	16	36	11	0.722441
0.00347	83	113	16	36	11	0.723269
0.00349	84	115	16	36	12	0.72497
0.00353	84	118	16	37	11	0.725541
0.00355	86	135	16	38	11	0.725057
0.00358	87	136	16	38	12	0.725491
0.00365	89	138	16	41	11	0.724201
0.00379	90	142	16	41	11	0.722977
0.00381	91	144	16	42	11	0.720974
0.00383	92	146	16	43	11	0.718516
0.00385	93	148	16	43	11	0.716347
0.00387	101	163	17	46	13	1.05119
0.00396	101	164	18	46	11	1.05824
0.00398	101	166	18	46	11	1.05614
0.00414	101	169	18	46	11	1.05404
0.00416	101	172	18	46	11	1.05261
0.00418	102	177	18	47	11	1.05138
0.0042	103	199	18	47	11	1.04983
0.00423	103	199	17	47	11	1.0383
0.0043	103	201	17	47	11	1.03705
0.00448	103	204	17	47	11	1.03586
0.0045	103	206	17	47	11	1.03527
0.00452	105	225	17	50	10	1.03344
0.00455	105	226	17	50	10	1.03186
0.00462	107	228	16	50	11	0.695094
0.00464	107	230	16	51	10	0.693797
0.0048	108	232	16	52	10	0.692389
0.00482	109	236	16	53	10	0.690656
0.00484	113	263	14	57	10	0.0891152
0.00486	113	268	13	61	10	0.0447181
0.00488	113	270	13	62	10	0.0422796
0.0049	113	271	13	63	10	0.03986
0.00492	113	272	13	63	10	0.037546
0.00497	114	274	13	64	10	0.0350161
0.00499	114	274	13	64	10	0.0328487
0.00501	114	274	13	64	10	0.0309533
0.0051	114	275	13	64	10	0.0287095
0.00514	114	278	13	64	10	0.0268927
0.00516	116	292	13	65	10	0.0250696
0.00518	117	300	12	65	10	0.0135265
0.0052	117	301	12	65	10	0.0119223
0.00523	117	301	12	65	10	0.0103685
0.00525	117	303	12	65	10	0.00871168
0.00531	118	305	11	68	10	0.00487437
0.00535	118	306	11	68	10	0.00335792
0.00544	119	307	11	68	10	0.001919
0.00547	119	308	11	69	10	0.000437533
0.00549	122	345	11	70	11	-0.000639099
0.00551	122	349	11	70	11	-0.0018506
0.00555	122	352	11	70	11	-0.00303464
0.00557	122	355	11	70	11	-0.00419214
0.0056	122	356	11	70	11	-0.00532398
0.00563	123	360	11	70	11	-0.006431
0.00565	123	361	11	70	11	-0.00725067
0.00572	123	362	10	72	11	-0.00869053
0.00578	123	365	10	72	11	-0.0097507
0.0058	123	368	10	72	11	-0.0106014
0.00582	127	403	9	74	12	-0.0112593
0.00584	127	404	9	74	12	-0.0118419
0.00586	127	407	9	74	12	-0.0122884
0.0059	127	408	9	74	12	-0.0126025
0.00592	127	409	9	75	12	-0.0129417
0.00594	127	409	9	75	12	-0.0132254
0.00597	127	413	9	75	12	-0.0135092
0.00611	127	416	9	75	12	-0.0137611
0.00613	129	432	9	78	12	-0.0141856
0.00615	132	451	10	78	13	-0.0141457
0.00618	133	452	10	78	13	-0.0143451
0.0062	133	454	10	79	13	-0.0147788
0.00622	133	455	10	79	13	-0.0151824
0.00624	133	459	10	79	13	-0.0155878
0.00627	133	463	10	79	13	-0.0159949
0.00629	134	465	10	80	13	-0.0165432
0.00631	135	469	11	80	13	-0.0165702
0.00634	135	469	11	80	13	-0.0170305
0.00642	136	472	11	81	13	-0.0175463
0.00644	136	474	11	81	13	-0.0180651
0.00646	140	527	12	83	14	-0.016077
0.00648	141	535	12	83	15	-0.0162188
0.00653	141	535	12	83	15	-0.0163619
0.00655	141	535	12	83	15	-0.0164869
0.00657	141	536	12	83	15	-0.016613
0.00659	141	539	12	83	15	-0.0167402
0.00661	141	541	12	83	15	-0.0168685
0.00663	142	546	12	84	15	-0.0170446
0.00665	142	548	12	84	15	-0.0171268
0.00667	142	548	12	84	15	-0.0172097
0.00669	142	549	12	84	15	-0.0172935
0.00678	143	576	11	86	16	-0.0196097
0.0068	143	596	11	86	16	-0.0196125
