Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	9	6	4	3	2	0
0.00058	18	11	8	3	3	0
0.0006	18	12	8	3	3	0
0.00114	29	24	9	9	5	0
0.00171	41	42	9	20	6	0
0.00176	41	46	9	20	6	0
0.00227	57	76	8	32	8	0
0.00234	58	79	8	33	8	0
0.00284	76	116	9	42	8	0
0.00292	76	120	9	42	8	0
0.00341	87	156	8	51	9	0
0.00351	87	160	8	51	9	0
0.00398	101	227	8	64	10	0
0.004	101	228	8	64	10	0
0.00409	101	231	8	64	10	0
0.00454	111	301	8	71	13	0
0.00456	111	304	8	71	13	0
0.00468	111	310	8	71	13	0
0.00472	112	311	8	71	14	0
0.00511	123	375	9	72	21	0
0.00513	124	381	8	72	22	0.55041
0.00526	124	387	8	72	22	0.548434
0.00532	124	388	8	72	22	0.546221
0.00568	128	487	8	75	23	0.54419
0.0057	128	489	8	75	23	0.542698
0.00585	128	496	8	75	23	0.54209
0.00625	136	618	8	80	25	0.541573
0.00627	136	629	8	80	25	0.541422
0.00643	136	632	8	80	25	0.541339
0.0065	136	634	8	80	25	0.541821
0.00682	143	752	8	84	27	0.542498
0.00684	144	773	8	84	28	0.543655
0.00702	145	775	8	85	28	0.544822
0.0071	145	777	8	85	28	0.546578
0.00739	148	902	7	86	32	0.000947066
0.00741	149	945	7	86	33	0.00396369
0.00761	149	949	7	86	33	0.00642374
0.00768	149	953	7	86	33	0.00908725
0.00796	150	1063	7	86	34	0.0121725
0.00798	150	1138	7	86	34	0.0152064
0.008	150	1139	7	86	34	0.0163251
0.00819	150	1143	7	86	34	0.0172813
0.00829	150	1146	7	86	34	0.0182607
0.00853	152	1225	7	88	34	0.0190961
0.00855	153	1315	7	88	34	0.0199349
0.00857	153	1319	7	88	34	0.0207926
0.00878	153	1323	7	88	34	0.0216701
0.00887	153	1325	7	88	34	0.0224812
0.0089	153	1326	7	88	34	0.0233095
0.0091	154	1372	7	88	35	0.0243881
0.00912	155	1459	7	89	35	0.0254017
0.00914	155	1465	7	89	35	0.0263004
0.00938	155	1467	7	89	35	0.0270412
0.00968	155	1548	7	89	35	0.0278521
0.0097	155	1613	7	89	35	0.0286777
0.00972	155	1617	7	89	35	0.0289386
0.01006	155	1620	7	89	35	0.0290654
0.01008	155	1622	7	89	35	0.0291926
0.01024	155	1637	7	89	35	0.02932
0.01026	155	1731	6	92	35	-0.00730228
0.01028	158	1763	7	92	36	0.0289843
0.0103	158	1764	7	92	36	0.0287068
0.01056	158	1766	7	92	36	0.0283661
0.01065	158	1767	7	92	36	0.0280257
0.01067	158	1770	7	92	36	0.0277818
0.01082	158	1820	7	92	36	0.0275375
0.01084	158	1915	7	92	36	0.0272929
0.01086	158	1931	7	92	36	0.0270927
0.01088	158	1932	7	92	36	0.0268923
0.01113	158	1933	7	92	36	0.0265865
0.01125	158	1936	7	92	36	0.0261612
0.01128	158	1937	7	92	36	0.0256823
0.0113	158	1938	7	92	36	0.0252036
0.01139	158	1949	7	92	36	0.02463
0.01141	158	2028	7	92	36	0.023966
0.01143	160	2054	8	92	36	0.571562
0.01145	160	2059	8	92	36	0.570939
0.01173	160	2060	8	92	36	0.570317
0.01186	160	2062	8	92	36	0.569694
0.01188	160	2063	8	92	36	0.569072
0.01196	160	2071	8	92	36	0.568579
0.01198	160	2141	7	92	38	0.0201913
0.012	162	2200	6	93	39	-0.0161889
0.01202	162	2210	6	93	39	-0.0162396
0.01234	162	2211	6	93	39	-0.0162905
0.01244	162	2212	6	93	39	-0.0163418
0.01254	162	2241	6	93	39	0.00196318
0.01256	163	2313	6	94	39	0.0202847
0.01258	164	2360	6	94	39	0.0387078
0.0126	165	2362	6	94	40	0.0576818
0.01262	165	2363	6	94	40	0.0768059
0.01266	166	2364	6	94	41	0.0963988
0.01292	166	2365	6	94	41	0.116192
0.01311	167	2375	6	94	42	0.136537
0.01313	168	2416	6	94	43	0.157491
0.01315	169	2473	6	95	43	0.178583
0.01317	169	2483	6	95	43	0.199967
0.01319	169	2484	6	95	43	0.221648
0.01352	169	2488	6	95	43	0.243634
0.01359	169	2489	6	95	43	0.26593
0.01365	169	2490	6	95	43	0.288543
0.01369	169	2506	6	95	43	0.31148
0.01371	170	2553	6	95	43	0.333544
0.01373	170	2594	6	95	43	0.355458
0.01375	171	2607	6	95	43	0.377534
0.01377	171	2608	6	95	43	0.399772
0.01425	171	2610	5	138	11	0.311014
0.01427	171	2625	5	138	11	0.250077
0.01429	171	2660	5	138	11	0.205098
0.01431	172	2706	5	139	11	0.170085
0.01433	172	2711	5	139	11	0.142194
0.01435	172	2713	5	139	11	0.119574
0.01438	172	2714	5	139	11	0.100764
0.01443	172	2718	5	139	11	0.0849582
0.0146	172	2721	5	139	11	0.0714236
0.01484	172	2732	5	139	11	0.0597066
0.01486	172	2748	5	139	11	0.0495334
0.01488	172	2795	5	139	11	0.0405992
0.0149	172	2804	5	139	11	0.0326905
0.01492	172	2809	5	139	11	0.0256403
0.01533	172	2810	5	139	11	0.0193161
0.01536	172	2813	5	139	11	0.0136112
0.01542	172	2822	5	139	11	0.0084389
0.01544	172	2855	5	139	11	0.00372792
0.01546	172	2880	5	139	11	-0.000580815
0.01548	172	2904	5	139	11	-0.00453671
0.0155	172	2905	5	139	11	-0.00818141
0.01553	173	2908	5	140	11	-0.00824298
0.01555	173	2910	5	140	11	-0.00830446
0.01558	173	2912	5	140	11	-0.00836586
0.0156	173	2913	5	140	11	-0.00839653
0.016	173	2925	5	140	11	-0.00842718
0.01602	175	2949	6	140	11	-0.00683049
0.01604	175	2965	6	140	11	-0.0068611
0.01606	175	2978	6	140	11	-0.00689168
0.01608	175	2981	6	140	11	-0.00692225
0.0161	175	2983	6	140	11	-0.00695279
0.01612	175	2984	6	140	11	-0.00698331
0.01628	175	2989	6	140	11	-0.00701382
0.01654	175	2992	6	140	11	-0.00701239
0.01657	175	2996	6	140	11	-0.00701096
0.01659	175	3013	6	140	11	-0.00700954
0.01661	175	3036	6	140	11	-0.00700812
0.01663	175	3052	6	140	11	-0.0070067
0.01665	175	3057	6	140	11	-0.00700527
0.01667	175	3059	6	140	11	-0.00700385
0.01708	175	3060	6	140	11	-0.0069706
0.01716	175	3070	6	140	11	-0.00687373
0.01718	175	3085	6	140	11	-0.00674645
0.0172	175	3108	6	140	11	-0.00661917
0.01722	175	3122	6	140	11	-0.00649188
0.01724	175	3124	6	140	11	-0.0063646
0.01727	175	3125	6	140	11	-0.00623732
0.01755	175	3126	6	140	11	-0.00607822
0.01775	175	3139	6	140	11	-0.00591911
0.01777	175	3155	6	140	11	-0.00576001
0.01779	175	3164	6	140	11	-0.00556908
0.01781	175	3170	6	140	11	-0.00537816
0.01786	175	3171	6	140	11	-0.00518724
0.01807	176	3172	6	141	11	-0.00505919
0.0181	176	3174	6	141	11	-0.00493124
0.01812	176	3176	6	141	11	-0.00480338
0.01814	176	3177	6	141	11	-0.0046756
0.01831	176	3179	6	141	11	-0.0045479
0.01833	176	3186	6	141	11	-0.0044203
0.01835	176	3201	6	141	11	-0.00429278
0.01837	177	3211	6	142	11	-0.00422834
0.01839	177	3218	5	144	11	-0.00591713
0.01853	177	3220	5	144	11	-0.00597844
0.0189	177	3225	5	144	11	-0.00603957
0.01893	177	3236	5	144	11	-0.00610055
0.01895	177	3247	5	144	11	-0.00616136
0.01897	177	3250	5	144	11	-0.00619054
0.01899	178	3251	5	145	11	-0.00628187
0.01901	178	3254	5	145	11	-0.00637291
0.01903	178	3255	5	145	11	-0.00646363
0.01906	179	3257	5	146	11	-0.00661585
0.01948	179	3260	5	146	11	-0.00676746
0.0195	179	3269	5	146	11	-0.00691847
0.01952	179	3282	5	146	11	-0.00706887
0.01954	179	3288	5	146	11	-0.00718858
0.01956	179	3292	5	146	11	-0.00730789
0.01958	179	3293	5	146	11	-0.00742681
0.0196	179	3294	5	146	11	-0.00754534
0.01996	179	3295	5	146	11	-0.00766348
0.02007	179	3297	5	146	11	-0.00778123
0.02009	179	3309	5	146	11	-0.00789859
0.02011	179	3319	5	146	11	-0.00795541
0.02013	179	3326	5	146	11	-0.00792248
0.02015	179	3328	5	146	11	-0.00788959
0.02048	179	3330	5	146	11	-0.00785674
0.02065	179	3336	5	146	11	-0.00782393
0.02068	180	3346	5	147	11	-0.00785119
0.0207	180	3355	5	147	11	-0.0078784
0.02072	180	3356	5	147	11	-0.00787617
0.02077	180	3357	5	147	11	-0.00787394
0.02087	180	3359	5	147	11	-0.00787172
0.02122	180	3360	5	147	11	-0.00784015
0.02125	180	3366	5	147	11	-0.00780861
0.02127	180	3373	5	147	11	-0.00777709
0.02129	180	3381	5	147	11	-0.00774558
0.02131	180	3382	5	147	11	-0.0077141
0.02134	180	3383	5	147	11	-0.00768264
0.02138	180	3384	5	147	11	-0.0076512
0.02147	180	3386	5	147	11	-0.00761978
0.02151	180	3387	5	147	11	-0.00758838
0.02153	180	3388	5	147	11	-0.00722299
0.02184	181	3390	5	148	11	-0.00691775
0.02186	182	3397	5	149	11	-0.00667284
0.02188	182	3407	5	149	11	-0.0064284
0.0219	182	3408	5	149	11	-0.00618444
0.02192	182	3409	5	149	11	-0.00594095
0.02197	182	3410	5	149	11	-0.00569793
0.02244	182	3416	5	149	11	-0.00542553
0.02246	182	3423	5	149	11	-0.00515348
0.02248	182	3428	5	149	11	-0.00488177
0.02254	182	3429	5	149	11	-0.00461042
0.02257	182	3430	5	149	11	-0.00433942
0.02271	182	3431	5	149	11	-0.00406877
0.02275	182	3432	5	149	11	-0.00379846
0.02303	182	3433	5	149	11	-0.0035285
0.02305	182	3439	5	149	11	-0.00325889
0.02307	182	3440	5	149	11	-0.00298962
0.02349	182	3441	5	149	11	-0.0027207
0.0236	182	3443	5	149	11	-0.00215246
0.02362	182	3451	5	149	11	-0.00152506
0.02364	182	3454	4	160	11	-0.00163861
0.02366	182	3457	4	160	11	-0.00168025
0.02368	182	3458	4	160	11	-0.00169107
0.02375	182	3459	4	160	11	-0.00167143
0.02417	182	3461	4	160	11	0.0524407
0.02419	182	3462	4	160	11	0.10618
0.02421	182	3466	4	160	11	0.159551
0.02423	182	3475	4	160	11	0.212557
0.02426	182	3477	4	160	11	0.265201
0.02447	182	3479	4	160	11	0.317488
0.02449	182	3480	4	160	11	0.369421
0.02451	182	3481	4	160	11	0.421004
0.02478	182	3483	4	160	11	0.47224
0.0248	182	3486	4	160	11	0.523132
0.02482	182	3491	4	160	11	0.573685
0.02484	182	3496	4	160	11	0.623901
0.02498	182	3497	4	160	11	0.673784
0.02535	182	3498	4	160	11	0.723337
0.02539	183	3501	3	170	11	0.76968
0.02541	183	3506	2	172	11	0.814851
0.02543	183	3513	2	172	11	0.85941
0.02545	183	3515	2	172	11	0.906604
0.02551	183	3516	2	172	11	0.953466
0.02557	183	3517	2	172	11	1
0.02596	183	3520	1	183	0	0.614848
0.02598	183	3522	1	183	0	0.429721
0.026	183	3528	1	183	0	0.320918
0.02602	183	3531	1	183	0	0.249401
0.02604	183	3537	1	183	0	0.198761
0.02644	183	3538	1	183	0	0.161022
0.02658	183	3544	1	183	0	0.13181
0.0266	183	3549	1	183	0	0.108529
0.02662	183	3554	1	183	0	0.0895394
0.02664	183	3557	1	183	0	0.0737541
0.02681	183	3558	1	183	0	0.0604255
0.02704	183	3559	1	183	0	0.0490215
0.02714	183	3561	1	183	0	0.0391533
0.02716	183	3566	1	183	0	0.0305302
0.02719	183	3568	1	183	0	0.0229305
0.02722	183	3574	1	183	0	0.0162168
0.02724	183	3577	1	183	0	0.0102182
0.02726	183	3578	1	183	0	0.00482062
0.02741	183	3579	1	183	0	-6.19926e-05
0.02774	183	3580	1	183	0	-0.00449996
0.02776	183	3582	1	183	0	-0.00855138
0.02778	183	3589	1	183	0	-0.00852704
0.0278	183	3593	1	183	0	-0.0085027
0.02782	184	3601	1	184	0	-0.008526
0.02784	184	3603	1	184	0	-0.0085493
0.02803	184	3604	1	184	0	-0.00854825
0.02833	184	3605	1	184	0	-0.00854721
0.02835	184	3607	1	184	0	-0.00854617
0.02837	184	3613	1	184	0	-0.00854512
0.02839	184	3617	1	184	0	-0.00854408
0.02841	184	3623	1	184	0	-0.00854304
0.02843	184	3632	1	184	0	-0.008542
0.02895	184	3637	1	184	0	-0.00854096
0.02898	184	3646	1	184	0	-0.00853992
0.029	184	3658	1	184	0	-0.00853888
0.02902	184	3668	1	184	0	-0.00853784
0.02904	184	3670	1	184	0	-0.00853681
0.02927	184	3671	1	184	0	-0.00853577
0.02955	184	3676	1	184	0	-0.00851049
0.02957	184	3681	1	184	0	-0.00848522
0.0296	184	3690	1	184	0	-0.00845997
0.02962	184	3697	1	184	0	-0.00843473
0.02964	184	3699	1	184	0	-0.0084095
0.02988	184	3700	1	184	0	-0.00838429
0.03014	184	3701	1	184	0	-0.00833586
0.03016	185	3709	1	185	0	-0.00833488
0.03018	185	3714	1	185	0	-0.0083339
0.0302	185	3725	1	185	0	-0.00833291
0.03022	185	3731	1	185	0	-0.00830775
0.03024	185	3733	1	185	0	-0.00828259
0.03051	185	3735	1	185	0	-0.00825745
0.03069	185	3736	1	185	0	-0.00820815
0.03073	185	3739	1	185	0	-0.00815888
0.03075	185	3742	1	185	0	-0.00810963
0.03077	185	3749	1	185	0	-0.00806041
0.03079	185	3753	1	185	0	-0.00801122
0.03081	185	3764	1	185	0	-0.00796205
0.03083	185	3768	1	185	0	-0.0079129
0.03133	186	3772	1	186	0	-0.00791116
0.03135	186	3777	1	186	0	-0.00790942
0.03137	186	3787	1	186	0	-0.00790768
0.03139	186	3792	1	186	0	-0.00790595
0.03141	186	3799	1	186	0	-0.00790421
0.03143	186	3802	1	186	0	-0.00790248
0.03152	186	3804	1	186	0	-0.00790075
0.03193	186	3806	1	186	0	-0.00789902
0.03195	186	3810	1	186	0	-0.00787413
0.03197	186	3815	1	186	0	-0.00784925
0.03199	187	3819	1	187	0	-0.00784755
0.03201	187	3827	1	187	0	-0.00784585
0.03203	187	3832	1	187	0	-0.00784416
0.03248	188	3834	1	188	0	-0.00788954
0.03251	188	3835	1	188	0	-0.00793485
0.03254	188	3839	1	188	0	-0.0079801
0.03257	188	3852	1	188	0	-0.00800136
0.03259	188	3855	1	188	0	-0.0080226
0.03261	188	3860	1	188	0	-0.0080438
0.03263	188	3864	1	188	0	-0.00806497
0.03309	188	3865	1	188	0	-0.00808611
