Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.02027	2	2	1	2	0	0
0.02825	3	3	1	3	0	0
0.02923	4	4	1	4	0	-0.217311
0.02966	6	5	2	4	2	1.17537
0.03249	6	6	2	4	2	1.56805
0.03304	7	7	2	5	2	2
0.03332	7	8	1	7	0	0.616045
0.0336	7	9	1	7	0	0.252845
0.0349	7	10	1	7	0	0.0441978
0.0358	7	11	1	7	0	-0.0490192
0.03776	7	12	1	7	0	-0.0181657
0.04024	7	13	1	7	0	0.0126878
0.04123	8	14	1	8	0	-0.0128461
0.04222	8	15	1	8	0	-0.00788119
0.0425	8	16	1	8	0	-0.00323658
0.04486	8	17	1	8	0	0.00111775
0.04522	9	18	1	9	0	-0.0209706
0.04544	9	19	1	9	0	-0.0417595
0.04636	9	20	1	9	0	-0.0613606
0.049	9	21	1	9	0	-0.0798727
0.04997	9	22	1	9	0	-0.0798727
0.05199	9	23	1	9	0	-0.0798727
0.05305	9	25	1	9	0	-0.0798727
0.05558	9	26	1	9	0	-0.0798727
0.05684	9	27	1	9	0	-0.0798727
0.05758	9	28	1	9	0	-0.0798727
0.05991	9	29	1	9	0	-0.0558755
0.05998	9	30	1	9	0	-0.0318784
0.06284	9	31	1	9	0	-0.00788119
0.06336	10	32	1	10	0	-0.0273384
0.06577	10	33	1	10	0	-0.0457715
0.06654	10	34	1	10	0	-0.0632593
0.06796	10	35	1	10	0	-0.0798727
0.07044	10	36	1	10	0	-0.0798727
0.07608	10	37	1	10	0	-0.0798727
0.08303	10	38	1	10	0	-0.0798727
0.08326	10	39	1	10	0	-0.0798727
0.08439	10	40	1	10	0	-0.0798727
0.08518	10	41	1	10	0	-0.0798727
0.09017	10	42	1	10	0	-0.0798727
0.09053	10	43	1	10	0	-0.295847
0.10474	10	44	1	10	0	-0.511822
0.10625	10	45	1	10	0	0
