Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.0203	4	2	2	2	2	0
0.02202	4	3	2	2	2	0
0.02238	4	4	1	4	0	1
0.02403	4	5	1	4	0	0.726885
0.03306	5	6	1	5	0	0.33672
0.03345	5	7	1	5	0	0.180654
0.0338	5	8	1	5	0	0.238152
0.03416	6	9	1	6	0	0.180654
0.03513	7	10	1	7	0	0.133155
0.03538	7	11	1	7	0	0.0932566
0.03953	7	12	1	7	0	0.0592689
0.04021	8	13	1	8	0	-0.00770198
0.04124	8	14	1	8	0	-0.0378389
0.04216	8	15	1	8	0	-0.0660314
0.04352	8	16	1	8	0	-0.0583225
0.04724	8	17	1	8	0	-0.0241831
0.04728	8	18	1	8	0	0.00995635
0.04783	9	19	1	9	0	-0.0179759
0.05087	9	20	1	9	0	-0.0442651
0.05194	9	21	1	9	0	-0.0690521
0.05257	9	22	1	9	0	-0.092462
0.05545	9	23	1	9	0	-0.092462
0.0559	9	24	1	9	0	-0.092462
0.05616	9	25	1	9	0	-0.092462
0.05696	9	26	1	9	0	-0.092462
0.05729	9	27	1	9	0	-0.092462
0.05735	9	28	1	9	0	-0.092462
0.05752	9	29	1	9	0	-0.092462
0.06142	9	30	1	9	0	-0.092462
0.06352	9	31	1	9	0	-0.092462
0.06459	9	32	1	9	0	-0.092462
0.06507	9	33	1	9	0	-0.0621158
0.06551	9	34	1	9	0	-0.0317696
0.0677	9	35	1	9	0	-0.00142346
0.06977	10	36	1	10	0	-0.0260285
0.07379	10	37	1	10	0	-0.0493385
0.08485	10	38	1	10	0	-0.0714531
0.08515	10	39	1	10	0	-0.092462
0.09451	10	40	1	10	0	-0.092462
0.09538	10	41	1	10	0	-0.092462
0.10269	10	42	1	10	0	-0.092462
0.10643	10	43	1	10	0	-0.365577
0.11188	10	44	1	10	0	-0.638693
0.11233	10	45	1	10	0	0
