Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.0146	2	2	1	2	0	0
0.01605	3	3	1	3	0	0
0.0264	4	4	1	4	0	0.180729
0.0296	4	5	1	4	0	-0.0319662
0.0385	4	6	1	4	0	-0.187943
0.04343	4	7	1	4	0	-0.263043
0.05028	7	8	2	5	2	0.801699
0.0527	7	9	2	5	2	1.17023
0.05298	8	10	2	6	2	1.55054
0.05651	8	11	2	6	2	2
0.0567	8	12	1	8	0	0.453819
0.05708	8	13	1	8	0	0.214865
0.05717	8	14	1	8	0	0.0846418
0.05788	8	15	1	8	0	-0.00488696
0.06076	9	16	1	9	0	-0.0240886
0.06161	9	17	1	9	0	-0.0421608
0.06407	9	18	1	9	0	-0.0592002
0.06451	9	19	1	9	0	-0.075293
0.06503	9	20	1	9	0	-0.075293
0.06596	9	21	1	9	0	-0.075293
0.06752	9	22	1	9	0	-0.075293
0.06828	9	23	1	9	0	-0.075293
0.06863	9	24	1	9	0	-0.075293
0.07245	9	25	1	9	0	-0.075293
0.07739	9	26	1	9	0	-0.075293
0.07934	9	27	1	9	0	-0.075293
0.08053	9	28	1	9	0	-0.075293
0.08083	9	29	1	9	0	-0.075293
0.08444	9	30	1	9	0	-0.075293
0.0935	9	31	1	9	0	-0.075293
0.0951	9	32	1	9	0	-0.075293
0.09911	9	33	1	9	0	-0.075293
0.10664	9	34	1	9	0	-0.263043
0.10752	9	35	1	9	0	-0.450792
0.10819	9	36	1	9	0	0
