Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.0224	4	2	2	2	2	0
0.03968	4	3	2	2	2	0
0.04064	4	4	1	4	0	1
0.04147	5	5	1	5	0	0.591664
0.05047	5	6	1	5	0	0.344455
0.05312	5	7	1	5	0	0.201335
0.05501	6	8	1	6	0	0.15022
0.06008	7	9	1	7	0	0.0657699
0.06923	7	10	1	7	0	-0.00516823
0.0701	7	11	1	7	0	-0.065597
0.0785	7	12	1	7	0	-0.0578893
0.08412	7	13	1	7	0	-0.0232044
0.08623	7	14	1	7	0	0.0114805
0.08682	8	15	1	8	0	-0.0172242
0.08763	8	16	1	8	0	-0.0440153
0.08779	8	17	1	8	0	-0.0690779
0.09503	8	18	1	8	0	-0.0925742
0.10228	8	19	1	8	0	-0.0925742
0.10486	8	20	1	8	0	-0.0925742
0.10519	8	21	1	8	0	-0.0925742
0.10561	8	22	1	8	0	-0.0925742
0.106	8	23	1	8	0	-0.0622249
0.1086	8	24	1	8	0	-0.0318756
0.10864	8	25	1	8	0	-0.00152632
0.11179	9	26	1	9	0	-0.0263576
0.11199	9	27	1	9	0	-0.0497281
0.11595	9	28	1	9	0	-0.0717632
0.12013	9	29	1	9	0	-0.0925742
0.12139	9	30	1	9	0	-0.0925742
0.12149	9	31	1	9	0	-0.0925742
0.127	9	32	1	9	0	-0.0925742
0.1296	9	33	1	9	0	-0.0925742
0.13059	9	34	1	9	0	-0.335368
0.13117	9	35	1	9	0	-0.578163
0.14562	9	36	1	9	0	0
