Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.02812	4	2	2	2	2	0
0.03166	4	3	2	2	2	0
0.03347	5	4	2	3	2	2
0.03435	6	6	1	6	0	0.485646
0.03448	7	7	1	7	0	0.176967
0.0354	7	8	1	7	0	0.0405737
0.03667	7	9	1	7	0	-0.0312011
0.03918	7	10	1	7	0	-0.0412216
0.04078	7	11	1	7	0	-0.0283381
0.04131	7	12	1	7	0	-0.00257109
0.04239	7	13	1	7	0	0.0231959
0.04316	8	14	1	8	0	0.0240844
0.04339	9	15	1	9	0	0.00241607
0.04437	9	16	1	9	0	-0.0166258
0.04516	9	17	1	9	0	-0.0334915
0.04707	9	18	1	9	0	-0.0312011
0.0471	9	19	1	9	0	-0.0211806
0.05006	9	20	1	9	0	-0.0111601
0.05282	10	21	1	10	0	-0.0192848
0.05292	10	22	1	10	0	-0.0269819
0.05299	10	23	1	10	0	-0.0342843
0.05337	10	24	1	10	0	-0.0412216
0.05352	10	25	1	10	0	-0.0412216
0.05456	10	26	1	10	0	-0.0412216
0.05594	10	27	1	10	0	-0.0412216
0.05597	10	28	1	10	0	-0.0412216
0.05644	10	29	1	10	0	-0.0412216
0.05822	10	30	1	10	0	-0.0412216
0.05878	10	31	1	10	0	-0.0322032
0.05897	10	32	1	10	0	-0.0231847
0.06019	10	33	1	10	0	-0.0141662
0.06215	11	34	1	11	0	-0.021425
0.06274	11	35	1	11	0	-0.0283381
0.06293	11	36	1	11	0	-0.0349297
0.06318	11	37	1	11	0	-0.0412216
0.06401	11	38	1	11	0	-0.0412216
0.06702	11	39	1	11	0	-0.0412216
0.0692	11	40	1	11	0	-0.0412216
0.06927	11	41	1	11	0	-0.0412216
0.06943	11	42	1	11	0	-0.0412216
0.07007	11	43	1	11	0	-0.0412216
0.07222	11	44	1	11	0	-0.0412216
0.07314	11	45	1	11	0	-0.0412216
0.07392	11	46	1	11	0	-0.0412216
0.07641	11	47	1	11	0	-0.0412216
0.07878	11	48	1	11	0	-0.0412216
0.08029	11	49	1	11	0	-0.0412216
0.08122	11	50	1	11	0	-0.0412216
0.08606	11	51	1	11	0	-0.0412216
0.08685	11	52	1	11	0	-0.0412216
0.09133	11	53	1	11	0	-0.131406
0.09404	11	54	1	11	0	-0.221591
0.09948	11	55	1	11	0	0
