Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.02501	2	1	1	2	0	0
0.0252	2	1	1	2	0	0
0.02919	2	2	1	2	0	-0.0886985
0.04011	5	3	2	3	2	0.913999
0.04325	5	4	2	3	2	0.928642
0.04417	6	5	2	3	3	0.978736
0.0465	7	6	2	4	3	0.998544
0.04685	8	7	2	5	3	0.973831
0.04913	8	8	2	5	3	0.950572
0.05081	9	9	2	5	4	1.26177
0.05087	9	10	2	5	4	1.59104
0.05105	9	11	2	5	4	2
0.05183	9	12	1	9	0	0.304006
0.05304	9	13	1	9	0	0.121499
0.05349	9	14	1	9	0	0.039128
0.05473	9	15	1	9	0	-0.00777749
0.05744	10	16	1	10	0	-0.0132451
0.05868	10	17	1	10	0	-0.0120365
0.05923	10	18	1	10	0	-0.0108898
0.06017	10	19	1	10	0	-0.00980052
0.06094	11	19	1	11	0	-0.0146854
0.0614	11	20	1	11	0	-0.0193376
0.06182	11	20	1	11	0	-0.0237735
0.06195	11	20	1	11	0	-0.0280077
0.06224	11	20	1	11	0	-0.0280077
0.06317	11	21	1	11	0	-0.0280077
0.06347	11	21	1	11	0	-0.0280077
0.0645	11	22	1	11	0	-0.0280077
0.06579	11	23	1	11	0	-0.0280077
0.06599	11	24	1	11	0	-0.0280077
0.06615	11	24	1	11	0	-0.0280077
0.0662	11	25	1	11	0	-0.0280077
0.0664	11	26	1	11	0	-0.0280077
0.0667	11	27	1	11	0	-0.0280077
0.06722	11	28	1	11	0	-0.0280077
0.06764	11	29	1	11	0	-0.0280077
0.06783	11	29	1	11	0	-0.0280077
0.06802	11	29	1	11	0	-0.0280077
0.06804	11	29	1	11	0	-0.0280077
0.06841	11	29	1	11	0	-0.0280077
0.06845	11	29	1	11	0	-0.0280077
0.06892	11	30	1	11	0	-0.0280077
0.06898	11	30	1	11	0	-0.0280077
0.06903	11	31	1	11	0	-0.0280077
0.07029	11	32	1	11	0	-0.0280077
0.07059	11	33	1	11	0	-0.0280077
0.07066	11	34	1	11	0	-0.0280077
0.07074	11	36	1	11	0	-0.0280077
0.07095	11	37	1	11	0	-0.0280077
0.07118	11	37	1	11	0	-0.0280077
0.07202	11	38	1	11	0	-0.0224904
0.0743	11	39	1	11	0	-0.0169731
0.07448	11	40	1	11	0	-0.0114557
0.07474	12	41	1	12	0	-0.0158696
0.07544	12	42	1	12	0	-0.0200916
0.0755	12	42	1	12	0	-0.0241339
0.07589	12	43	1	12	0	-0.0280077
0.07644	12	44	1	12	0	-0.0280077
0.07653	12	45	1	12	0	-0.0280077
0.07725	12	46	1	12	0	-0.0280077
0.07739	12	47	1	12	0	-0.0280077
0.07785	12	48	1	12	0	-0.0280077
0.0781	12	48	1	12	0	-0.0280077
0.07833	12	49	1	12	0	-0.0280077
0.07848	12	49	1	12	0	-0.0280077
0.07901	12	50	1	12	0	-0.0280077
0.08219	12	51	1	12	0	-0.0280077
0.08309	12	52	1	12	0	-0.0280077
0.08338	12	53	1	12	0	-0.0280077
0.08632	12	54	1	12	0	-0.0280077
0.08867	12	55	1	12	0	-0.0280077
0.08947	12	56	1	12	0	-0.0280077
0.08954	12	57	1	12	0	-0.0280077
0.09246	12	58	1	12	0	-0.0280077
0.09422	12	59	1	12	0	-0.0280077
0.09499	12	60	1	12	0	-0.0280077
0.0953	12	61	1	12	0	-0.0280077
0.09541	12	62	1	12	0	-0.0280077
0.09591	12	62	1	12	0	-0.0280077
0.09682	12	63	1	12	0	-0.0280077
0.09864	12	63	1	12	0	-0.0280077
0.10043	12	63	1	12	0	-0.0280077
0.10273	12	64	1	12	0	-0.0280077
0.10309	12	65	1	12	0	-0.0886985
0.11423	12	66	1	12	0	-0.149389
0.12484	12	66	1	12	0	0
