Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.02198	2	2	1	2	0	0
0.02958	3	3	1	3	0	0
0.03246	5	4	2	3	2	1.4876
0.03909	5	5	2	3	2	2
0.0397	5	6	1	5	0	0.688582
0.04029	6	7	1	6	0	0.4547
0.04037	6	8	1	6	0	0.267265
0.0413	7	9	1	7	0	0.0865066
0.04162	7	10	1	7	0	0.0890162
0.04323	8	11	1	8	0	0.0632032
0.04367	8	12	1	8	0	0.0408319
0.04421	9	13	1	9	0	-0.00321148
0.04626	9	14	1	9	0	-0.0420733
0.04628	9	15	1	9	0	-0.0598388
0.04733	9	16	1	9	0	-0.0548674
0.04766	9	17	1	9	0	-0.0331175
0.04845	9	19	1	9	0	-0.0113677
0.04873	10	20	1	10	0	-0.0290027
0.04894	10	21	1	10	0	-0.0457095
0.04977	10	22	1	10	0	-0.0615596
0.04981	10	23	1	10	0	-0.0766172
0.0508	10	24	1	10	0	-0.0766172
0.05121	10	25	1	10	0	-0.0766172
0.05147	10	26	1	10	0	-0.0766172
0.05156	10	27	1	10	0	-0.0766172
0.0523	10	28	1	10	0	-0.0766172
0.05246	10	29	1	10	0	-0.0766172
0.05276	10	30	1	10	0	-0.0766172
0.05378	10	31	1	10	0	-0.0766172
0.05496	10	32	1	10	0	-0.0766172
0.05554	10	33	1	10	0	-0.0766172
0.05585	10	34	1	10	0	-0.0766172
0.05629	10	35	1	10	0	-0.0766172
0.05641	10	36	1	10	0	-0.0766172
0.05697	10	37	1	10	0	-0.0766172
0.05765	10	38	1	10	0	-0.0766172
0.05777	10	39	1	10	0	-0.0766172
0.05851	10	40	1	10	0	-0.0766172
0.05861	10	41	1	10	0	-0.0766172
0.0608	10	42	1	10	0	-0.0570423
0.06349	10	43	1	10	0	-0.0374675
0.06408	10	44	1	10	0	-0.0178926
0.06616	11	45	1	11	0	-0.033648
0.06625	11	46	1	11	0	-0.0486531
0.06648	11	47	1	11	0	-0.0629603
0.06678	11	48	1	11	0	-0.0766172
0.069	11	49	1	11	0	-0.0766172
0.0697	11	50	1	11	0	-0.0766172
0.07475	11	51	1	11	0	-0.0766172
0.07505	11	52	1	11	0	-0.0766172
0.07622	11	53	1	11	0	-0.272366
0.08232	11	54	1	11	0	-0.468114
0.08278	11	55	1	11	0	0
