Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.03172	2	2	1	2	0	0
0.03244	3	3	1	3	0	0
0.03246	3	4	1	3	0	0.979585
0.03898	4	5	1	4	0	0.863902
0.04502	5	6	1	5	0	0.169801
0.04684	5	7	1	5	0	-0.224883
0.04957	6	8	1	6	0	-0.235091
0.04985	8	9	2	6	2	1.28548
0.0526	8	10	2	6	2	2
0.05281	8	11	1	8	0	0.632535
0.05708	8	12	1	8	0	0.443235
0.05936	8	13	1	8	0	0.092679
0.05951	8	14	1	8	0	-0.148328
0.06516	8	15	1	8	0	-0.148328
0.06646	8	16	1	8	0	-0.0941016
0.06699	8	17	1	8	0	-0.039875
0.06707	8	18	1	8	0	0.0143516
0.06728	9	19	1	9	0	-0.0300156
0.07284	9	20	1	9	0	-0.071773
0.07388	9	21	1	9	0	-0.111144
0.07443	9	22	1	9	0	-0.148328
0.07921	9	23	1	9	0	-0.148328
0.07967	9	24	1	9	0	-0.148328
0.08069	9	25	1	9	0	-0.148328
0.08076	9	26	1	9	0	-0.148328
0.08078	9	27	1	9	0	-0.148328
0.08677	9	28	1	9	0	-0.148328
0.08684	9	29	1	9	0	-0.148328
0.08836	9	30	1	9	0	-0.148328
0.09434	9	31	1	9	0	-0.148328
0.0983	9	32	1	9	0	-0.148328
0.10412	9	33	1	9	0	-0.148328
0.10476	9	34	1	9	0	-0.582141
0.11232	9	35	1	9	0	-1.01595
0.12073	9	36	1	9	0	0
