Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00095	4	2	2	2	2	0
0.00189	4	3	2	2	2	0
0.01139	5	4	2	3	2	0
0.01326	6	5	2	4	2	0.0239339
0.01334	6	6	2	4	2	-0.0424326
0.01426	6	7	2	4	2	-0.145236
0.01614	9	9	3	4	3	0.825594
0.01623	9	10	3	4	3	0.906867
0.01805	10	11	3	4	4	1.05752
0.01809	10	12	3	4	4	1.25338
0.01813	11	13	3	4	4	1.54763
0.01995	11	14	2	8	3	0.434774
0.02186	13	15	3	8	3	1.3579
0.02204	13	16	3	8	3	1.27826
0.02225	14	17	3	9	3	1.2036
0.02303	14	18	2	11	3	0.101864
0.02316	14	19	2	11	3	0.0792393
0.02394	14	20	2	11	3	0.0593294
0.02424	15	21	2	12	3	0.0239339
0.02489	15	22	2	12	3	0.00937981
0.02506	15	23	2	12	3	0.0191662
0.02589	15	24	2	12	3	0.0286208
0.02674	15	25	2	12	3	0.0377602
0.02714	16	26	2	13	3	0.0384402
0.02719	17	27	2	14	3	0.0239339
0.02767	17	28	2	14	3	0.0103202
0.02798	17	29	2	14	3	-0.00248066
0.02801	17	30	2	14	3	-0.00732572
0.0281	17	31	2	14	3	0.00102162
0.02812	17	32	2	14	3	0.015243
0.02871	17	33	2	14	3	0.0294644
0.02878	18	34	2	15	3	0.0301655
0.02887	19	35	2	16	3	0.017873
0.02904	19	36	2	16	3	0.00623614
0.02924	19	37	2	16	3	0.260239
0.02939	19	38	2	16	3	0.501381
0.02976	19	39	2	16	3	0.744979
0.02986	19	40	2	16	3	1.00007
0.02988	19	41	1	19	0	0.519323
0.0299	19	42	1	19	0	0.281951
0.02992	19	43	1	19	0	0.140464
0.02994	19	45	1	19	0	-0.0116135
0.03004	19	46	1	19	0	-0.119935
0.03057	19	47	1	19	0	-0.16971
0.03077	19	48	1	19	0	-0.219485
0.03101	21	49	2	19	2	-0.197288
0.03103	21	51	2	19	2	-0.169635
0.03114	21	52	2	19	2	-0.134082
0.03173	21	53	2	19	2	-0.086677
0.03175	21	54	2	19	2	-0.0203105
0.03177	21	55	2	19	2	-0.0203105
0.03185	21	56	2	19	2	-0.0203105
0.03188	21	57	2	19	2	-0.0203105
0.03198	21	58	2	19	2	-0.0203105
0.03212	21	59	2	19	2	-0.0203105
0.03295	21	60	2	19	2	-0.0203105
0.03373	21	61	2	19	2	-0.0203105
0.03382	21	62	2	19	2	-0.0203105
0.03384	21	63	2	19	2	-0.0203105
0.03391	21	64	2	19	2	-0.0203105
0.03398	21	65	2	19	2	-0.0203105
0.03408	21	66	2	19	2	-0.015071
0.0341	21	67	2	19	2	-0.00983155
0.03414	21	69	2	19	2	-0.00459209
