Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00473	4	2	2	2	2	0
0.011	4	3	2	2	2	0
0.01264	5	4	2	3	2	1.60401
0.01266	6	5	2	4	2	2
0.01417	6	6	1	6	0	0.525885
0.01424	7	8	1	7	0	0.340011
0.01426	9	10	1	9	0	0.209191
0.01568	10	11	1	10	0	0.124925
0.01582	12	13	1	12	0	0.082962
0.01596	13	14	1	13	0	0.0524437
0.01747	13	15	1	13	0	0.0471402
0.01757	14	16	1	14	0	0.0366692
0.01759	15	17	1	15	0	0.032644
0.01899	16	19	1	16	0	0.0290352
0.01902	16	20	1	16	0	0.0308819
0.01904	17	21	1	17	0	-0.0184905
0.01906	18	22	1	18	0	-0.0680853
0.0191	19	23	1	19	0	-0.117874
0.01912	21	24	2	19	2	0.895093
0.01938	21	25	2	19	2	0.913795
0.02046	21	26	2	19	2	0.942131
0.02055	21	27	2	19	2	0.988802
0.02061	21	29	2	19	2	0.988802
0.02066	21	30	2	19	2	1.09115
0.02069	21	32	2	19	2	1.20169
0.02075	21	33	2	19	2	1.31222
0.02077	22	35	1	22	0	0.180568
0.02079	23	36	1	23	0	0.0908939
0.0209	23	37	1	23	0	0.0324615
0.02218	23	38	1	23	0	-0.00521476
0.02227	23	41	1	23	0	-0.00443431
0.0223	23	42	1	23	0	0.00232955
0.02237	24	43	1	24	0	0.00302049
0.0224	24	45	1	24	0	0.00369672
0.02245	25	47	1	25	0	-0.00147512
0.02265	25	48	1	25	0	-0.00326099
0.02378	25	49	1	25	0	-0.00255546
0.02381	25	50	1	25	0	-0.00186404
0.02383	26	53	1	26	0	-0.00426689
0.02385	26	56	1	26	0	-0.00662262
0.02392	26	58	1	26	0	-0.00893261
0.02408	26	59	1	26	0	-0.0111982
0.02413	26	60	1	26	0	-0.0111982
0.02425	26	61	1	26	0	-0.0111982
0.0253	26	62	1	26	0	-0.0111982
0.0255	26	64	1	26	0	-0.0111982
0.02554	26	67	1	26	0	-0.0111982
0.02561	26	69	1	26	0	-0.0111982
0.02565	26	72	1	26	0	-0.0111982
0.02567	26	73	1	26	0	-0.00820647
0.02578	26	74	1	26	0	-0.00521476
0.0258	26	75	1	26	0	-0.00222305
0.02587	27	76	1	27	0	-0.00453094
0.02604	27	77	1	27	0	-0.00679529
0.02644	27	78	1	27	0	-0.00901731
0.02699	27	80	1	27	0	-0.0111982
0.02701	27	81	1	27	0	-0.0111982
0.02703	27	82	1	27	0	-0.0111982
0.0271	27	84	1	27	0	-0.0111982
0.02712	27	85	1	27	0	-0.0111982
0.02715	27	86	1	27	0	-0.0111982
0.02725	27	88	1	27	0	-0.0111982
0.02727	27	89	1	27	0	-0.0111982
0.02733	27	91	1	27	0	-0.0111982
0.02739	27	92	1	27	0	-0.0111982
0.02759	27	93	1	27	0	-0.0111982
0.02765	27	94	1	27	0	-0.0111982
0.02861	27	95	1	27	0	-0.0111982
0.02864	27	96	1	27	0	-0.0111982
0.02867	27	97	1	27	0	-0.0111982
0.0287	27	99	1	27	0	-0.0111982
0.02874	27	101	1	27	0	-0.0111982
0.02878	27	102	1	27	0	-0.0111982
0.02884	27	104	1	27	0	-0.0111982
0.02886	27	105	1	27	0	-0.0111982
0.02895	27	106	1	27	0	-0.0111982
0.02902	27	107	1	27	0	-0.0111982
0.02904	27	108	1	27	0	-0.0111982
0.02908	27	111	1	27	0	-0.0111982
0.0291	27	112	1	27	0	-0.0111982
0.02922	27	113	1	27	0	-0.0111982
0.02926	27	114	1	27	0	-0.0111982
0.02938	27	115	1	27	0	-0.0111982
0.02977	27	116	1	27	0	-0.0111982
0.03032	27	118	1	27	0	-0.0111982
0.03035	27	119	1	27	0	-0.0111982
0.03038	27	122	1	27	0	-0.0111982
0.03042	27	123	1	27	0	-0.0111982
0.03046	27	124	1	27	0	-0.0111982
0.03052	27	127	1	27	0	-0.0111982
0.03066	27	129	1	27	0	-0.0111982
0.03068	27	130	1	27	0	-0.0111982
0.03071	27	131	1	27	0	-0.0111982
