Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	12	18	3	8	2	0
0.00177	24	64	3	20	2	0
0.00352	28	108	2	26	2	0
0.00354	29	139	2	27	2	0.0290488
0.00528	37	206	2	34	3	-0.0335272
0.0053	40	238	3	35	3	1.27276
0.00532	40	241	3	35	3	1.61904
0.00704	40	257	3	35	3	2
0.00706	43	333	1	43	0	0.430778
0.00708	43	354	1	43	0	0.201304
0.00711	43	356	1	43	0	0.0740607
0.00713	43	357	1	43	0	-0.00682295
0.00882	45	383	1	45	0	-0.0113662
0.00884	45	453	1	45	0	-0.0129448
0.00886	45	478	1	45	0	-0.014488
0.00888	45	490	1	45	0	-0.0159969
0.0089	46	493	1	46	0	-0.01813
0.01059	46	496	1	46	0	-0.0202396
0.01061	46	529	1	46	0	-0.0223262
0.01063	46	574	1	46	0	-0.0243901
0.01065	46	593	1	46	0	-0.0243901
0.01067	46	603	1	46	0	-0.0243901
0.01069	46	604	1	46	0	-0.0243901
0.01072	46	605	1	46	0	-0.0243901
0.01238	46	615	1	46	0	-0.0243901
0.0124	46	642	1	46	0	-0.0243901
0.01242	46	709	1	46	0	-0.0243901
0.01244	46	727	1	46	0	-0.0243901
0.01246	46	735	1	46	0	-0.0243901
0.01248	46	738	1	46	0	-0.0243901
0.0125	46	741	1	46	0	-0.0243901
0.01256	46	742	1	46	0	-0.0243901
0.01417	46	745	1	46	0	-0.0243901
0.01419	46	767	1	46	0	-0.0243901
0.01421	46	801	1	46	0	-0.0243901
0.01423	46	813	1	46	0	-0.0243901
0.01425	46	833	1	46	0	-0.0243901
0.01427	46	838	1	46	0	-0.0243901
0.0143	46	841	1	46	0	-0.0243901
0.01433	46	842	1	46	0	-0.0243901
0.01597	46	850	1	46	0	-0.0243901
0.01599	46	871	1	46	0	-0.0243901
0.01601	46	895	1	46	0	-0.0243901
0.01603	46	914	1	46	0	-0.0243901
0.01605	46	920	1	46	0	-0.0243901
0.01608	46	922	1	46	0	-0.0243901
0.0161	46	924	1	46	0	-0.0243901
0.01617	46	926	1	46	0	-0.0243901
0.01778	46	927	1	46	0	-0.0243901
0.0178	46	947	1	46	0	-0.0243901
0.01782	46	955	1	46	0	-0.0243901
0.01784	46	970	1	46	0	-0.0243901
0.01786	46	977	1	46	0	-0.0243901
0.01788	46	979	1	46	0	-0.0243901
0.0179	46	980	1	46	0	-0.0243901
0.01962	46	986	1	46	0	-0.0243901
0.01964	46	995	1	46	0	-0.0243901
0.01967	46	999	1	46	0	-0.0243901
0.01971	46	1003	1	46	0	-0.0243901
0.01978	46	1004	1	46	0	-0.0243901
0.02139	46	1006	1	46	0	-0.0243901
0.02141	46	1007	1	46	0	-0.0243901
0.02143	46	1013	1	46	0	-0.0243901
0.02145	46	1017	1	46	0	-0.0243901
0.02148	46	1020	1	46	0	-0.0243901
0.02324	46	1021	1	46	0	-0.0243901
0.02327	46	1026	1	46	0	-0.0243901
0.02329	46	1029	1	46	0	-0.0243901
0.02333	46	1031	1	46	0	-0.0243901
0.02506	46	1032	1	46	0	-0.0243901
0.0251	46	1033	1	46	0	-0.0243901
0.02512	46	1034	1	46	0	-0.0216532
0.02518	46	1035	1	46	0	-0.0189163
0.0269	46	1036	1	46	0	-0.0161793
0.13453	47	1037	1	47	0	-0.0182653
0.13469	47	1039	1	47	0	-0.0203288
0.13471	47	1041	1	47	0	-0.0223703
0.13649	47	1042	1	47	0	-0.0243901
0.13702	47	1043	1	47	0	-0.0243901
0.13706	47	1045	1	47	0	-0.0243901
0.13737	47	1046	1	47	0	-0.0243901
0.13885	47	1047	1	47	0	-0.0243901
0.13888	47	1048	1	47	0	-0.0243901
0.13913	47	1049	1	47	0	-0.0243901
0.13919	47	1050	1	47	0	-0.0243901
0.13938	47	1051	1	47	0	-0.0243901
0.13942	47	1057	1	47	0	-0.0243901
0.1412	47	1060	1	47	0	-0.0243901
0.1415	47	1061	1	47	0	-0.0243901
0.14153	47	1062	1	47	0	-0.0243901
0.14184	47	1063	1	47	0	-0.0243901
0.14331	47	1064	1	47	0	-0.0243901
0.14357	47	1066	1	47	0	-0.0243901
0.14366	47	1067	1	47	0	-0.0243901
0.14386	47	1069	1	47	0	-0.0243901
0.14392	47	1070	1	47	0	-0.0243901
0.14426	47	1071	1	47	0	-0.0243901
0.14533	47	1072	1	47	0	-0.0243901
0.14565	47	1073	1	47	0	-0.0243901
0.14568	47	1074	1	47	0	-0.0243901
0.14602	47	1075	1	47	0	-0.0243901
0.1478	47	1076	1	47	0	-0.0243901
0.14806	47	1077	1	47	0	-0.0243901
0.14841	47	1078	1	47	0	-0.0243901
0.14848	47	1079	1	47	0	-0.150288
0.15053	47	1080	1	47	0	-0.276185
0.15228	47	1081	1	47	0	0
