Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	15	22	4	7	4	0
0.00541	19	25	6	7	4	0
0.00545	28	52	3	18	8	0
0.00547	30	69	3	20	8	1.00001
0.00553	30	77	2	28	2	0.301651
0.00557	31	78	2	29	2	0.117767
0.01087	31	84	2	29	2	0.0381673
0.0109	31	96	2	29	2	-0.00692284
0.01099	31	140	2	29	2	-0.00839669
0.01105	31	149	2	29	2	-0.00839669
0.01108	31	151	2	29	2	-0.00839669
0.0111	31	154	2	29	2	-0.00839669
0.01114	31	155	2	29	2	-0.0272292
0.01117	31	182	2	29	2	-0.044763
0.01123	31	188	2	29	2	-0.0622967
0.01634	32	190	2	29	3	-0.0609979
0.01638	33	194	2	30	3	-0.0606376
0.01644	33	214	2	30	3	-0.0576455
0.01647	34	215	2	30	4	-0.0304384
0.01652	37	225	3	31	4	-0.0192093
0.01663	37	231	2	33	4	-0.00923994
0.01665	37	249	2	33	4	0.00183516
0.01671	37	268	2	33	4	-0.000573942
0.01674	38	270	2	34	4	-0.00457354
0.0168	38	272	2	34	4	-0.00418045
0.01683	38	273	2	34	4	-0.00379318
0.01692	38	302	2	34	4	-0.0034116
0.01701	39	308	2	35	4	-0.0162321
0.02187	39	309	2	35	4	-0.0288668
0.0219	39	310	2	35	4	-0.0413198
0.02194	40	311	2	35	5	-0.0337994
0.022	40	312	2	35	5	-0.0229246
0.02207	40	317	2	35	5	-0.0107705
0.02209	41	329	2	36	5	1.78501e-05
0.02223	42	331	2	37	5	-0.00247036
0.02227	42	332	2	37	5	-0.00488994
0.02229	42	336	2	37	5	-0.00724368
0.02232	42	337	2	37	5	-0.00839669
0.02234	42	339	2	37	5	-0.00839669
0.02242	42	355	2	37	5	-0.00839669
0.02244	42	356	2	37	5	-0.00839669
0.02247	42	362	2	37	5	-0.00839669
0.02249	42	368	2	37	5	-0.00839669
0.02256	42	379	2	37	5	-0.00839669
0.02259	42	380	2	37	5	-0.00839669
0.02262	42	390	2	37	5	-0.00839669
0.02274	42	391	2	37	5	-0.00839669
0.0228	42	409	2	37	5	-0.00839669
0.02292	42	414	2	37	5	-0.00839669
0.02742	42	415	2	37	5	-0.00839669
0.02757	42	417	2	37	5	-0.00839669
0.02765	42	419	2	37	5	-0.00686973
0.02773	42	423	2	37	5	-0.00534276
0.02777	42	424	2	37	5	0.266457
0.02787	43	439	2	38	5	0.531933
0.02789	43	440	2	38	5	0.793869
0.02795	43	441	1	43	0	0.266512
0.02798	43	442	1	43	0	0.110181
0.02803	43	444	1	43	0	0.0355275
0.02805	43	452	1	43	0	-0.00839673
0.02807	43	463	1	43	0	-0.00839673
0.02819	43	465	1	43	0	-0.00839673
0.02821	43	466	1	43	0	-0.00839673
0.02823	43	470	1	43	0	-0.00839673
0.02833	43	481	1	43	0	-0.00839673
0.02835	43	482	1	43	0	-0.00839673
0.02841	43	486	1	43	0	-0.00839673
0.02849	43	489	1	43	0	-0.00839673
0.02855	43	490	1	43	0	-0.00839673
0.02881	43	499	1	43	0	-0.00839673
0.02883	43	500	1	43	0	-0.00839673
0.02898	43	501	1	43	0	-0.00839673
0.03285	43	502	1	43	0	-0.00839673
0.03297	43	503	1	43	0	-0.00839673
0.03302	43	504	1	43	0	-0.00839673
0.03304	43	508	1	43	0	-0.00839673
0.03316	43	513	1	43	0	-0.00839673
0.03323	43	514	1	43	0	-0.00839673
0.03328	43	515	1	43	0	-0.00839673
0.03339	43	522	1	43	0	-0.00839673
0.03341	43	524	1	43	0	-0.00839673
