Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00134	5	2	2	3	2	0
0.00201	9	4	4	3	2	0
0.00334	9	4	4	3	2	0
0.00396	9	4	4	3	2	0
0.00431	10	5	4	3	3	0
0.00501	10	7	4	3	3	0
0.00535	12	8	4	4	3	0
0.00604	13	9	5	3	3	0
0.00637	14	11	5	3	3	0
0.00713	15	12	5	4	3	-0.0834626
0.00802	16	13	5	4	4	-0.0416544
0.00806	16	14	5	4	4	-7.93915e-05
0.00814	18	15	5	4	4	0.0447778
0.00816	20	16	6	4	4	0.419424
0.00836	20	17	7	4	4	1.28432
0.0087	21	18	7	4	4	1.35863
0.00914	21	19	7	4	4	1.46871
0.00941	21	20	7	4	4	1.61806
0.01004	21	21	7	4	4	1.77671
0.01006	21	22	6	7	4	1.10859
0.01018	22	23	6	7	4	1.1992
0.01041	24	24	6	8	4	1.23592
0.01053	24	25	7	8	4	2
0.01074	25	26	6	12	3	1.09866
0.01098	25	27	6	13	3	0.968024
0.01108	27	28	6	13	4	0.948467
0.01111	28	29	7	13	3	1.68919
0.01125	28	30	7	14	3	1.67954
0.01142	29	32	6	17	3	0.898486
0.01147	29	32	6	18	3	0.850044
0.01156	29	33	6	18	3	0.828032
0.01162	29	34	5	20	3	0.52944
0.01171	30	35	5	20	3	0.504197
0.01176	30	36	5	21	3	0.475977
0.01182	30	36	4	23	3	0.460849
0.01189	30	39	3	25	3	0.41639
0.0121	30	40	2	28	2	0.309007
0.01212	30	41	2	28	2	0.235418
0.01216	30	43	2	28	2	0.178498
0.01219	30	44	2	28	2	0.13648
0.01241	30	45	2	28	2	0.102077
0.01244	30	47	2	28	2	0.0722476
0.01247	30	48	2	28	2	0.049823
0.01251	30	49	2	28	2	0.0298347
0.01259	32	50	3	28	2	0.0128053
0.01266	33	51	3	28	3	0.0235538
0.01277	33	53	3	29	2	-0.00424353
0.01283	33	55	3	29	2	-0.0169956
0.01285	33	56	3	29	2	-0.0288116
0.01295	33	57	3	29	2	-0.0405495
0.01299	33	58	3	29	2	-0.0513643
0.01313	33	59	3	29	2	-0.0621081
0.01315	34	61	3	30	2	-0.0750093
0.01318	34	62	3	30	2	-0.0877434
0.01324	34	63	3	30	2	-0.100314
0.01346	34	64	3	30	2	-0.112723
0.01348	36	66	3	30	3	-0.112182
0.01359	37	67	4	30	3	-0.102796
0.01372	36	68	3	31	3	-0.0944813
0.01376	36	69	3	31	3	-0.0856077
0.01378	37	72	3	32	3	-0.0778206
0.0138	37	74	3	32	3	-0.0695961
0.01382	37	75	3	32	3	-0.0608964
0.01384	37	76	3	32	3	-0.050436
0.01386	37	77	3	32	3	-0.0382088
0.01403	37	78	3	32	3	-0.0250961
0.01413	37	79	3	32	3	-0.0109981
0.01415	37	80	3	32	3	-0.0097437
0.01417	37	82	3	32	3	-0.00850366
0.01419	37	84	3	32	3	-0.00624237
0.01421	37	85	3	32	3	-0.00399393
0.01432	37	86	3	32	3	-0.000710145
0.01442	37	86	3	32	3	0.00366823
0.01444	37	87	3	32	3	0.00804661
0.01449	38	88	3	33	3	0.0102482
0.01453	38	90	3	33	3	0.0124374
0.01455	38	92	3	33	3	0.0146142
0.01464	40	94	3	35	3	0.0124617
0.01466	40	96	3	35	3	0.010345
0.01469	40	96	3	35	3	0.00826313
0.01476	40	96	3	35	3	0.0298371
0.0148	40	97	3	35	3	0.0510612
0.01482	43	102	4	36	3	0.0698039
0.01484	43	103	4	36	3	0.0880778
0.01487	43	104	4	36	3	0.105969
0.0149	43	105	4	36	3	0.124773
0.01501	43	108	4	36	3	0.143286
0.0151	43	109	4	36	3	0.161515
0.01513	43	110	4	36	3	0.182273
0.01515	43	114	4	36	3	0.202925
0.01518	43	119	3	39	2	0.171878
0.0152	43	120	3	39	2	0.144214
0.01522	43	123	3	39	2	0.119355
0.01525	43	124	3	39	2	0.0990466
0.01528	43	125	3	39	2	0.0828084
0.01533	43	127	3	39	2	0.0679463
0.01536	43	130	3	39	2	0.0542925
0.01548	43	132	3	39	2	0.0417054
0.0155	43	135	3	39	2	0.0300647
0.01552	43	139	3	39	2	0.0192675
0.01554	44	142	3	40	2	0.0083419
0.01556	44	142	3	40	2	0.0110383
0.01559	44	143	3	40	2	0.0137223
0.01561	45	145	3	41	2	0.0146142
0.01563	45	146	2	43	2	0.011974
0.01567	45	148	2	43	2	0.00938276
0.0157	45	150	2	43	2	0.00683798
0.01584	45	154	2	43	2	0.00433844
0.01586	45	155	2	43	2	0.00188295
0.01588	45	155	2	43	2	-0.000529651
0.0159	46	158	2	44	2	-0.004527
0.01592	46	161	2	44	2	-0.00766325
0.01594	46	161	2	44	2	-0.0107462
0.016	46	162	2	44	2	-0.0137773
0.01617	46	163	2	44	2	-0.0160173
0.01619	46	166	2	44	2	-0.0167577
0.01621	46	166	2	44	2	-0.0174951
0.01623	46	168	2	44	2	-0.0182294
0.01626	46	169	2	44	2	-0.0189606
0.01629	46	169	2	44	2	-0.0196888
0.01631	46	170	2	44	2	-0.020414
0.01637	46	171	2	44	2	-0.020414
0.01646	46	173	2	44	2	-0.020414
0.01648	46	174	2	44	2	-0.020414
0.0165	46	180	2	44	2	-0.020414
0.01653	46	183	2	44	2	-0.020414
0.01658	46	183	2	44	2	-0.020414
0.01663	46	184	2	44	2	-0.020414
0.0167	46	186	2	44	2	-0.020414
0.01673	46	187	2	44	2	-0.020414
0.01682	46	188	2	44	2	-0.020414
0.01685	46	189	2	44	2	-0.020414
0.01687	46	192	2	44	2	-0.020414
0.01689	46	192	2	44	2	-0.020414
0.01692	46	193	2	44	2	-0.020414
0.01694	46	195	2	44	2	-0.020414
0.01696	46	195	2	44	2	-0.020414
0.01699	46	196	2	44	2	-0.020414
0.01707	46	197	2	44	2	-0.020414
0.01709	46	198	2	44	2	-0.020414
0.0172	46	200	2	44	2	-0.020414
0.01722	46	204	2	44	2	-0.0196179
0.01724	46	210	2	44	2	-0.0188219
0.01728	46	211	2	44	2	-0.0180258
0.0173	46	212	2	44	2	-0.0172297
0.01732	46	212	2	44	2	-0.0164336
0.01738	46	213	2	44	2	-0.0156376
0.01742	46	214	2	44	2	-0.0148415
0.01744	46	217	2	44	2	-0.0140454
0.01746	46	218	2	44	2	-0.0132494
0.01749	46	220	2	44	2	-0.0124533
0.01753	47	221	2	45	2	-0.0131919
0.01756	47	223	2	45	2	-0.0139275
0.01758	47	226	2	45	2	0.024107
0.01762	47	228	2	45	2	0.0619857
0.01767	47	228	2	45	2	0.0997094
0.01772	47	228	2	45	2	0.137279
0.01774	47	229	2	45	2	0.174696
0.01776	47	229	2	45	2	0.21196
0.01783	47	229	2	45	2	0.249074
0.01785	47	230	2	45	2	0.286037
0.01788	47	232	2	45	2	0.322851
0.0179	47	233	2	45	2	0.360991
0.01793	47	237	1	47	0	0.295087
0.01795	47	238	1	47	0	0.240074
0.01797	47	239	1	47	0	0.193458
0.01799	47	241	1	47	0	0.153454
0.01801	47	243	1	47	0	0.118747
0.01814	47	244	1	47	0	0.0883518
0.0182	47	246	1	47	0	0.0615108
0.01822	47	247	1	47	0	0.0376353
0.01824	47	254	1	47	0	0.0170829
0.01826	47	255	1	47	0	-0.00142474
0.01829	47	258	1	47	0	-0.0181782
0.01831	47	259	1	47	0	-0.017433
0.01833	47	260	1	47	0	-0.0166877
0.01835	47	260	1	47	0	-0.0159425
0.01838	47	260	1	47	0	-0.0151972
0.0184	47	260	1	47	0	-0.014452
0.01842	47	263	1	47	0	-0.0137067
0.01844	47	264	1	47	0	-0.0129615
0.01846	48	264	1	48	0	-0.013652
0.01849	48	264	1	48	0	-0.01434
0.01852	48	264	1	48	0	-0.0150252
0.01854	48	266	1	48	0	-0.0157079
0.01856	48	267	1	48	0	-0.0163879
0.01858	48	270	1	48	0	-0.0170653
0.0186	48	273	1	48	0	-0.0177402
0.01862	48	274	1	48	0	-0.0184125
0.01865	48	276	1	48	0	-0.0190822
0.01867	48	280	1	48	0	-0.0197494
0.0187	48	284	1	48	0	-0.020414
0.01872	48	285	1	48	0	-0.020414
0.01881	48	287	1	48	0	-0.020414
0.01883	48	289	1	48	0	-0.020414
0.01885	48	291	1	48	0	-0.020414
0.01887	48	291	1	48	0	-0.020414
