Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00954	2	2	1	2	0	0
0.01333	5	3	2	3	2	0
0.01461	5	4	2	3	2	0
0.01929	7	5	3	3	2	0
0.02245	7	6	3	3	2	0
0.02393	10	7	4	3	3	0
0.02662	12	8	5	3	3	0
0.02791	12	9	5	3	3	0
0.02857	13	10	5	3	3	0.210463
0.02984	15	11	6	3	3	1.16551
0.03082	15	12	6	3	3	1.33275
0.03305	16	13	6	4	3	1.46636
0.03453	16	14	5	4	4	0.770989
0.03586	16	15	4	8	3	0.634884
0.03622	17	16	4	8	4	0.698184
0.03715	18	17	4	9	4	0.806679
0.03732	19	18	4	10	4	0.883756
0.03931	21	20	5	10	4	1.07309
0.03943	21	21	5	10	4	1.12658
0.03947	21	22	4	14	3	0.870232
0.04012	22	23	4	15	3	0.756694
0.04022	22	24	4	15	3	0.684664
0.04024	23	25	4	16	3	0.610723
0.04027	23	26	4	16	3	0.595181
0.04072	23	27	3	19	2	0.439489
0.04081	24	28	3	20	2	0.322086
0.04096	24	29	3	20	2	0.237536
0.04108	24	30	3	20	2	0.171822
0.04122	24	31	3	20	2	0.119279
0.04128	24	32	3	20	2	0.0935903
0.04134	24	33	3	20	2	0.0728682
0.0414	25	34	3	21	2	0.0498544
0.04214	25	35	3	21	2	0.0308939
0.0422	25	36	3	21	2	0.0138732
0.04231	25	37	3	21	2	0.0139313
0.04233	25	38	3	21	2	0.0178508
0.04277	25	39	3	21	2	0.0217323
0.04287	25	40	3	21	2	0.0255763
0.04313	25	41	2	23	2	0.0216893
0.0432	25	42	2	23	2	0.0197902
0.04323	25	43	2	23	2	0.0216366
0.04338	25	44	2	23	2	0.0252785
0.04342	25	45	2	23	2	0.0288543
0.04345	25	46	2	23	2	0.0323656
0.04353	26	47	2	24	2	0.0321979
0.04362	26	48	2	24	2	0.0320347
0.04383	26	49	2	24	2	0.0318756
0.04385	26	50	2	24	2	0.0317207
0.04422	27	51	2	25	2	0.0316196
0.04429	29	53	2	27	2	0.0247754
0.04442	29	54	2	27	2	0.0181557
0.04448	29	55	2	27	2	0.0117495
0.04492	29	56	2	27	2	0.00712925
0.04509	29	57	2	27	2	0.00265341
0.04517	29	58	2	27	2	-0.000227779
0.04524	29	59	2	27	2	-0.00304299
0.04534	29	60	2	27	2	-0.00579446
0.0456	29	61	2	27	2	-0.00848433
0.04562	29	62	2	27	2	-0.009752
0.04568	29	65	2	27	2	-0.00827489
0.0457	29	66	2	27	2	-0.00679778
0.04574	30	67	2	28	2	-0.00817133
0.0458	30	68	2	28	2	-0.00953478
0.04583	30	69	2	28	2	-0.0108882
0.0459	30	71	2	28	2	-0.0122318
0.04603	30	73	2	28	2	-0.0121154
0.04606	30	74	2	28	2	-0.0105548
0.04618	30	75	2	28	2	-0.00900545
0.04628	30	76	2	28	2	-0.00746726
0.04644	30	78	2	28	2	-0.0059401
0.04648	30	80	2	28	2	-0.00442385
0.04656	30	81	2	28	2	-0.00157514
0.04663	30	82	2	28	2	0.00127357
0.04669	30	83	2	28	2	0.00412228
0.04675	31	85	2	29	2	0.00417804
0.04687	32	86	2	30	2	0.00287911
0.04723	32	88	2	30	2	0.00159842
0.04726	32	89	2	30	2	0.000335578
0.04758	32	90	2	30	2	-0.000909786
0.04766	32	92	2	30	2	-0.00213803
0.04781	32	93	2	30	2	-0.00334951
0.04792	32	94	2	30	2	-0.00454456
0.04797	32	95	2	30	2	-0.00572352
0.04827	32	96	2	30	2	-0.0068867
0.04843	33	97	2	31	2	-0.00935941
0.04846	33	98	2	31	2	-0.0105835
0.0485	33	99	2	31	2	-0.0117995
0.04855	33	100	2	31	2	-0.0130075
0.04858	33	101	2	31	2	-0.0142075
0.0486	33	102	2	31	2	-0.0153998
0.04863	33	103	2	31	2	-0.0165842
0.04884	33	104	2	31	2	-0.017761
0.04888	33	105	2	31	2	-0.0189302
0.04893	33	106	2	31	2	-0.0200918
0.04896	33	107	2	31	2	-0.0200918
0.04904	33	109	2	31	2	-0.0200918
0.04906	33	110	2	31	2	-0.0200918
0.04914	33	111	2	31	2	-0.0200918
0.04917	33	112	2	31	2	-0.0200918
0.04923	33	113	2	31	2	-0.0200918
0.04944	33	115	2	31	2	-0.0188053
0.0495	33	117	2	31	2	-0.0175187
0.04952	33	118	2	31	2	-0.0162322
0.04955	33	119	2	31	2	-0.0149457
0.04962	33	120	2	31	2	-0.0136592
0.04966	33	121	2	31	2	-0.0123727
0.04971	33	122	2	31	2	-0.0110862
0.04973	33	123	2	31	2	-0.00979965
0.04975	33	124	2	31	2	-0.00851313
0.04977	34	125	2	32	2	-0.0097045
0.04985	34	127	2	32	2	-0.0108882
0.04989	34	129	2	32	2	-0.0120644
0.04995	34	130	2	32	2	-0.0132331
0.04997	34	132	2	32	2	-0.0143943
0.04999	34	133	2	32	2	-0.0155483
0.05004	34	134	2	32	2	-0.0166949
0.05007	34	135	2	32	2	-0.0178343
0.05019	34	136	2	32	2	-0.0189666
0.05022	34	137	2	32	2	-0.0200918
0.05028	34	138	2	32	2	-0.0200918
0.05033	34	141	2	32	2	-0.0188455
0.0504	34	142	2	32	2	-0.0175991
0.05043	34	144	2	32	2	-0.0163528
0.05046	34	146	2	32	2	-0.0151065
0.05049	34	147	2	32	2	-0.0138602
0.05062	34	148	2	32	2	-0.0126139
0.05064	34	150	2	32	2	-0.0113676
0.05073	34	151	2	32	2	-0.00887496
0.05086	34	152	2	32	2	-0.00638234
0.05111	35	153	2	33	2	-0.00630081
0.05113	35	154	2	33	2	-0.00621978
0.05116	35	156	2	33	2	-0.00613925
0.0512	35	157	2	33	2	-0.00605922
0.05125	35	158	2	33	2	-0.00597969
0.0513	35	159	2	33	2	-0.00590064
0.05137	35	161	2	33	2	-0.00582207
0.05144	36	162	2	34	2	-0.00809081
0.05149	36	163	2	34	2	-0.0103321
0.05155	36	164	2	34	2	-0.0125465
0.05161	36	165	2	34	2	-0.0136438
0.05166	36	167	2	34	2	-0.0147345
0.05168	36	168	2	34	2	-0.0158187
0.05179	36	170	2	34	2	-0.0168965
0.05184	36	172	2	34	2	-0.0179679
0.05186	36	173	2	34	2	-0.019033
0.05188	36	175	2	34	2	-0.0200918
0.05196	36	176	2	34	2	-0.0200918
0.05201	36	178	2	34	2	-0.0200918
0.05204	36	179	2	34	2	-0.0200918
0.05213	36	182	2	34	2	-0.0200918
0.05218	36	185	2	34	2	-0.0200918
0.0522	36	186	2	34	2	-0.0200918
0.05223	36	187	2	34	2	-0.0200918
0.05233	36	188	2	34	2	-0.0200918
0.05243	36	190	2	34	2	-0.0200918
0.0525	36	192	2	34	2	-0.0200918
0.05253	36	193	2	34	2	-0.0200918
0.0526	36	194	2	34	2	-0.0189188
0.05268	36	195	2	34	2	-0.0177458
