Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00119	6	3	3	2	2	0
0.00178	6	4	3	2	2	0
0.00296	8	6	3	4	2	0
0.00415	8	7	3	4	2	-0.0466249
0.00476	9	8	3	4	3	-0.028446
0.00533	10	12	3	4	3	-0.0345193
0.00535	14	15	4	5	4	0.00252229
0.00592	15	18	3	7	5	-0.0286044
0.00594	19	21	5	7	5	0.985861
0.00654	19	23	5	7	5	0.973919
0.00711	19	25	5	7	5	0.956754
0.00715	20	26	5	7	6	0.962158
0.00773	21	28	5	8	6	1.08759
0.00777	22	29	5	8	7	1.19963
0.00779	23	30	5	8	8	1.34863
0.00831	25	34	4	10	8	0.514321
0.00833	25	37	3	18	4	0.204772
0.00835	26	38	3	18	5	0.125462
0.0089	27	41	3	19	5	0.0642036
0.00892	27	46	3	19	5	0.020269
0.00894	27	47	3	19	5	-0.00852578
0.00896	27	48	3	19	5	0.00214694
0.0095	28	52	3	20	5	-0.00249027
0.00952	28	58	3	20	5	-0.00204089
0.00954	28	62	3	20	5	0.00106808
0.00956	28	66	3	20	5	0.00675605
0.0101	28	70	3	20	5	0.0123303
0.01012	29	75	3	21	5	0.0255626
0.01014	30	81	3	22	5	0.0360211
0.01017	31	82	3	23	5	0.0410995
0.01069	31	83	3	23	5	0.0458984
0.01071	32	88	2	27	5	0.0320062
0.01073	33	94	2	28	5	0.0176352
0.01077	35	95	3	28	5	0.00663318
0.01099	35	96	3	28	5	-0.00183967
0.01131	35	100	3	28	5	-0.00970297
0.01133	35	108	3	28	5	-0.00934009
0.01135	35	113	3	28	5	-0.00560382
0.01138	35	114	3	28	5	-0.00186756
0.0114	35	115	3	28	5	0.00186871
0.0119	36	121	3	29	5	0.00214694
0.01192	37	130	3	30	5	-0.000966149
0.01194	37	137	3	30	5	-0.00399336
0.01196	37	139	3	30	5	-0.0069382
0.01198	37	140	3	30	5	-0.0080487
0.01249	37	143	3	30	5	-0.00772104
0.01251	37	151	3	30	5	-0.00597745
0.01253	37	161	3	30	5	-0.000746676
0.01255	38	167	3	31	5	0.0012625
0.01257	38	169	3	31	5	0.00324523
0.01259	38	170	3	31	5	0.00520205
0.01283	38	171	2	33	5	0.000788089
0.01309	38	173	2	33	5	-0.00338742
0.01311	38	179	2	33	5	-0.00608464
0.01313	38	189	2	33	5	0.243196
0.01315	38	194	2	33	5	0.486433
0.01317	38	197	2	33	5	0.743217
0.01319	38	200	2	33	5	1
0.01367	38	201	1	38	0	0.408966
0.01369	38	203	1	38	0	0.205374
0.01371	39	213	1	39	0	0.097739
0.01373	39	221	1	39	0	0.0335335
0.01375	39	229	1	39	0	-0.00911488
0.01377	39	235	1	39	0	-0.0102046
0.0138	39	236	1	39	0	-0.0112831
0.01388	39	237	1	39	0	-0.0112831
0.01427	39	238	1	39	0	-0.0112831
0.01429	39	239	1	39	0	-0.0112831
0.01431	39	243	1	39	0	-0.0112831
0.01433	39	250	1	39	0	-0.0112831
0.01435	39	259	1	39	0	-0.0112831
0.01437	39	263	1	39	0	-0.0112831
0.01439	39	264	1	39	0	-0.0112831
0.01447	39	266	1	39	0	-0.0112831
0.01453	39	267	1	39	0	-0.00994185
0.01468	39	270	1	39	0	-0.00860063
0.01488	39	272	1	39	0	-0.0072594
0.01491	39	279	1	39	0	-0.00591818
0.01493	40	287	1	40	0	-0.00701305
0.01495	40	301	1	40	0	-0.00809682
0.01497	40	307	1	40	0	-0.00916963
0.01499	40	309	1	40	0	-0.0102317
0.01505	40	310	1	40	0	-0.0112831
0.01507	40	311	1	40	0	-0.0112831
0.01509	40	313	1	40	0	-0.0112831
0.01549	40	315	1	40	0	-0.0112831
0.01551	40	318	1	40	0	-0.0112831
0.01553	40	326	1	40	0	-0.00866769
0.01555	40	334	1	40	0	-0.0060523
0.01557	40	343	1	40	0	-0.00343691
0.01559	40	348	1	40	0	-0.000821525
0.01563	42	351	1	42	0	-0.0029967
0.01571	42	352	1	42	0	-0.00512922
0.01612	42	353	1	42	0	-0.00722034
0.01614	42	360	1	42	0	-0.00801384
0.01616	42	368	1	42	0	-0.00879223
0.01618	42	373	1	42	0	-0.00754681
0.01621	42	374	1	42	0	-0.00630138
0.01623	43	377	1	43	0	-0.00731661
0.01629	43	378	1	43	0	-0.00832226
0.01633	43	379	1	43	0	-0.00931846
0.01648	43	380	1	43	0	-0.0103054
0.0165	43	381	1	43	0	-0.0112831
0.01656	43	382	1	43	0	-0.0112831
0.01671	43	386	1	43	0	-0.0100666
0.01674	43	390	1	43	0	-0.00885016
0.01676	43	398	1	43	0	-0.0076337
0.01678	43	405	1	43	0	-0.00641724
0.0168	44	409	1	44	0	-0.00740843
0.01682	44	410	1	44	0	-0.00839048
0.01685	44	411	1	44	0	-0.00936352
0.01688	44	412	1	44	0	-0.00913344
0.0169	44	413	1	44	0	-0.00890545
0.01693	44	414	1	44	0	-0.00771664
0.01695	44	415	1	44	0	-0.00652782
0.01733	45	419	1	45	0	-0.00749609
0.01736	45	424	1	45	0	-0.00845563
0.01738	45	429	1	45	0	-0.00940656
0.0174	45	435	1	45	0	-0.010349
0.01742	45	438	1	45	0	-0.0112831
0.01745	45	439	1	45	0	-0.0112831
0.01748	45	441	1	45	0	-0.0112831
0.01751	45	444	1	45	0	-0.0112831
0.01754	45	447	1	45	0	-0.0112831
0.01756	45	448	1	45	0	-0.0101207
0.0179	45	449	1	45	0	-0.00895829
0.01792	45	451	1	45	0	-0.00779589
0.01795	45	457	1	45	0	-0.0066335
0.01797	46	467	1	46	0	-0.00757987
0.01799	46	474	1	46	0	-0.00851791
0.01802	46	476	1	46	0	-0.00944771
0.01804	46	478	1	46	0	-0.0103694
0.01807	46	479	1	46	0	-0.0112831
0.0181	46	482	1	46	0	-0.0112831
0.01816	46	483	1	46	0	-0.0112831
0.01834	46	486	1	46	0	-0.0101459
0.01838	46	487	1	46	0	-0.00900882
0.01847	46	488	1	46	0	-0.0078717
0.01849	46	490	1	46	0	-0.00673457
0.01853	47	492	1	47	0	-0.00766003
0.01855	47	496	1	47	0	-0.0085775
0.01857	47	502	1	47	0	-0.0094871
0.01859	47	508	1	47	0	-0.0103889
0.01861	47	514	1	47	0	-0.0112831
0.01863	47	518	1	47	0	-0.0112831
0.01865	47	519	1	47	0	-0.0112831
0.01867	47	523	1	47	0	-0.0112831
0.01869	47	524	1	47	0	-0.0112831
0.01872	47	526	1	47	0	-0.0112831
0.01874	47	529	1	47	0	-0.0112831
0.01877	47	530	1	47	0	-0.0112831
0.01881	47	531	1	47	0	-0.0112831
0.01909	47	532	1	47	0	-0.0112831
0.01913	47	533	1	47	0	-0.0112831
0.01916	47	540	1	47	0	-0.0112831
0.01918	47	551	1	47	0	-0.0112831
0.0192	47	556	1	47	0	-0.0112831
0.01922	47	561	1	47	0	-0.0112831
0.01924	47	563	1	47	0	-0.0112831
0.0193	47	565	1	47	0	-0.0112831
0.01932	47	568	1	47	0	-0.0112831
0.01934	47	570	1	47	0	-0.0112831
0.01937	47	571	1	47	0	-0.0112831
0.01942	47	573	1	47	0	-0.0112831
0.01974	47	577	1	47	0	-0.0112831
0.01977	47	582	1	47	0	-0.0112831
0.01979	47	587	1	47	0	-0.0112831
0.01981	47	593	1	47	0	-0.0112831
0.01983	47	594	1	47	0	-0.0112831
0.01985	47	595	1	47	0	-0.0112831
0.01988	47	597	1	47	0	-0.0112831
0.01994	47	598	1	47	0	-0.0112831
0.01996	47	600	1	47	0	-0.0112831
0.01998	47	602	1	47	0	-0.0112831
0.0202	47	603	1	47	0	-0.0112831
0.02023	47	604	1	47	0	-0.0112831
0.0203	47	606	1	47	0	-0.0112831
0.02032	47	609	1	47	0	-0.0112831
0.02037	47	614	1	47	0	-0.0112831
0.0204	47	623	1	47	0	-0.0112831
0.02042	47	628	1	47	0	-0.0112831
0.02044	47	630	1	47	0	-0.0112831
0.02046	47	634	1	47	0	-0.0112831
0.02049	47	637	1	47	0	-0.0112831
0.02051	47	638	1	47	0	-0.0112831
0.02058	47	639	1	47	0	-0.0112831
0.0206	47	641	1	47	0	-0.0112831
0.02063	47	642	1	47	0	-0.0112831
0.02066	47	643	1	47	0	-0.0112831
0.02096	47	646	1	47	0	-0.0112831
