Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	154	915	11	127	5	0	4
0.00533	154	1031	11	127	5	0	8
0.00536	154	1769	11	127	5	0	26
0.00538	154	2242	11	127	5	0	30
0.01068	154	2380	11	127	5	0	33
0.01072	154	2955	11	127	5	0	41
0.01074	154	2969	11	127	5	0	41
0.01078	154	2984	11	127	5	0	41
0.0108	154	3286	11	127	5	0	41
0.01082	154	3288	11	127	5	0	41
0.0109	154	3321	11	127	5	0	41
0.01092	154	3358	11	127	5	0	44
0.01094	154	3368	11	127	5	0	45
0.01096	154	3370	11	127	5	0	45
0.01608	154	3423	11	127	5	0	45
0.0161	154	3479	11	127	5	0	45
0.01613	154	3481	11	127	5	0	46
0.01615	154	3615	11	127	5	0	46
0.01617	154	3930	11	127	5	0	49
0.01619	154	3931	11	127	5	0	49
0.01624	154	3979	11	127	5	0	49
0.01626	154	4046	11	127	5	0	49
0.01628	154	4069	11	127	5	0	49
0.0163	154	4079	11	127	5	0	49
0.01635	154	4175	11	127	5	1.5	49
0.01663	154	4178	11	127	5	1.5	49
0.01665	154	4179	11	127	5	1.5	49
0.01667	154	4185	11	127	5	1.5	49
0.0167	154	4191	11	127	5	1.5	49
0.01672	154	4196	11	127	5	1.5	49
0.02151	154	4198	11	127	5	1.5	49
0.02153	154	4199	11	127	5	1.5	49
0.02156	154	4289	11	127	5	1.5	49
0.02162	154	4292	11	127	5	1.5	49
0.02165	154	4326	11	127	5	1.5	49
0.02167	154	4340	11	127	5	1.5	49
0.02169	154	4386	11	127	5	1.5	49
0.02171	154	4548	11	127	5	1.5	49
0.02173	154	4605	11	127	5	1.5	49
0.02175	154	4607	11	127	5	1.5	49
0.0218	154	4607	11	127	5	1.5	49
0.02186	154	4611	11	127	5	1.5	49
0.02196	154	4629	11	127	5	1.5	49
0.02199	154	4644	11	127	5	1.5	49
0.02201	154	4663	11	127	5	1.5	49
0.02204	154	4664	11	127	5	1.5	49
0.02206	154	4681	11	127	5	1.5	49
0.02208	154	4687	11	127	5	1.5	50
0.02213	154	4688	11	127	5	1.5	50
0.02237	154	4689	11	127	5	1.5	50
0.02251	154	4690	11	127	5	1.5	50
0.02254	154	4691	11	127	5	1.5	50
0.02263	154	4696	11	127	5	1.5	50
0.02265	154	4697	11	127	5	1.5	50
0.02268	154	4698	11	127	5	1.5	50
0.02272	154	4702	11	127	5	1.5	50
0.02701	154	4704	11	127	5	1.5	50
0.02705	154	4705	11	127	5	1.5	50
0.02707	154	4706	11	127	5	1.5	50
0.0271	154	4707	11	127	5	1.5	50
0.02712	154	4732	11	127	5	1.5	50
0.02714	154	4772	11	127	5	1.5	50
0.02716	154	4775	11	127	5	1.5	50
0.02718	154	4782	11	127	5	1.5	50
0.0272	154	4784	11	127	5	1.5	50
0.02724	154	4798	11	127	5	1.5	50
0.02726	154	4827	11	127	5	1.5	50
0.02728	154	4837	11	127	5	1.5	50
0.0273	154	4838	11	127	5	1.5	50
0.02737	154	4904	11	127	5	1.5	50
0.02739	154	4911	11	127	5	1.5	50
0.02741	154	4929	11	127	5	1.5	50
0.02743	154	4940	11	127	5	1.5	50
0.02745	154	4954	11	127	5	1.5	50
0.02748	154	4956	11	127	5	1.5	50
0.0275	154	4962	11	127	5	1.5	51
0.02753	154	4964	11	127	5	1.5	51
0.02756	154	4965	11	127	5	1.5	51
0.02759	154	4966	11	127	5	1.5	51
0.02778	154	4975	11	127	5	1.5	51
0.02785	154	4981	11	127	5	1.5	51
0.02788	154	4986	11	127	5	1.5	51
0.02792	154	4987	11	127	5	1.5	51
0.02794	154	4989	11	127	5	1.5	51
0.02797	154	4990	11	127	5	1.5	51
0.02803	154	4991	11	127	5	1.5	51
0.02807	154	4997	11	127	5	1.5	51
0.0281	154	4998	11	127	5	1.5	51
0.02813	154	4999	11	127	5	1.5	51
0.02875	154	5000	11	127	5	1.5	51
0.02891	154	5001	11	127	5	1.5	51
0.0326	154	5003	11	127	5	1.5	52
0.03263	154	5005	11	127	5	1.5	52
0.0327	154	5011	11	127	5	1.5	52
0.03272	154	5017	11	127	5	1.5	52
0.03274	154	5018	11	127	5	1.5	52
0.03276	154	5020	11	127	5	1.5	52
0.0328	154	5021	11	127	5	1.5	52
0.03282	154	5049	11	127	5	1.5	52
0.03284	154	5054	11	127	5	1.5	52
0.03286	154	5058	11	127	5	1.5	52
0.03288	154	5058	11	127	5	1.5	52
