Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	65	118	10	40	7	0	11
0.00175	65	228	10	40	7	0	38
0.00177	65	229	10	40	7	0	38
0.00296	65	232	10	40	7	0	39
0.00307	65	248	10	40	7	0	41
0.00309	65	256	10	40	7	0	44
0.0032	65	273	10	40	7	0	44
0.00323	65	275	10	40	7	0	45
0.0035	65	516	10	40	7	0	72
0.00352	65	530	10	40	7	0	74
0.00358	65	531	10	40	7	0	74
0.00524	65	747	10	40	7	0	85
0.00526	65	828	10	40	7	0	93
0.00528	65	931	10	40	7	0	94
0.0053	65	934	10	40	7	0	95
0.00534	65	935	10	40	7	0	95
0.00538	65	938	10	40	7	0	95
0.0059	65	941	10	40	7	0	95
0.00593	65	956	10	40	7	0	95
0.00614	65	964	10	40	7	0	95
0.00617	65	977	10	40	7	0	96
0.0062	65	977	10	40	7	0	96
0.0064	65	984	10	40	7	0	96
0.00643	65	997	10	40	7	0	96
0.00646	65	998	10	40	7	0	96
0.0065	65	1003	10	40	7	0	96
0.00655	65	1022	10	40	7	0	97
0.00657	65	1024	10	40	7	0	97
0.00699	65	1166	10	40	7	0	100
0.00701	65	1387	10	40	7	0	101
0.00703	65	1450	10	40	7	1.5	103
0.00705	65	1506	10	40	7	1.5	103
0.00707	65	1510	10	40	7	1.5	105
0.00711	65	1510	10	40	7	1.5	105
0.00718	65	1511	10	40	7	1.5	105
0.00721	65	1511	10	40	7	1.5	105
0.00724	65	1512	10	40	7	1.5	105
0.00875	65	1627	10	40	7	1.5	109
0.00877	65	1833	10	40	7	1.5	113
0.00879	65	1987	10	40	7	1.5	113
0.00881	65	2019	10	40	7	1.5	114
0.00883	65	2044	10	40	7	1.5	114
0.00885	65	2045	10	40	7	1.5	114
0.00887	65	2058	10	40	7	1.5	114
0.00892	65	2067	10	40	7	1.5	114
0.00894	65	2071	10	40	7	1.5	114
0.00897	65	2071	10	40	7	1.5	114
0.00902	65	2072	10	40	7	1.5	114
0.00923	65	2073	10	40	7	1.5	114
0.00925	65	2078	10	40	7	1.5	114
0.0093	65	2079	10	40	7	1.5	114
0.00932	65	2081	10	40	7	1.5	114
0.00943	65	2082	10	40	7	1.5	114
0.00961	65	2084	10	40	7	1.5	114
0.00964	65	2088	10	40	7	1.5	114
0.00969	65	2089	10	40	7	1.5	114
0.00972	65	2092	10	40	7	1.5	114
0.00983	65	2093	10	40	7	1.5	114
0.01051	65	2170	10	40	7	1.5	115
0.01053	65	2279	10	40	7	1.5	117
0.01055	65	2427	10	40	7	1.5	117
0.01057	65	2467	10	40	7	1.5	117
0.01059	65	2533	10	40	7	1.5	117
0.01061	65	2550	10	40	7	1.5	117
0.01063	65	2553	10	40	7	1.5	117
0.01065	65	2568	10	40	7	1.5	117
0.01067	65	2569	10	40	7	1.5	117
0.01069	65	2570	10	40	7	1.5	117
0.01077	65	2571	10	40	7	1.5	117
0.01079	65	2571	10	40	7	1.5	117
0.01083	65	2571	10	40	7	1.5	117
0.01085	65	2572	10	40	7	1.5	117
0.01183	65	2575	10	40	7	1.5	117
0.01186	65	2576	10	40	7	1.5	117
0.01188	65	2580	10	40	7	1.5	117
0.01197	65	2587	10	40	7	1.5	117
0.01227	65	2612	10	40	7	1.5	118
0.01229	65	2714	10	40	7	1.5	118
0.01231	65	2816	10	40	7	1.5	120
0.01233	65	2914	10	40	7	1.5	120
0.01235	65	2929	10	40	7	1.5	120
0.01237	65	2951	10	40	7	1.5	120
0.01239	65	2985	10	40	7	1.5	120
0.01241	65	2990	10	40	7	1.5	120
0.01243	65	2996	10	40	7	1.5	120
0.01245	65	2997	10	40	7	1.5	120
0.01249	65	2998	10	40	7	1.5	120
0.01252	65	2998	10	40	7	1.5	120
0.0126	65	2998	10	40	7	1.5	120
0.01265	65	2998	10	40	7	1.5	120
0.01267	65	2998	10	40	7	1.5	120
0.0127	65	2998	10	40	7	1.5	120
0.01272	65	2999	10	40	7	1.5	120
0.01291	65	3000	10	40	7	1.5	120
0.01305	65	3001	10	40	7	1.5	120
0.01308	65	3004	10	40	7	1.5	120
0.0131	65	3009	10	40	7	1.5	120
0.01313	65	3010	10	40	7	1.5	120
0.01315	65	3011	10	40	7	1.5	120
0.01319	65	3012	10	40	7	1.5	120
0.01326	65	3014	10	40	7	1.5	120
0.01404	65	3031	10	40	7	1.5	122
0.01406	65	3117	10	40	7	1.5	122
0.01408	65	3184	10	40	7	1.5	123
0.0141	65	3267	10	40	7	1.5	123
0.01412	65	3297	10	40	7	1.5	123
0.01414	65	3343	10	40	7	1.5	123
0.01416	65	3350	10	40	7	1.5	123
0.01418	65	3365	10	40	7	1.5	123
0.0142	65	3382	10	40	7	1.5	123
0.01422	65	3386	10	40	7	1.5	123
0.01425	65	3389	10	40	7	1.5	123
0.01428	65	3392	10	40	7	1.5	123
0.01435	65	3393	10	40	7	1.5	123
0.01438	65	3393	10	40	7	1.5	123
0.01442	65	3393	10	40	7	1.5	123
0.01448	65	3393	10	40	7	1.5	123
0.0145	65	3393	10	40	7	1.5	123
0.01481	65	3394	10	40	7	1.5	123
0.01484	65	3395	10	40	7	1.5	123
0.01486	65	3397	10	40	7	1.5	123
0.01492	65	3398	10	40	7	1.5	123
0.01505	65	3402	10	40	7	1.5	123
0.01512	65	3403	10	40	7	1.5	123
0.01551	65	3404	10	40	7	1.5	123
0.01554	65	3404	10	40	7	1.5	123
0.01558	65	3405	10	40	7	1.5	123
0.01581	65	3419	10	40	7	1.5	123
0.01583	65	3447	10	40	7	1.5	124
0.01585	65	3509	10	40	7	1.5	124
0.01587	65	3566	10	40	7	1.5	126
0.01589	65	3609	10	40	7	1.5	127
0.01591	65	3664	10	40	7	1.5	127
0.01593	65	3680	10	40	7	1.5	127
0.01595	65	3722	10	40	7	1.5	127
0.01597	65	3726	10	40	7	1.5	127
0.01599	65	3737	10	40	7	1.5	127
0.01601	65	3743	10	40	7	1.5	127
0.01603	65	3754	10	40	7	1.5	127
0.01605	65	3755	10	40	7	1.5	127
0.01607	65	3756	10	40	7	1.5	127
0.0161	65	3757	10	40	7	1.5	127
0.01612	65	3767	10	40	7	1.5	127
0.01614	65	3768	10	40	7	1.5	127
0.01616	65	3770	10	40	7	1.5	127
0.0162	65	3770	10	40	7	1.5	127
0.01623	65	3770	10	40	7	1.5	127
0.01632	65	3771	10	40	7	1.5	127
0.01634	65	3771	10	40	7	1.5	127
0.01637	65	3772	10	40	7	1.5	127
0.01758	65	3787	10	40	7	1.5	127
0.0176	65	3803	10	40	7	1.5	127
0.01762	65	3827	10	40	7	1.5	127
0.01764	65	3885	10	40	7	1.5	127
0.01766	65	3919	10	40	7	1.5	127
0.01768	65	3949	10	40	7	1.5	127
0.0177	65	3983	10	40	7	1.5	127
0.01772	65	4026	10	40	7	1.5	127
0.01774	65	4035	10	40	7	1.5	127
0.01776	65	4038	10	40	7	1.5	127
0.01778	65	4047	10	40	7	1.5	127
0.0178	65	4052	10	40	7	1.5	127
0.01782	65	4055	10	40	7	1.5	127
0.01784	65	4056	10	40	7	1.5	127
0.01786	65	4063	10	40	7	1.5	127
0.01789	65	4065	10	40	7	1.5	127
0.01799	65	4065	10	40	7	1.5	127
0.01817	65	4065	10	40	7	1.5	127
0.01875	65	4066	10	40	7	1.5	127
0.01936	65	4081	10	40	7	1.5	127
0.01938	65	4092	10	40	7	1.5	129
0.0194	65	4111	10	40	7	1.5	129
0.01942	65	4123	10	40	7	1.5	129
0.01944	65	4176	10	40	7	1.5	129
0.01946	65	4210	10	40	7	1.5	129
0.01948	65	4228	10	40	7	1.5	129
0.0195	65	4262	10	40	7	1.5	129
0.01952	65	4267	10	40	7	1.5	129
0.01954	65	4294	10	40	7	1.5	129
0.01956	65	4305	10	40	7	1.5	129
0.01959	65	4311	10	40	7	1.5	129
0.01961	65	4312	10	40	7	1.5	129
0.01963	65	4320	10	40	7	1.5	129
0.01965	65	4321	10	40	7	1.5	129
0.01967	65	4321	10	40	7	1.5	129
0.01969	65	4321	10	40	7	1.5	129
0.01971	65	4322	10	40	7	1.5	129
0.01973	65	4322	10	40	7	1.5	129
0.01998	65	4323	10	40	7	1.5	129
0.02001	65	4324	10	40	7	1.5	129
0.0209	65	4325	10	40	7	1.5	129
0.02095	65	4325	10	40	7	1.5	129
0.02099	65	4326	10	40	7	1.5	129
0.02115	65	4342	10	40	7	1.5	129
0.02117	65	4351	10	40	7	1.5	131
0.02119	65	4365	10	40	7	1.5	131
