Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	4	2	2	2	2	0	15
0.001	4	4	2	2	2	0	16
0.00112	4	5	2	2	2	0	16
0.00114	4	6	2	2	2	0	18
0.00135	4	8	2	2	2	0	22
0.00145	4	11	2	2	2	0	27
0.00156	4	11	2	2	2	0	27
0.00174	4	12	2	2	2	0	30
0.00201	4	13	2	2	2	0	32
0.00213	4	15	2	2	2	0	35
0.00223	4	16	2	2	2	0	35
0.00225	4	17	2	2	2	0	35
0.00229	4	18	2	2	2	0	35
0.00234	4	18	2	2	2	0	35
0.00238	4	19	2	2	2	0	37
0.00247	4	21	2	2	2	0	39
0.0026	4	22	2	2	2	0	39
0.00263	4	23	2	2	2	0	39
0.00275	4	24	2	2	2	0	40
0.00279	4	25	2	2	2	0	40
0.00298	4	25	2	2	2	0	40
0.00301	4	29	2	2	2	0	44
0.00303	4	30	2	2	2	0	45
0.00305	4	30	2	2	2	0	45
0.00312	4	33	2	2	2	0	47
0.00321	4	33	2	2	2	0	47
0.00324	4	34	2	2	2	0	49
0.00334	4	37	2	2	2	0	51
0.00337	4	39	2	2	2	0	53
0.00346	4	40	2	2	2	0	54
0.00353	4	41	2	2	2	1.5	54
0.00355	4	41	2	2	2	1.5	54
0.00357	4	44	2	2	2	1.5	54
0.00359	4	45	2	2	2	1.5	54
0.00363	4	47	2	2	2	1.5	55
0.00367	4	50	2	2	2	1.5	56
0.00372	4	51	2	2	2	1.5	57
0.00374	4	52	2	2	2	1.5	58
0.00379	4	53	2	2	2	1.5	59
0.00382	4	54	2	2	2	1.5	59
0.00388	4	57	2	2	2	1.5	61
0.0039	4	60	2	2	2	1.5	63
0.00393	4	61	2	2	2	1.5	64
0.004	4	64	2	2	2	1.5	64
0.00402	4	66	2	2	2	1.5	65
0.00405	4	66	2	2	2	1.5	65
0.00408	4	69	2	2	2	1.5	65
0.0041	4	71	2	2	2	1.5	65
0.00412	4	72	2	2	2	1.5	65
0.00414	4	73	2	2	2	1.5	66
0.00416	4	74	2	2	2	1.5	66
0.00423	4	76	2	2	2	1.5	68
0.00425	4	78	2	2	2	1.5	69
0.00427	4	79	2	2	2	1.5	69
0.00433	4	80	2	2	2	1.5	69
0.00436	4	80	2	2	2	1.5	69
0.00439	4	82	2	2	2	1.5	70
0.00444	4	83	2	2	2	1.5	70
0.00451	4	86	2	2	2	1.5	72
0.00454	4	87	2	2	2	1.5	72
0.00456	4	90	2	2	2	1.5	72
0.00458	4	92	2	2	2	1.5	72
0.0046	4	92	2	2	2	1.5	72
0.00467	4	96	2	2	2	1.5	75
0.00469	4	99	2	2	2	1.5	75
0.00471	4	100	2	2	2	1.5	75
0.00473	4	103	2	2	2	1.5	78
0.00475	4	108	2	2	2	1.5	80
0.0048	4	109	2	2	2	1.5	80
0.00483	4	110	2	2	2	1.5	80
0.00486	4	112	2	2	2	1.5	80
0.00488	4	114	2	2	2	1.5	80
0.00491	4	118	2	2	2	1.5	82
0.00493	4	120	2	2	2	1.5	82
0.00496	4	120	2	2	2	1.5	82
0.00498	4	121	2	2	2	1.5	83
0.005	4	125	2	2	2	1.5	85
0.00502	4	128	2	2	2	1.5	86
0.00505	4	129	2	2	2	1.5	87
0.00507	4	131	2	2	2	1.5	87
0.00509	4	133	2	2	2	1.5	87
0.00511	4	134	2	2	2	1.5	88
0.00513	4	136	2	2	2	1.5	88
0.00515	4	138	2	2	2	1.5	88
0.0052	4	139	2	2	2	1.5	88
0.00522	4	139	2	2	2	1.5	88
0.00524	4	142	2	2	2	1.5	88
0.00526	4	145	2	2	2	1.5	89
0.00529	4	147	2	2	2	1.5	90
0.00534	4	149	2	2	2	1.5	90
0.00536	4	153	2	2	2	1.5	93
0.00539	4	153	2	2	2	1.5	93
0.00541	4	153	2	2	2	1.5	93
0.00543	4	154	2	2	2	1.5	93
0.00545	4	158	2	2	2	1.5	93
0.00547	4	158	2	2	2	1.5	93
0.0055	4	159	2	2	2	1.5	94
0.00552	4	161	2	2	2	1.5	95
0.00555	4	164	2	2	2	1.5	95
0.00557	4	167	2	2	2	1.5	95
0.00559	4	168	2	2	2	1.5	95
0.00561	4	169	2	2	2	1.5	95
0.00563	4	170	2	2	2	1.5	95
0.00565	4	171	2	2	2	1.5	95
0.00567	4	175	2	2	2	1.5	95
0.0057	4	178	2	2	2	1.5	95
0.00572	4	180	2	2	2	1.5	95
0.00577	4	182	2	2	2	1.5	96
0.00579	4	187	2	2	2	1.5	97
0.00581	4	188	2	2	2	1.5	97
0.00583	4	189	2	2	2	1.5	97
0.00585	4	191	2	2	2	1.5	97
0.00588	4	193	2	2	2	1.5	97
0.0059	4	198	2	2	2	1.5	98
0.00592	4	199	2	2	2	1.5	98
0.00594	4	200	2	2	2	1.5	99
0.00596	4	200	2	2	2	1.5	99
0.00599	4	202	2	2	2	1.5	100
0.00602	4	205	2	2	2	1.5	101
0.00604	4	208	2	2	2	1.5	101
0.00607	4	210	2	2	2	1.5	101
0.0061	4	230	2	2	2	1.5	104
0.00613	4	236	2	2	2	1.5	105
0.00615	4	241	2	2	2	1.5	107
0.00617	4	241	2	2	2	1.5	107
0.00621	4	245	2	2	2	1.5	108
0.00623	4	248	2	2	2	1.5	109
0.00625	4	254	2	2	2	1.5	109
0.00627	4	257	2	2	2	1.5	109
0.0063	4	259	2	2	2	1.5	109
0.00632	4	261	2	2	2	1.5	109
0.00634	4	264	2	2	2	1.5	110
0.00636	4	268	2	2	2	1.5	110
0.00638	4	270	2	2	2	1.5	111
0.00641	4	272	2	2	2	1.5	111
0.00643	4	273	2	2	2	1.5	111
0.00645	4	275	2	2	2	1.5	111
0.00647	4	281	2	2	2	1.5	113
0.00651	4	283	2	2	2	1.5	114
0.00653	4	285	2	2	2	1.5	114
0.00655	4	291	2	2	2	1.5	114
0.00657	4	295	2	2	2	1.5	114
0.00659	4	299	2	2	2	1.5	114
0.00661	4	299	2	2	2	1.5	114
0.00664	4	301	2	2	2	1.5	115
0.00666	4	303	2	2	2	1.5	116
0.00668	4	306	2	2	2	1.5	116
0.0067	4	312	2	2	2	1.5	117
0.00672	4	314	2	2	2	1.5	118
0.00675	4	315	2	2	2	1.5	118
0.00677	4	318	2	2	2	1.5	118
0.00679	4	320	2	2	2	1.5	118
0.00681	4	324	2	2	2	1.5	118
0.00683	4	328	2	2	2	1.5	118
0.00685	4	330	2	2	2	1.5	118
0.00687	4	331	2	2	2	1.5	118
0.00689	4	334	2	2	2	1.5	118
0.00691	4	340	2	2	2	1.5	119
0.00694	4	344	2	2	2	1.5	119
0.00696	4	346	2	2	2	1.5	119
0.007	4	351	2	2	2	1.5	120
0.00702	4	353	2	2	2	1.5	120
0.00704	4	357	2	2	2	1.5	120
0.00706	4	358	2	2	2	1.5	120
0.00709	4	360	2	2	2	1.5	122
0.00712	4	364	2	2	2	1.5	122
0.00714	4	368	2	2	2	1.5	122
0.00716	4	375	2	2	2	1.5	124
0.00719	4	376	2	2	2	1.5	124
0.00723	4	381	2	2	2	1.5	124
0.00725	4	384	2	2	2	1.5	124
0.00727	4	388	2	2	2	1.5	124
0.00732	4	389	2	2	2	1.5	124
0.00735	4	391	2	2	2	1.5	124
0.00738	4	393	2	2	2	1.5	124
0.0074	4	399	2	2	2	1.5	125
0.00742	4	403	2	2	2	1.5	126
0.00744	4	406	2	2	2	1.5	126
0.00747	4	411	2	2	2	1.5	127
0.00749	4	414	2	2	2	1.5	127
0.00751	4	417	2	2	2	1.5	127
0.00753	4	421	2	2	2	1.5	128
0.00755	4	425	2	2	2	1.5	128
0.00757	4	429	2	2	2	1.5	128
0.00759	4	434	2	2	2	1.5	128
0.00761	4	436	2	2	2	1.5	128
0.00763	4	437	2	2	2	1.5	129
0.00765	4	437	2	2	2	1.5	129
0.00767	4	440	2	2	2	1.5	129
0.00769	4	445	2	2	2	1.5	129
0.00771	4	452	2	2	2	1.5	129
0.00773	4	456	2	2	2	1.5	129
0.00775	4	462	2	2	2	1.5	133
0.00777	4	464	2	2	2	1.5	134
0.00779	4	467	2	2	2	1.5	135
0.00781	4	471	2	2	2	1.5	136
0.00783	4	476	2	2	2	1.5	138
0.00785	4	478	2	2	2	1.5	138
0.00788	4	480	2	2	2	1.5	138
0.0079	4	481	2	2	2	1.5	138
0.00792	4	484	2	2	2	1.5	138
0.00794	4	487	2	2	2	1.5	138
0.00796	4	490	2	2	2	1.5	139
0.00798	4	492	2	2	2	1.5	139
0.008	4	494	2	2	2	1.5	139
0.00802	4	499	2	2	2	1.5	139
0.00804	4	504	2	2	2	1.5	139
0.00806	4	507	2	2	2	1.5	139
0.00808	4	511	2	2	2	1.5	139
