Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	3	2	1	3	0	0	20
0.00034	3	5	1	3	0	0	23
0.00036	3	6	1	3	0	0	24
0.00066	3	11	1	3	0	0	30
0.0007	3	12	1	3	0	0	32
0.00098	3	13	1	3	0	0	32
0.001	3	15	1	3	0	0	32
0.00105	3	16	1	3	0	0	33
0.0013	3	20	1	3	0	0	37
0.00133	3	21	1	3	0	0	37
0.00162	3	24	1	3	0	0	41
0.00166	3	26	1	3	0	0	41
0.00173	3	29	1	3	0	0	41
0.00175	3	29	1	3	0	0	41
0.00177	3	30	1	3	0	0	41
0.00194	3	34	1	3	0	0	43
0.00199	3	36	1	3	0	0	44
0.00207	3	38	1	3	0	0	44
0.0021	3	39	1	3	0	0	45
0.00226	3	47	1	3	0	0	49
0.00232	3	49	1	3	0	0	50
0.00242	3	54	1	3	0	0	53
0.00244	3	55	1	3	0	0	54
0.00258	3	68	1	3	0	0	62
0.00265	3	70	1	3	0	0	62
0.00277	3	71	1	3	0	0	62
0.0028	3	72	1	3	0	0	63
0.00286	3	73	1	3	0	0	63
0.00289	3	73	1	3	0	0	63
0.00291	3	85	1	3	0	0	68
0.00297	3	86	1	3	0	1.5	68
0.00299	3	89	1	3	0	1.5	70
0.0031	3	90	1	3	0	1.5	70
0.00313	3	91	1	3	0	1.5	70
0.00315	3	92	1	3	0	1.5	70
0.00317	3	95	1	3	0	1.5	70
0.00321	3	95	1	3	0	1.5	70
0.00323	3	108	1	3	0	1.5	80
0.00332	3	109	1	3	0	1.5	80
0.00345	3	111	1	3	0	1.5	80
0.00347	3	113	1	3	0	1.5	80
0.00349	3	115	1	3	0	1.5	81
0.00353	3	118	1	3	0	1.5	81
0.00355	3	135	1	3	0	1.5	83
0.00358	3	136	1	3	0	1.5	84
0.00365	3	138	1	3	0	1.5	86
0.00379	3	142	1	3	0	1.5	87
0.00381	3	144	1	3	0	1.5	88
0.00383	3	146	1	3	0	1.5	89
0.00385	3	148	1	3	0	1.5	90
0.00387	3	163	1	3	0	1.5	98
0.00396	3	164	1	3	0	1.5	98
0.00398	3	166	1	3	0	1.5	98
0.00414	3	169	1	3	0	1.5	98
0.00416	3	172	1	3	0	1.5	98
0.00418	3	177	1	3	0	1.5	99
0.0042	3	199	1	3	0	1.5	100
0.00423	3	199	1	3	0	1.5	100
0.0043	3	201	1	3	0	1.5	100
0.00448	3	204	1	3	0	1.5	100
0.0045	3	206	1	3	0	1.5	100
0.00452	3	225	1	3	0	1.5	102
0.00455	3	226	1	3	0	1.5	102
0.00462	3	228	1	3	0	1.5	104
0.00464	3	230	1	3	0	1.5	104
0.0048	3	232	1	3	0	1.5	105
0.00482	3	236	1	3	0	1.5	106
0.00484	3	263	1	3	0	1.5	110
0.00486	3	268	1	3	0	1.5	110
0.00488	3	270	1	3	0	1.5	110
0.0049	3	271	1	3	0	1.5	110
0.00492	3	272	1	3	0	1.5	110
0.00497	3	274	1	3	0	1.5	111
0.00499	3	274	1	3	0	1.5	111
0.00501	3	274	1	3	0	1.5	111
0.0051	3	275	1	3	0	1.5	111
0.00514	3	278	1	3	0	1.5	111
0.00516	3	292	1	3	0	1.5	113
0.00518	3	300	1	3	0	1.5	114
0.0052	3	301	1	3	0	1.5	114
0.00523	3	301	1	3	0	1.5	114
0.00525	3	303	1	3	0	1.5	114
0.00531	3	305	1	3	0	1.5	115
0.00535	3	306	1	3	0	1.5	115
0.00544	3	307	1	3	0	1.5	116
0.00547	3	308	1	3	0	1.5	116
0.00549	3	345	1	3	0	1.5	119
0.00551	3	349	1	3	0	1.5	119
0.00555	3	352	1	3	0	1.5	119
0.00557	3	355	1	3	0	1.5	119
0.0056	3	356	1	3	0	1.5	119
0.00563	3	360	1	3	0	1.5	120
0.00565	3	361	1	3	0	1.5	120
0.00572	3	362	1	3	0	1.5	120
0.00578	3	365	1	3	0	1.5	120
0.0058	3	368	1	3	0	1.5	120
0.00582	3	403	1	3	0	1.5	124
0.00584	3	404	1	3	0	1.5	124
0.00586	3	407	1	3	0	1.5	124
0.0059	3	408	1	3	0	1.5	124
0.00592	3	409	1	3	0	1.5	124
