Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	15	10	6	4	3	0	18
0.00058	15	22	6	4	3	0	30
0.00061	15	22	6	4	3	0	30
0.00065	15	25	6	4	3	0	31
0.00067	15	25	6	4	3	0	31
0.00099	15	26	6	4	3	0	32
0.00114	15	42	6	4	3	0	41
0.0012	15	45	6	4	3	0	41
0.00128	15	47	6	4	3	0	42
0.0013	15	47	6	4	3	0	42
0.00132	15	48	6	4	3	0	42
0.00171	15	78	6	4	3	0	58
0.00179	15	81	6	4	3	0	58
0.00187	15	81	6	4	3	0	58
0.0019	15	81	6	4	3	0	58
0.00192	15	85	6	4	3	0	59
0.00194	15	87	6	4	3	0	59
0.00196	15	88	6	4	3	0	59
0.002	15	88	6	4	3	0	59
0.00206	15	89	6	4	3	0	60
0.00227	15	131	6	4	3	0	78
0.00238	15	138	6	4	3	0	78
0.00254	15	141	6	4	3	0	78
0.00256	15	144	6	4	3	0	79
0.00258	15	146	6	4	3	0	79
0.0026	15	153	6	4	3	0	79
0.00262	15	153	6	4	3	0	79
0.00266	15	155	6	4	3	0	79
0.00274	15	156	6	4	3	0	79
0.00284	15	208	6	4	3	1.5	97
0.00298	15	208	6	4	3	1.5	97
0.00311	15	209	6	4	3	1.5	97
0.00317	15	210	6	4	3	1.5	97
0.00319	15	221	6	4	3	1.5	97
0.00322	15	225	6	4	3	1.5	97
0.00325	15	231	6	4	3	1.5	97
0.00327	15	231	6	4	3	1.5	97
0.00332	15	233	6	4	3	1.5	98
0.00341	15	299	6	4	3	1.5	108
0.00354	15	300	6	4	3	1.5	108
0.00357	15	304	6	4	3	1.5	109
0.00374	15	306	6	4	3	1.5	109
0.0038	15	308	6	4	3	1.5	109
0.00383	15	314	6	4	3	1.5	109
0.00387	15	318	6	4	3	1.5	109
0.0039	15	326	6	4	3	1.5	109
0.00392	15	328	6	4	3	1.5	109
0.00394	15	329	6	4	3	1.5	109
0.00396	15	330	6	4	3	1.5	109
0.00398	15	412	6	4	3	1.5	119
0.004	15	412	6	4	3	1.5	119
0.00408	15	413	6	4	3	1.5	119
0.00414	15	414	6	4	3	1.5	119
0.00416	15	420	6	4	3	1.5	119
0.00436	15	421	6	4	3	1.5	119
0.00443	15	421	6	4	3	1.5	119
0.00447	15	427	6	4	3	1.5	119
0.00451	15	432	6	4	3	1.5	119
0.00454	15	515	6	4	3	1.5	128
0.00456	15	526	6	4	3	1.5	128
0.00458	15	527	6	4	3	1.5	128
0.0046	15	528	6	4	3	1.5	129
0.00464	15	529	6	4	3	1.5	129
0.00473	15	530	6	4	3	1.5	129
0.00476	15	534	6	4	3	1.5	129
0.00498	15	536	6	4	3	1.5	129
0.00507	15	540	6	4	3	1.5	129
0.00511	15	640	6	4	3	1.5	136
0.00513	15	655	6	4	3	1.5	137
0.00516	15	666	6	4	3	1.5	137
0.00518	15	666	6	4	3	1.5	137
0.0052	15	680	6	4	3	1.5	137
0.00522	15	690	6	4	3	1.5	137
0.00524	15	698	6	4	3	1.5	137
0.00526	15	698	6	4	3	1.5	137
0.0053	15	698	6	4	3	1.5	137
0.00532	15	699	6	4	3	1.5	137
0.00536	15	704	6	4	3	1.5	137
0.0056	15	708	6	4	3	1.5	137
0.00562	15	709	6	4	3	1.5	137
0.00568	15	846	6	4	3	1.5	142
0.0057	15	855	6	4	3	1.5	142
0.00574	15	856	6	4	3	1.5	142
0.00577	15	858	6	4	3	1.5	142
0.00579	15	861	6	4	3	1.5	142
0.00581	15	864	6	4	3	1.5	142
0.00583	15	866	6	4	3	1.5	142
0.00585	15	868	6	4	3	1.5	142
0.00587	15	869	6	4	3	1.5	142
0.00589	15	869	6	4	3	1.5	142
0.00591	15	873	6	4	3	1.5	142
0.00594	15	880	6	4	3	1.5	143
0.00596	15	881	6	4	3	1.5	143
0.00598	15	883	6	4	3	1.5	143
0.006	15	883	6	4	3	1.5	143
0.00603	15	883	6	4	3	1.5	143
0.00612	15	883	6	4	3	1.5	143
0.00617	15	884	6	4	3	1.5	143
0.00623	15	885	6	4	3	1.5	144
0.00625	15	1047	6	4	3	1.5	149
0.00627	15	1068	6	4	3	1.5	151
0.00633	15	1070	6	4	3	1.5	151
0.00635	15	1071	6	4	3	1.5	151
0.00638	15	1071	6	4	3	1.5	151
0.00641	15	1075	6	4	3	1.5	151
0.00644	15	1078	6	4	3	1.5	151
0.00646	15	1084	6	4	3	1.5	151
0.00648	15	1085	6	4	3	1.5	151
0.0065	15	1095	6	4	3	1.5	151
0.00652	15	1105	6	4	3	1.5	151
0.00654	15	1110	6	4	3	1.5	151
0.00656	15	1110	6	4	3	1.5	151
0.00658	15	1111	6	4	3	1.5	151
