Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.02592	2	2	1	2	0	0	1
0.02629	2	3	1	2	0	0	2
0.02816	2	4	1	2	0	1.5	2
0.03175	2	5	1	2	0	1.5	2
0.03263	2	6	1	2	0	1.5	2
0.03355	2	7	1	2	0	1.5	3
0.03474	2	8	1	2	0	1.5	4
0.05147	2	9	1	2	0	1.5	4
0.05199	2	10	1	2	0	1.5	4
0.05283	2	11	1	2	0	1.5	4
0.05303	2	12	1	2	0	1.5	4
0.05376	2	13	1	2	0	1.5	4
0.05581	2	14	1	2	0	1.5	5
0.06562	2	15	1	2	0	1.5	5
0.0669	2	16	1	2	0	1.5	5
0.06741	2	17	1	2	0	1.5	5
0.07302	2	18	1	2	0	1.5	5
0.07963	2	19	1	2	0	-4.16667	5
0.08926	2	20	1	2	0	-9.83333	5
0.09644	2	21	1	2	0	0	5
