Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	1
0.00929	2	2	1	2	0	0	2
0.01477	2	3	1	2	0	0	3
0.01481	2	4	1	2	0	1.5	4
0.01654	2	5	1	2	0	1.5	4
0.0166	2	7	1	2	0	1.5	5
0.01832	2	8	1	2	0	1.5	7
0.01891	2	9	1	2	0	1.5	7
0.02024	2	10	1	2	0	1.5	7
0.0213	2	11	1	2	0	1.5	7
0.02206	2	12	1	2	0	1.5	7
0.02273	2	13	1	2	0	1.5	7
0.02484	2	14	1	2	0	1.5	7
0.02599	2	15	1	2	0	1.5	7
0.02611	2	16	1	2	0	1.5	7
0.02617	2	17	1	2	0	1.5	7
0.02663	2	18	1	2	0	1.5	7
0.02801	2	19	1	2	0	1.5	7
0.02857	2	20	1	2	0	1.5	7
0.02883	2	21	1	2	0	1.5	7
0.03057	2	22	1	2	0	1.5	7
0.03177	2	23	1	2	0	1.5	7
0.03223	2	24	1	2	0	1.5	7
0.03343	2	25	1	2	0	1.5	7
0.03564	2	26	1	2	0	1.5	9
0.03633	2	27	1	2	0	1.5	9
0.03651	2	28	1	2	0	1.5	9
0.03655	2	29	1	2	0	1.5	9
0.03746	2	30	1	2	0	1.5	9
0.03831	2	31	1	2	0	1.5	9
0.03886	2	32	1	2	0	1.5	9
0.0392	2	33	1	2	0	1.5	9
0.0394	2	34	1	2	0	1.5	9
0.04003	2	35	1	2	0	1.5	9
0.04031	2	36	1	2	0	1.5	9
0.04079	2	37	1	2	0	1.5	9
0.0411	2	38	1	2	0	1.5	9
0.04127	2	39	1	2	0	1.5	9
0.04211	2	40	1	2	0	1.5	9
0.04229	2	41	1	2	0	1.5	9
0.04307	2	42	1	2	0	1.5	9
0.04616	2	43	1	2	0	1.5	9
0.04637	2	44	1	2	0	1.5	9
0.04686	2	45	1	2	0	1.5	10
0.04739	2	46	1	2	0	1.5	10
0.05049	2	47	1	2	0	1.5	10
0.05288	2	48	1	2	0	1.5	10
0.05399	2	49	1	2	0	1.5	10
0.05412	2	50	1	2	0	1.5	10
0.05719	2	51	1	2	0	1.5	10
0.05968	2	52	1	2	0	1.5	10
0.06092	2	53	1	2	0	1.5	10
0.06478	2	54	1	2	0	1.5	10
0.0656	2	55	1	2	0	1.5	10
0.06953	2	56	1	2	0	1.5	10
0.07101	2	57	1	2	0	1.5	10
0.07186	2	58	1	2	0	1.5	10
0.07369	2	59	1	2	0	1.5	10
0.07379	2	60	1	2	0	1.5	10
0.07577	2	61	1	2	0	1.5	10
0.07912	2	62	1	2	0	1.5	10
0.08048	2	63	1	2	0	1.5	10
0.08924	2	64	1	2	0	-18.8333	10
0.09234	2	65	1	2	0	-39.1667	10
0.09288	2	66	1	2	0	0	10
