Evaluating distance threshold  0.00010 1 1Evaluating distance threshold  0.01150 2 2Evaluating distance threshold  0.01270 2 2Evaluating distance threshold  0.01680 2 2Evaluating distance threshold  0.01710 2 2Evaluating distance threshold  0.01860 2 1Evaluating distance threshold  0.02020 2 1Evaluating distance threshold  0.02150 2 1Evaluating distance threshold  0.02200 2 1Evaluating distance threshold  0.02310 2 1Evaluating distance threshold  0.02330 2 1Evaluating distance threshold  0.02420 2 1Evaluating distance threshold  0.02540 2 1Evaluating distance threshold  0.02560 2 1Evaluating distance threshold  0.02740 2 1Evaluating distance threshold  0.02760 2 1Evaluating distance threshold  0.02890 2 1Evaluating distance threshold  0.02950 2 1Evaluating distance threshold  0.02990 2 1Evaluating distance threshold  0.03050 2 1Evaluating distance threshold  0.03100 2 1Evaluating distance threshold  0.03130 2 1Evaluating distance threshold  0.03340 2 1Evaluating distance threshold  0.03420 2 1Evaluating distance threshold  0.03490 2 1Evaluating distance threshold  0.03520 2 1Evaluating distance threshold  0.03560 2 1Evaluating distance threshold  0.03590 2 1Evaluating distance threshold  0.03620 2 1Evaluating distance threshold  0.03720 2 1Evaluating distance threshold  0.03750 2 1Evaluating distance threshold  0.03770 2 1Evaluating distance threshold  0.03830 2 1Evaluating distance threshold  0.03910 2 1Evaluating distance threshold  0.03960 2 1Evaluating distance threshold  0.04010 2 1Evaluating distance threshold  0.04030 2 1Evaluating distance threshold  0.04050 2 1Evaluating distance threshold  0.04150 2 1Evaluating distance threshold  0.04250 2 1Evaluating distance threshold  0.04350 2 1Evaluating distance threshold  0.04380 2 1Evaluating distance threshold  0.04410 2 1Evaluating distance threshold  0.04450 2 1Evaluating distance threshold  0.04480 2 1Evaluating distance threshold  0.04510 2 1Evaluating distance threshold  0.04530 2 1Evaluating distance threshold  0.04570 2 1Evaluating distance threshold  0.04590 2 1Evaluating distance threshold  0.04610 2 1Evaluating distance threshold  0.04770 2 1Evaluating distance threshold  0.04840 2 1Evaluating distance threshold  0.04880 2 1Evaluating distance threshold  0.05080 2 1Evaluating distance threshold  0.05200 2 1Evaluating distance threshold  0.05480 2 1Evaluating distance threshold  0.05610 2 1Evaluating distance threshold  0.05710 2 1Evaluating distance threshold  0.05780 2 1Evaluating distance threshold  0.05980 2 1Evaluating distance threshold  0.06070 2 1Evaluating distance threshold  0.06090 2 1Evaluating distance threshold  0.06550 2 1Evaluating distance threshold  0.06570 2 1Evaluating distance threshold  0.06790 2 1Evaluating distance threshold  0.06880 2 1Evaluating distance threshold  0.07160 2 1Evaluating distance threshold  0.07500 2 1Evaluating distance threshold  0.07760 2 1Evaluating distance threshold  0.08040 2 1Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
0.0001	3	1	1	3	0	0	9
0.0115	5	3	2	3	2	0	7
0.0127	6	4	2	4	2	0	6
0.0168	6	5	2	4	2	1.61935	6
0.0171	7	5	2	5	2	2	5
0.0186	7	6	1	7	0	0.404694	5
0.0202	7	6	1	7	0	0.200756	5
0.0215	7	7	1	7	0	0.0836001	5
0.022	7	8	1	7	0	0.0159223	5
0.0231	8	9	1	8	0	0.0186644	4
0.0233	8	9	1	8	0	0.0397787	4
0.0242	8	10	1	8	0	0.0595308	4
0.0254	9	11	1	9	0	0.0448392	3
0.0256	10	12	1	10	0	0.0159223	2
0.0274	10	13	1	10	0	-0.00986844	2
0.0276	10	14	1	10	0	-0.033014	2
0.0289	10	15	1	10	0	-0.0298025	2
0.0295	10	15	1	10	0	-0.0158863	2
0.0299	10	18	1	10	0	-0.00197003	2
0.0305	11	19	1	11	0	-0.0131709	1
0.031	11	21	1	11	0	-0.0238384	1
0.0313	11	21	1	11	0	-0.0340098	1
0.0334	11	23	1	11	0	-0.0437188	1
0.0342	11	24	1	11	0	-0.0437188	1
0.0349	11	24	1	11	0	-0.0437188	1
0.0352	11	25	1	11	0	-0.0437188	1
0.0356	11	27	1	11	0	-0.0437188	1
0.0359	11	27	1	11	0	-0.0437188	1
0.0362	11	29	1	11	0	-0.0437188	1
0.0372	11	29	1	11	0	-0.0437188	1
0.0375	11	30	1	11	0	-0.0437188	1
0.0377	11	31	1	11	0	-0.0437188	1
0.0383	11	32	1	11	0	-0.0437188	1
0.0391	11	34	1	11	0	-0.0437188	1
0.0396	11	34	1	11	0	-0.0437188	1
0.0401	11	35	1	11	0	-0.0437188	1
0.0403	11	36	1	11	0	-0.0437188	1
0.0405	11	37	1	11	0	-0.0437188	1
0.0415	11	38	1	11	0	-0.0437188	1
0.0425	11	39	1	11	0	-0.0437188	1
0.0435	11	40	1	11	0	-0.0437188	1
0.0438	11	41	1	11	0	-0.0437188	1
0.0441	11	41	1	11	0	-0.0310676	1
0.0445	11	41	1	11	0	-0.0184165	1
0.0448	11	42	1	11	0	-0.00576537	1
0.0451	12	43	1	12	0	-0.0158863	0
0.0453	12	44	1	12	0	-0.0255672	0
0.0457	12	44	1	12	0	-0.0348361	0
0.0459	12	45	1	12	0	-0.0437188	0
0.0461	12	46	1	12	0	-0.0437188	0
0.0477	12	47	1	12	0	-0.0437188	0
0.0484	12	49	1	12	0	-0.0437188	0
0.0488	12	50	1	12	0	-0.0437188	0
0.0508	12	51	1	12	0	-0.0437188	0
0.052	12	52	1	12	0	-0.0437188	0
0.0548	12	53	1	12	0	-0.0437188	0
0.0561	12	54	1	12	0	-0.0437188	0
0.0571	12	55	1	12	0	-0.0437188	0
0.0578	12	56	1	12	0	-0.0437188	0
0.0598	12	57	1	12	0	-0.0437188	0
0.0607	12	58	1	12	0	-0.0437188	0
0.0609	12	59	1	12	0	-0.0437188	0
0.0655	12	60	1	12	0	-0.0437188	0
0.0657	12	60	1	12	0	-0.0437188	0
0.0679	12	61	1	12	0	-0.0437188	0
0.0688	12	62	1	12	0	-0.0437188	0
0.0716	12	63	1	12	0	-0.0437188	0
0.075	12	64	1	12	0	-0.182881	0
0.0776	12	65	1	12	0	-0.322044	0
0.0804	12	66	1	12	0	0	0
