Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	1
0.01494	2	2	1	2	0	0	2
0.01784	2	3	1	2	0	0	3
0.022	2	4	1	2	0	1.5	3
0.02384	2	5	1	2	0	1.5	3
0.02797	2	5	1	2	0	1.5	3
0.02832	2	6	1	2	0	1.5	4
0.03052	2	6	1	2	0	1.5	4
0.03197	2	7	1	2	0	1.5	4
0.03367	2	8	1	2	0	1.5	5
0.0347	2	8	1	2	0	1.5	5
0.03711	2	9	1	2	0	1.5	6
0.03838	2	10	1	2	0	1.5	6
0.03864	2	11	1	2	0	1.5	7
0.03908	2	12	1	2	0	1.5	7
0.03945	2	13	1	2	0	1.5	8
0.03985	2	14	1	2	0	1.5	8
0.04008	2	15	1	2	0	1.5	8
0.04113	2	16	1	2	0	1.5	8
0.04185	2	16	1	2	0	1.5	8
0.04267	2	16	1	2	0	1.5	8
0.04325	2	16	1	2	0	1.5	8
0.04402	2	17	1	2	0	1.5	8
0.0447	2	18	1	2	0	1.5	8
0.04624	2	18	1	2	0	1.5	8
0.04634	2	18	1	2	0	1.5	8
0.04702	2	19	1	2	0	1.5	8
0.04735	2	19	1	2	0	1.5	8
0.04737	2	19	1	2	0	1.5	8
0.04767	2	20	1	2	0	1.5	8
0.04932	2	21	1	2	0	1.5	8
0.04944	2	22	1	2	0	1.5	8
0.04969	2	22	1	2	0	1.5	8
0.04971	2	23	1	2	0	1.5	8
0.05107	2	23	1	2	0	1.5	8
0.05297	2	24	1	2	0	1.5	8
0.0536	2	25	1	2	0	1.5	8
0.05543	2	26	1	2	0	1.5	8
0.05565	2	26	1	2	0	1.5	8
0.0557	2	27	1	2	0	1.5	8
0.05575	2	28	1	2	0	1.5	9
0.05666	2	28	1	2	0	1.5	9
0.05716	2	28	1	2	0	1.5	9
0.05751	2	29	1	2	0	1.5	9
0.05889	2	30	1	2	0	1.5	9
0.05963	2	30	1	2	0	1.5	9
0.0603	2	30	1	2	0	1.5	9
0.06036	2	31	1	2	0	1.5	9
0.06092	2	32	1	2	0	1.5	9
0.06239	2	33	1	2	0	1.5	9
0.06295	2	34	1	2	0	1.5	9
0.06323	2	35	1	2	0	1.5	9
0.06661	2	36	1	2	0	1.5	9
0.0671	2	37	1	2	0	1.5	9
0.06822	2	38	1	2	0	1.5	9
0.06826	2	39	1	2	0	1.5	9
0.06836	2	40	1	2	0	1.5	9
0.06922	2	41	1	2	0	1.5	9
0.06993	2	42	1	2	0	1.5	9
0.072	2	43	1	2	0	1.5	9
0.07241	2	44	1	2	0	1.5	9
0.07258	2	45	1	2	0	1.5	9
0.07813	2	46	1	2	0	1.5	9
0.08183	2	46	1	2	0	1.5	9
0.08197	2	47	1	2	0	1.5	9
0.0821	2	48	1	2	0	1.5	9
0.08494	2	49	1	2	0	1.5	9
0.08517	2	50	1	2	0	1.5	9
0.08707	2	50	1	2	0	1.5	9
0.08965	2	51	1	2	0	1.5	9
0.09487	2	52	1	2	0	1.5	9
0.09601	2	53	1	2	0	-21.8333	9
0.10087	2	54	1	2	0	-45.1667	9
0.10929	2	55	1	2	0	0	9
