Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	1
0.00455	2	2	1	2	0	0	2
0.00604	2	3	1	2	0	0	3
0.00606	2	4	1	2	0	1.5	4
0.00682	2	5	1	2	0	1.5	5
0.00825	2	6	1	2	0	1.5	5
0.01207	2	7	1	2	0	1.5	6
0.0129	2	8	1	2	0	1.5	7
0.01339	2	8	1	2	0	1.5	7
0.01365	2	9	1	2	0	1.5	7
0.0141	2	9	1	2	0	1.5	7
0.01435	2	10	1	2	0	1.5	7
0.01503	2	11	1	2	0	1.5	7
0.01513	2	12	1	2	0	1.5	7
0.01515	2	12	1	2	0	1.5	7
0.0157	2	13	1	2	0	1.5	7
0.01584	2	14	1	2	0	1.5	7
0.01702	2	15	1	2	0	1.5	7
0.01753	2	16	1	2	0	1.5	8
0.0178	2	17	1	2	0	1.5	8
0.018	2	18	1	2	0	1.5	9
0.01819	2	18	1	2	0	1.5	9
0.01877	2	19	1	2	0	1.5	9
0.01879	2	20	1	2	0	1.5	9
0.01898	2	20	1	2	0	1.5	9
0.0197	2	21	1	2	0	1.5	9
0.02082	2	22	1	2	0	1.5	9
0.02131	2	23	1	2	0	1.5	9
0.02147	2	24	1	2	0	1.5	9
0.02187	2	24	1	2	0	1.5	9
0.02193	2	25	1	2	0	1.5	9
0.02252	2	25	1	2	0	1.5	9
0.02312	2	26	1	2	0	1.5	9
0.02316	2	27	1	2	0	1.5	9
0.02319	2	28	1	2	0	1.5	9
0.02334	2	29	1	2	0	1.5	9
0.02347	2	30	1	2	0	1.5	9
0.02376	2	30	1	2	0	1.5	9
0.02392	2	30	1	2	0	1.5	9
0.02396	2	30	1	2	0	1.5	9
0.02402	2	31	1	2	0	1.5	9
0.02429	2	32	1	2	0	1.5	9
0.02458	2	32	1	2	0	1.5	9
0.02483	2	33	1	2	0	1.5	9
0.02502	2	33	1	2	0	1.5	9
0.02504	2	33	1	2	0	1.5	9
0.02534	2	33	1	2	0	1.5	9
0.02572	2	34	1	2	0	1.5	9
0.02577	2	34	1	2	0	1.5	9
0.02588	2	35	1	2	0	1.5	9
0.02623	2	36	1	2	0	1.5	9
0.02635	2	37	1	2	0	1.5	9
0.02716	2	37	1	2	0	1.5	9
0.02743	2	38	1	2	0	1.5	9
0.02747	2	39	1	2	0	1.5	9
0.02777	2	40	1	2	0	1.5	9
0.02915	2	41	1	2	0	1.5	9
0.02939	2	42	1	2	0	1.5	9
0.03113	2	43	1	2	0	1.5	9
0.03142	2	44	1	2	0	1.5	9
0.0323	2	45	1	2	0	1.5	9
0.03301	2	46	1	2	0	1.5	9
0.03342	2	47	1	2	0	1.5	9
0.0349	2	48	1	2	0	1.5	9
0.03514	2	49	1	2	0	1.5	10
0.03559	2	50	1	2	0	1.5	10
0.0366	2	51	1	2	0	1.5	10
0.03812	2	51	1	2	0	1.5	10
0.03814	2	52	1	2	0	1.5	10
0.0386	2	53	1	2	0	1.5	10
0.03892	2	54	1	2	0	1.5	10
0.03896	2	55	1	2	0	1.5	10
0.03901	2	55	1	2	0	1.5	10
0.0411	2	56	1	2	0	1.5	10
0.04692	2	57	1	2	0	1.5	10
0.05156	2	58	1	2	0	1.5	10
0.0525	2	59	1	2	0	1.5	10
0.05354	2	60	1	2	0	1.5	10
0.05404	2	60	1	2	0	1.5	10
0.05439	2	61	1	2	0	1.5	10
0.05447	2	62	1	2	0	1.5	10
0.05449	2	63	1	2	0	1.5	10
0.05468	2	64	1	2	0	1.5	10
0.05697	2	64	1	2	0	-25.8333	10
0.06276	2	65	1	2	0	-53.1667	10
0.07029	2	66	1	2	0	0	10
