Evaluating distance threshold  0.00010 1 1Evaluating distance threshold  0.02040 2 2Evaluating distance threshold  0.02130 2 2Evaluating distance threshold  0.02190 2 2Evaluating distance threshold  0.02300 2 2Evaluating distance threshold  0.02410 2 2Evaluating distance threshold  0.02600 2 2Evaluating distance threshold  0.03130 2 1Evaluating distance threshold  0.03160 2 1Evaluating distance threshold  0.03230 2 1Evaluating distance threshold  0.03490 2 1Evaluating distance threshold  0.03700 2 1Evaluating distance threshold  0.03760 2 1Evaluating distance threshold  0.03780 2 1Evaluating distance threshold  0.03810 2 1Evaluating distance threshold  0.04010 2 1Evaluating distance threshold  0.04150 2 1Evaluating distance threshold  0.04230 2 1Evaluating distance threshold  0.04280 2 1Evaluating distance threshold  0.04310 2 1Evaluating distance threshold  0.04330 2 1Evaluating distance threshold  0.04460 2 1Evaluating distance threshold  0.04590 2 1Evaluating distance threshold  0.04620 2 1Evaluating distance threshold  0.04650 2 1Evaluating distance threshold  0.04690 2 1Evaluating distance threshold  0.04710 2 1Evaluating distance threshold  0.04750 2 1Evaluating distance threshold  0.04780 2 1Evaluating distance threshold  0.04840 2 1Evaluating distance threshold  0.04880 2 1Evaluating distance threshold  0.04920 2 1Evaluating distance threshold  0.04950 2 1Evaluating distance threshold  0.04970 2 1Evaluating distance threshold  0.05010 2 1Evaluating distance threshold  0.05030 2 1Evaluating distance threshold  0.05050 2 1Evaluating distance threshold  0.05090 2 1Evaluating distance threshold  0.05110 2 1Evaluating distance threshold  0.05160 2 1Evaluating distance threshold  0.05210 2 1Evaluating distance threshold  0.05340 2 1Evaluating distance threshold  0.05370 2 1Evaluating distance threshold  0.05440 2 1Evaluating distance threshold  0.05660 2 1Evaluating distance threshold  0.05730 2 1Evaluating distance threshold  0.05760 2 1Evaluating distance threshold  0.05790 2 1Evaluating distance threshold  0.05900 2 1Evaluating distance threshold  0.05970 2 1Evaluating distance threshold  0.06010 2 1Evaluating distance threshold  0.06050 2 1Evaluating distance threshold  0.06380 2 1Evaluating distance threshold  0.06480 2 1Evaluating distance threshold  0.06570 2 1Evaluating distance threshold  0.06680 2 1Evaluating distance threshold  0.06770 2 1Evaluating distance threshold  0.06800 2 1Evaluating distance threshold  0.06930 2 1Evaluating distance threshold  0.06960 2 1Evaluating distance threshold  0.07070 2 1Evaluating distance threshold  0.07430 2 1Evaluating distance threshold  0.07690 2 1Evaluating distance threshold  0.07880 2 1Evaluating distance threshold  0.08190 2 1Evaluating distance threshold  0.08230 2 1Evaluating distance threshold  0.08380 2 1Evaluating distance threshold  0.09070 2 1Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
0.0001	3	1	1	3	0	0	9
0.0204	4	2	2	2	2	0	8
0.0213	5	3	2	3	2	0	7
0.0219	5	3	2	3	2	1.07555	7
0.023	6	5	2	4	2	1.61747	6
0.0241	7	5	2	5	2	1.79811	5
0.026	7	6	2	5	2	2	5
0.0313	7	7	1	7	0	0.462637	5
0.0316	8	8	1	8	0	0.211033	4
0.0323	8	9	1	8	0	0.0861799	4
0.0349	8	10	1	8	0	0.00562933	4
0.037	9	12	1	9	0	-0.0229762	3
0.0376	9	13	1	9	0	-0.0200783	3
0.0378	9	14	1	9	0	-0.00186261	3
0.0381	9	15	1	9	0	0.0153411	3
0.0401	10	16	1	10	0	0.0169685	2
0.0415	11	17	1	11	0	-0.00781773	1
0.0423	11	18	1	11	0	-0.0301858	1
0.0428	11	19	1	11	0	-0.0504731	1
0.0431	11	20	1	11	0	-0.0599251	1
0.0433	11	21	1	11	0	-0.0599251	1
0.0446	11	21	1	11	0	-0.0599251	1
0.0459	11	22	1	11	0	-0.0599251	1
0.0462	11	23	1	11	0	-0.0599251	1
0.0465	11	24	1	11	0	-0.0599251	1
0.0469	11	25	1	11	0	-0.0599251	1
0.0471	11	26	1	11	0	-0.0599251	1
0.0475	11	28	1	11	0	-0.0599251	1
0.0478	11	28	1	11	0	-0.0599251	1
0.0484	11	29	1	11	0	-0.0599251	1
0.0488	11	30	1	11	0	-0.0599251	1
0.0492	11	32	1	11	0	-0.0599251	1
0.0495	11	33	1	11	0	-0.0599251	1
0.0497	11	33	1	11	0	-0.0599251	1
0.0501	11	34	1	11	0	-0.0599251	1
0.0503	11	34	1	11	0	-0.0599251	1
0.0505	11	34	1	11	0	-0.0476088	1
0.0509	11	35	1	11	0	-0.0352925	1
0.0511	11	37	1	11	0	-0.0229762	1
0.0516	12	37	1	12	0	-0.0328293	0
0.0521	12	38	1	12	0	-0.0422539	0
0.0534	12	39	1	12	0	-0.0512775	0
0.0537	12	39	1	12	0	-0.0599251	0
0.0544	12	40	1	12	0	-0.0599251	0
0.0566	12	41	1	12	0	-0.0599251	0
0.0573	12	42	1	12	0	-0.0599251	0
0.0576	12	43	1	12	0	-0.0599251	0
0.0579	12	44	1	12	0	-0.0599251	0
0.059	12	48	1	12	0	-0.0599251	0
0.0597	12	49	1	12	0	-0.0599251	0
0.0601	12	50	1	12	0	-0.0599251	0
0.0605	12	51	1	12	0	-0.0599251	0
0.0638	12	52	1	12	0	-0.0599251	0
0.0648	12	53	1	12	0	-0.0599251	0
0.0657	12	54	1	12	0	-0.0599251	0
0.0668	12	55	1	12	0	-0.0599251	0
0.0677	12	56	1	12	0	-0.0599251	0
0.068	12	57	1	12	0	-0.0599251	0
0.0693	12	58	1	12	0	-0.0599251	0
0.0696	12	59	1	12	0	-0.0599251	0
0.0707	12	60	1	12	0	-0.0599251	0
0.0743	12	61	1	12	0	-0.0599251	0
0.0769	12	62	1	12	0	-0.0599251	0
0.0788	12	63	1	12	0	-0.0599251	0
0.0819	12	63	1	12	0	-0.0599251	0
0.0823	12	64	1	12	0	-0.195404	0
0.0838	12	65	1	12	0	-0.330883	0
0.0907	12	66	1	12	0	0	0
