Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	1
0.01126	2	2	1	2	0	0	2
0.01654	2	3	1	2	0	0	2
0.01678	2	4	1	2	0	1.5	3
0.02229	2	5	1	2	0	1.5	4
0.028	2	6	1	2	0	1.5	4
0.02877	2	7	1	2	0	1.5	4
0.03398	2	8	1	2	0	1.5	4
0.04078	2	9	1	2	0	1.5	4
0.04481	2	10	1	2	0	1.5	5
0.05123	2	11	1	2	0	1.5	5
0.05836	2	12	1	2	0	1.5	6
0.06008	2	13	1	2	0	1.5	6
0.06284	2	14	1	2	0	1.5	6
0.07029	2	15	1	2	0	1.5	6
0.07801	2	16	1	2	0	1.5	7
0.08281	2	17	1	2	0	1.5	8
0.08729	2	18	1	2	0	1.5	8
0.08855	2	19	1	2	0	1.5	8
0.09275	2	20	1	2	0	1.5	8
0.09385	2	21	1	2	0	1.5	9
0.09484	2	22	1	2	0	1.5	9
0.09503	2	23	1	2	0	1.5	9
0.09722	2	24	1	2	0	1.5	9
0.0988	2	25	1	2	0	1.5	9
0.10045	2	26	1	2	0	1.5	9
0.10074	2	27	1	2	0	1.5	9
0.10123	2	28	1	2	0	1.5	9
0.10205	2	29	1	2	0	1.5	9
0.10219	2	30	1	2	0	1.5	9
0.10486	2	31	1	2	0	1.5	9
0.10519	2	32	1	2	0	1.5	9
0.10806	2	33	1	2	0	1.5	9
0.11002	2	34	1	2	0	1.5	9
0.11007	2	35	1	2	0	1.5	9
0.11016	2	36	1	2	0	1.5	9
0.11049	2	37	1	2	0	1.5	9
0.11134	2	38	1	2	0	1.5	9
0.11327	2	39	1	2	0	1.5	9
0.11583	2	40	1	2	0	1.5	9
0.11611	2	41	1	2	0	1.5	9
0.11672	2	42	1	2	0	1.5	9
0.11832	2	43	1	2	0	1.5	9
0.12073	2	44	1	2	0	1.5	9
0.12149	2	45	1	2	0	1.5	9
0.12204	2	46	1	2	0	1.5	9
0.1258	2	47	1	2	0	1.5	9
0.12588	2	48	1	2	0	1.5	9
0.12762	2	49	1	2	0	1.5	9
0.13171	2	50	1	2	0	1.5	9
0.13361	2	51	1	2	0	1.5	9
0.13791	2	52	1	2	0	1.5	9
0.13837	2	53	1	2	0	-15.5	9
0.13866	2	54	1	2	0	-32.5	9
0.14128	2	55	1	2	0	0	9
