Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	1
0.03038	2	2	1	2	0	0	2
0.03662	2	3	1	2	0	0	2
0.04044	2	4	1	2	0	1.5	3
0.04201	2	5	1	2	0	1.5	3
0.04423	2	6	1	2	0	1.5	4
0.04908	2	7	1	2	0	1.5	5
0.05018	2	8	1	2	0	1.5	6
0.0523	2	9	1	2	0	1.5	6
0.0553	2	10	1	2	0	1.5	6
0.0557	2	11	1	2	0	1.5	7
0.05771	2	12	1	2	0	1.5	7
0.05943	2	13	1	2	0	1.5	7
0.05946	2	15	1	2	0	1.5	7
0.06092	2	16	1	2	0	1.5	7
0.06296	2	17	1	2	0	1.5	7
0.06405	2	18	1	2	0	1.5	7
0.06703	2	19	1	2	0	1.5	7
0.06727	2	20	1	2	0	1.5	8
0.06775	2	21	1	2	0	1.5	8
0.06791	2	22	1	2	0	1.5	8
0.06897	2	23	1	2	0	1.5	8
0.07028	2	24	1	2	0	1.5	8
0.07106	2	25	1	2	0	1.5	8
0.07385	2	26	1	2	0	1.5	8
0.07413	2	27	1	2	0	1.5	8
0.07439	2	28	1	2	0	1.5	8
0.07466	2	30	1	2	0	1.5	8
0.07606	2	31	1	2	0	1.5	8
0.07624	2	32	1	2	0	1.5	8
0.0766	2	33	1	2	0	1.5	8
0.07748	2	34	1	2	0	1.5	8
0.08001	2	35	1	2	0	1.5	8
0.08013	2	36	1	2	0	1.5	8
0.08314	2	37	1	2	0	1.5	8
0.0833	2	38	1	2	0	1.5	8
0.08489	2	39	1	2	0	1.5	8
0.08761	2	40	1	2	0	1.5	8
0.08768	2	41	1	2	0	1.5	8
0.08936	2	42	1	2	0	1.5	8
0.0904	2	43	1	2	0	-11.5	8
0.09191	2	44	1	2	0	-24.5	8
0.10841	2	45	1	2	0	0	8
