Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.02501	2	1	1	2	0	0	0
0.0252	2	1	1	2	0	0	0
0.02919	2	2	1	2	0	1.5	1
0.04011	2	3	1	2	0	1.5	3
0.04325	2	4	1	2	0	1.5	4
0.04417	2	5	1	2	0	1.5	5
0.0465	2	6	1	2	0	1.5	6
0.04685	2	7	1	2	0	1.5	6
0.04913	2	8	1	2	0	1.5	7
0.05081	2	9	1	2	0	1.5	7
0.05087	2	10	1	2	0	1.5	7
0.05105	2	11	1	2	0	1.5	7
0.05183	2	12	1	2	0	1.5	7
0.05304	2	13	1	2	0	1.5	7
0.05349	2	14	1	2	0	1.5	7
0.05473	2	15	1	2	0	1.5	8
0.05744	2	16	1	2	0	1.5	8
0.05868	2	17	1	2	0	1.5	8
0.05923	2	18	1	2	0	1.5	8
0.06017	2	19	1	2	0	1.5	9
0.06094	2	19	1	2	0	1.5	9
0.0614	2	20	1	2	0	1.5	9
0.06182	2	20	1	2	0	1.5	9
0.06195	2	20	1	2	0	1.5	9
0.06224	2	20	1	2	0	1.5	9
0.06317	2	21	1	2	0	1.5	9
0.06347	2	21	1	2	0	1.5	9
0.0645	2	22	1	2	0	1.5	9
0.06579	2	23	1	2	0	1.5	9
0.06599	2	24	1	2	0	1.5	9
0.06615	2	24	1	2	0	1.5	9
0.0662	2	25	1	2	0	1.5	9
0.0664	2	26	1	2	0	1.5	9
0.0667	2	27	1	2	0	1.5	9
0.06722	2	28	1	2	0	1.5	9
0.06764	2	29	1	2	0	1.5	9
0.06783	2	29	1	2	0	1.5	9
0.06802	2	29	1	2	0	1.5	9
0.06804	2	29	1	2	0	1.5	9
0.06841	2	29	1	2	0	1.5	9
0.06845	2	29	1	2	0	1.5	9
0.06892	2	30	1	2	0	1.5	9
0.06898	2	30	1	2	0	1.5	9
0.06903	2	31	1	2	0	1.5	9
0.07029	2	32	1	2	0	1.5	9
0.07059	2	33	1	2	0	1.5	9
0.07066	2	34	1	2	0	1.5	9
0.07074	2	36	1	2	0	1.5	9
0.07095	2	37	1	2	0	1.5	9
0.07118	2	37	1	2	0	1.5	9
0.07202	2	38	1	2	0	1.5	9
0.0743	2	39	1	2	0	1.5	9
0.07448	2	40	1	2	0	1.5	10
0.07474	2	41	1	2	0	1.5	10
0.07544	2	42	1	2	0	1.5	10
0.0755	2	42	1	2	0	1.5	10
0.07589	2	43	1	2	0	1.5	10
0.07644	2	44	1	2	0	1.5	10
0.07653	2	45	1	2	0	1.5	10
0.07725	2	46	1	2	0	1.5	10
0.07739	2	47	1	2	0	1.5	10
0.07785	2	48	1	2	0	1.5	10
0.0781	2	48	1	2	0	1.5	10
0.07833	2	49	1	2	0	1.5	10
0.07848	2	49	1	2	0	1.5	10
0.07901	2	50	1	2	0	1.5	10
0.08219	2	51	1	2	0	1.5	10
0.08309	2	52	1	2	0	1.5	10
0.08338	2	53	1	2	0	1.5	10
0.08632	2	54	1	2	0	1.5	10
0.08867	2	55	1	2	0	1.5	10
0.08947	2	56	1	2	0	1.5	10
0.08954	2	57	1	2	0	1.5	10
0.09246	2	58	1	2	0	1.5	10
0.09422	2	59	1	2	0	1.5	10
0.09499	2	60	1	2	0	1.5	10
0.0953	2	61	1	2	0	1.5	10
0.09541	2	62	1	2	0	1.5	10
0.09591	2	62	1	2	0	1.5	10
0.09682	2	63	1	2	0	1.5	10
0.09864	2	63	1	2	0	1.5	10
0.10043	2	63	1	2	0	1.5	10
0.10273	2	64	1	2	0	1.5	10
0.10309	2	65	1	2	0	-26.1667	10
0.11423	2	66	1	2	0	-53.8333	10
0.12484	2	66	1	2	0	0	10
