Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.02767	2	1	1	2	0	0	0
0.02808	2	1	1	2	0	0	0
0.03334	2	2	1	2	0	1.5	2
0.03439	2	3	1	2	0	1.5	4
0.03484	2	4	1	2	0	1.5	5
0.03801	2	5	1	2	0	1.5	5
0.0387	2	6	1	2	0	1.5	5
0.0398	2	7	1	2	0	1.5	6
0.03987	2	8	1	2	0	1.5	6
0.04179	2	9	1	2	0	1.5	6
0.04394	2	10	1	2	0	1.5	6
0.04445	2	11	1	2	0	1.5	6
0.04588	2	12	1	2	0	1.5	6
0.04756	2	13	1	2	0	1.5	6
0.04911	2	14	1	2	0	1.5	7
0.0508	2	15	1	2	0	1.5	7
0.05279	2	16	1	2	0	1.5	7
0.05356	2	17	1	2	0	1.5	7
0.05424	2	17	1	2	0	1.5	7
0.05432	2	18	1	2	0	1.5	8
0.05474	2	19	1	2	0	1.5	8
0.05564	2	20	1	2	0	1.5	8
0.05632	2	21	1	2	0	1.5	8
0.0567	2	22	1	2	0	1.5	8
0.05737	2	23	1	2	0	1.5	9
0.05744	2	24	1	2	0	1.5	9
0.06055	2	25	1	2	0	1.5	9
0.06064	2	26	1	2	0	1.5	9
0.06229	2	27	1	2	0	1.5	9
0.06292	2	28	1	2	0	1.5	9
0.06309	2	29	1	2	0	1.5	9
0.06321	2	29	1	2	0	1.5	9
0.06349	2	30	1	2	0	1.5	9
0.06386	2	30	1	2	0	1.5	9
0.06453	2	31	1	2	0	1.5	9
0.0649	2	31	1	2	0	1.5	9
0.06495	2	31	1	2	0	1.5	9
0.06515	2	31	1	2	0	1.5	9
0.06522	2	32	1	2	0	1.5	9
0.06564	2	32	1	2	0	1.5	9
0.06614	2	32	1	2	0	1.5	9
0.0662	2	32	1	2	0	1.5	9
0.06634	2	32	1	2	0	1.5	9
0.06642	2	32	1	2	0	1.5	9
0.06659	2	32	1	2	0	1.5	9
0.06664	2	32	1	2	0	1.5	9
0.06729	2	32	1	2	0	1.5	9
0.06736	2	32	1	2	0	1.5	9
0.06742	2	32	1	2	0	1.5	9
0.06758	2	33	1	2	0	1.5	9
0.06791	2	34	1	2	0	1.5	9
0.06802	2	34	1	2	0	1.5	9
0.06823	2	34	1	2	0	1.5	9
0.06841	2	35	1	2	0	1.5	9
0.06847	2	36	1	2	0	1.5	10
0.06889	2	36	1	2	0	1.5	10
0.06921	2	36	1	2	0	1.5	10
0.06926	2	37	1	2	0	1.5	10
0.0694	2	37	1	2	0	1.5	10
0.06942	2	37	1	2	0	1.5	10
0.0697	2	38	1	2	0	1.5	10
0.07052	2	38	1	2	0	1.5	10
0.07123	2	39	1	2	0	1.5	10
0.07135	2	39	1	2	0	1.5	10
0.0714	2	39	1	2	0	1.5	10
0.07156	2	40	1	2	0	1.5	10
0.07182	2	40	1	2	0	1.5	10
0.07243	2	40	1	2	0	1.5	10
0.07298	2	40	1	2	0	1.5	10
0.07343	2	41	1	2	0	1.5	10
0.07362	2	43	1	2	0	1.5	10
0.07382	2	43	1	2	0	1.5	10
0.07385	2	44	1	2	0	1.5	10
0.07396	2	44	1	2	0	1.5	10
0.07435	2	45	1	2	0	1.5	10
0.0755	2	46	1	2	0	1.5	10
0.07561	2	47	1	2	0	1.5	10
0.07582	2	48	1	2	0	1.5	10
0.07599	2	49	1	2	0	1.5	10
0.07662	2	49	1	2	0	1.5	10
0.07726	2	50	1	2	0	1.5	10
0.07809	2	50	1	2	0	1.5	10
0.07832	2	51	1	2	0	1.5	10
0.07855	2	51	1	2	0	1.5	10
0.07873	2	52	1	2	0	1.5	10
0.0799	2	52	1	2	0	1.5	10
0.08038	2	53	1	2	0	1.5	10
0.08059	2	53	1	2	0	1.5	10
0.08061	2	53	1	2	0	1.5	10
0.0807	2	54	1	2	0	1.5	10
0.08132	2	54	1	2	0	1.5	10
0.08139	2	54	1	2	0	1.5	10
0.08147	2	55	1	2	0	1.5	10
0.08238	2	56	1	2	0	1.5	10
0.08305	2	56	1	2	0	1.5	10
0.08416	2	57	1	2	0	1.5	10
0.08437	2	57	1	2	0	1.5	10
0.08457	2	58	1	2	0	1.5	10
0.08518	2	59	1	2	0	1.5	10
0.08789	2	60	1	2	0	1.5	10
0.09211	2	61	1	2	0	1.5	10
0.09615	2	62	1	2	0	1.5	10
0.09775	2	63	1	2	0	1.5	10
0.10102	2	63	1	2	0	1.5	10
0.10389	2	63	1	2	0	1.5	10
0.10408	2	63	1	2	0	1.5	10
0.10442	2	64	1	2	0	1.5	10
0.10474	2	64	1	2	0	1.5	10
0.10691	2	64	1	2	0	-34.5	10
0.10789	2	65	1	2	0	-70.5	10
0.11683	2	66	1	2	0	0	10
