Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00556	2	2	1	2	0	0	1
0.00719	2	3	1	2	0	0	2
0.00736	2	4	1	2	0	1.5	2
0.01132	2	5	1	2	0	1.5	2
0.01279	2	6	1	2	0	1.5	2
0.01281	2	7	1	2	0	1.5	3
0.02741	2	8	1	2	0	1.5	3
0.02784	2	9	1	2	0	1.5	3
0.03158	2	10	1	2	0	1.5	4
0.03436	2	11	1	2	0	1.5	5
0.03507	2	12	1	2	0	1.5	5
0.03684	2	13	1	2	0	1.5	5
0.03705	2	14	1	2	0	1.5	5
0.03954	2	15	1	2	0	1.5	5
0.04128	2	16	1	2	0	1.5	5
0.04193	2	17	1	2	0	1.5	5
0.0438	2	18	1	2	0	1.5	5
0.04434	2	19	1	2	0	-4.16667	5
0.04654	2	20	1	2	0	-9.83333	5
0.04722	2	21	1	2	0	0	5
