Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00625	2	2	1	2	0	0	1
0.01183	2	3	1	2	0	0	1
0.01345	2	4	1	2	0	1.5	2
0.02067	2	5	1	2	0	1.5	2
0.02224	2	6	1	2	0	1.5	2
0.02652	2	7	1	2	0	1.5	3
0.04488	2	8	1	2	0	1.5	3
0.04561	2	9	1	2	0	1.5	3
0.04757	2	10	1	2	0	1.5	3
0.05547	2	11	1	2	0	1.5	4
0.0687	2	12	1	2	0	1.5	4
0.07245	2	13	1	2	0	1.5	4
0.07297	2	14	1	2	0	1.5	5
0.07475	2	15	1	2	0	1.5	5
0.07561	2	16	1	2	0	1.5	5
0.08026	2	17	1	2	0	1.5	5
0.0817	2	18	1	2	0	1.5	6
0.08332	2	19	1	2	0	1.5	6
0.08467	2	20	1	2	0	1.5	6
0.08998	2	21	1	2	0	1.5	6
0.09219	2	22	1	2	0	1.5	6
0.09262	2	23	1	2	0	1.5	6
0.09399	2	24	1	2	0	1.5	6
0.09574	2	25	1	2	0	1.5	6
0.1025	2	26	1	2	0	-6.5	6
0.10534	2	27	1	2	0	-14.5	6
0.10719	2	28	1	2	0	0	6
