Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00475	2	2	1	2	0	0	1
0.0064	2	3	1	2	0	0	1
0.01121	2	4	1	2	0	1.5	2
0.02251	2	5	1	2	0	1.5	2
0.03093	2	6	1	2	0	1.5	2
0.03793	2	7	1	2	0	1.5	3
0.04642	2	8	1	2	0	1.5	5
0.05032	2	9	1	2	0	1.5	5
0.05607	2	10	1	2	0	1.5	5
0.06184	2	11	1	2	0	1.5	6
0.06219	2	12	1	2	0	1.5	6
0.06244	2	13	1	2	0	1.5	6
0.06669	2	14	1	2	0	1.5	6
0.07136	2	15	1	2	0	1.5	6
0.07233	2	16	1	2	0	1.5	6
0.07267	2	17	1	2	0	1.5	6
0.07343	2	18	1	2	0	1.5	6
0.07556	2	19	1	2	0	1.5	6
0.07848	2	20	1	2	0	1.5	6
0.07921	2	21	1	2	0	1.5	6
0.07999	2	22	1	2	0	1.5	6
0.08174	2	23	1	2	0	1.5	6
0.08472	2	24	1	2	0	1.5	6
0.08652	2	25	1	2	0	1.5	6
0.08718	2	26	1	2	0	-6.5	6
0.09119	2	27	1	2	0	-14.5	6
0.09345	2	28	1	2	0	0	6
