Evaluating distance threshold  0.00010 1 1Evaluating distance threshold  0.01210 1 1Evaluating distance threshold  0.01820 1 1Evaluating distance threshold  0.02190 1 1Evaluating distance threshold  0.02580 1 1Evaluating distance threshold  0.02770 1 1Evaluating distance threshold  0.03590 1 1Evaluating distance threshold  0.04050 1 1Evaluating distance threshold  0.04210 1 1Evaluating distance threshold  0.04230 1 1Evaluating distance threshold  0.05390 1 1Evaluating distance threshold  0.05450 1 1Evaluating distance threshold  0.05640 1 1Evaluating distance threshold  0.05860 1 1Evaluating distance threshold  0.05990 1 1Evaluating distance threshold  0.06100 1 1Evaluating distance threshold  0.06470 1 1Evaluating distance threshold  0.06530 1 1Evaluating distance threshold  0.06770 1 1Evaluating distance threshold  0.06900 1 1Evaluating distance threshold  0.07380 1 1Evaluating distance threshold  0.07400 1 1Evaluating distance threshold  0.07520 1 1Evaluating distance threshold  0.07740 1 1Evaluating distance threshold  0.07990 1 1Evaluating distance threshold  0.08430 1 1Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
0.0001	2	1	1	2	0	0	6
0.0121	3	3	1	3	0	0	5
0.0182	3	4	1	3	0	0	5
0.0219	4	5	1	4	0	1.5	4
0.0258	4	6	1	4	0	1.1761	4
0.0277	4	7	1	4	0	1.1761	4
0.0359	5	8	1	5	0	0.718831	3
0.0405	5	9	1	5	0	0.744235	3
0.0421	5	10	1	5	0	0.766965	3
0.0423	5	11	1	5	0	0.787422	3
0.0539	6	12	1	6	0	0.80593	2
0.0545	6	13	1	6	0	0.822756	2
0.0564	6	14	1	6	0	0.838119	2
0.0586	7	15	1	7	0	0.554214	1
0.0599	7	16	1	7	0	0.578133	1
0.061	7	17	1	7	0	0.60028	1
0.0647	7	18	1	7	0	0.620845	1
0.0653	8	19	1	8	0	0.505964	0
0.0677	8	20	1	8	0	0.398743	0
0.069	8	21	1	8	0	0.298438	0
0.0738	8	22	1	8	0	0.204403	0
0.074	8	23	1	8	0	0.204403	0
0.0752	8	24	1	8	0	0.204403	0
0.0774	8	25	1	8	0	-0.767295	0
0.0799	8	26	1	8	0	-1.73899	0
0.0843	8	27	1	8	0	0	0
