Evaluating distance threshold  0.00010 1 1Evaluating distance threshold  0.01340 1 1Evaluating distance threshold  0.01420 1 1Evaluating distance threshold  0.01790 1 1Evaluating distance threshold  0.02470 1 1Evaluating distance threshold  0.02680 1 1Evaluating distance threshold  0.02840 1 1Evaluating distance threshold  0.03840 1 1Evaluating distance threshold  0.04190 1 1Evaluating distance threshold  0.04240 1 1Evaluating distance threshold  0.05330 1 1Evaluating distance threshold  0.05620 1 1Evaluating distance threshold  0.05790 1 1Evaluating distance threshold  0.05910 1 1Evaluating distance threshold  0.06070 1 1Evaluating distance threshold  0.06100 1 1Evaluating distance threshold  0.06420 1 1Evaluating distance threshold  0.06450 1 1Evaluating distance threshold  0.06600 1 1Evaluating distance threshold  0.07320 1 1Evaluating distance threshold  0.07390 1 1Evaluating distance threshold  0.07720 1 1Evaluating distance threshold  0.07770 1 1Evaluating distance threshold  0.08040 1 1Evaluating distance threshold  0.08560 1 1Evaluating distance threshold  0.08690 1 1Evaluating distance threshold  0.09080 1 1Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
0.0001	2	1	1	2	0	0	6
0.0134	2	2	1	2	0	0	6
0.0142	3	3	1	3	0	0	5
0.0179	3	4	1	3	0	1.5	5
0.0247	4	5	1	4	0	1.17282	4
0.0268	4	6	1	4	0	0.939127	4
0.0284	4	7	1	4	0	0.939127	4
0.0384	5	8	1	5	0	0.774164	3
0.0419	5	10	1	5	0	0.783329	3
0.0424	5	11	1	5	0	0.791529	3
0.0533	6	12	1	6	0	0.672044	2
0.0562	6	13	1	6	0	0.684184	2
0.0579	6	14	1	6	0	0.695269	2
0.0591	7	15	1	7	0	0.602603	1
0.0607	7	16	1	7	0	0.615546	1
0.061	7	17	1	7	0	0.627531	1
0.0642	8	18	1	8	0	0.455615	0
0.0645	8	19	1	8	0	0.378254	0
0.066	8	20	1	8	0	0.305883	0
0.0732	8	21	1	8	0	0.238035	0
0.0739	8	22	1	8	0	0.238035	0
0.0772	8	23	1	8	0	0.238035	0
0.0777	8	24	1	8	0	0.238035	0
0.0804	8	25	1	8	0	0.238035	0
0.0856	8	26	1	8	0	-0.463056	0
0.0869	8	27	1	8	0	-1.16415	0
0.0908	8	28	1	8	0	0	0
