Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00095	2	2	1	2	0	0	2
0.00189	2	3	1	2	0	0	6
0.01139	2	4	1	2	0	0	7
0.01261	2	5	1	2	0	0	8
0.01326	2	6	1	2	0	0	8
0.01334	2	7	1	2	0	0	8
0.01426	2	8	1	2	0	0	9
0.01614	2	10	1	2	0	1.5	11
0.01623	2	11	1	2	0	1.5	12
0.018	2	12	1	2	0	1.5	12
0.01805	2	13	1	2	0	1.5	12
0.01809	2	14	1	2	0	1.5	13
0.01813	2	15	1	2	0	1.5	13
0.01985	2	16	1	2	0	1.5	13
0.01995	2	16	1	2	0	1.5	13
0.02001	2	17	1	2	0	1.5	13
0.02118	2	17	1	2	0	1.5	13
0.02132	2	18	1	2	0	1.5	14
0.02175	2	19	1	2	0	1.5	14
0.02186	2	20	1	2	0	1.5	15
0.02204	2	21	1	2	0	1.5	15
0.02221	2	22	1	2	0	1.5	16
0.02225	2	22	1	2	0	1.5	16
0.02273	2	23	1	2	0	1.5	16
0.02289	2	23	1	2	0	1.5	16
0.02297	2	24	1	2	0	1.5	16
0.02303	2	25	1	2	0	1.5	16
0.02316	2	25	1	2	0	1.5	16
0.02374	2	25	1	2	0	1.5	16
0.02376	2	26	1	2	0	1.5	16
0.02394	2	27	1	2	0	1.5	17
0.02424	2	28	1	2	0	1.5	17
0.02489	2	29	1	2	0	1.5	17
0.02506	2	30	1	2	0	1.5	17
0.02565	2	30	1	2	0	1.5	17
0.02567	2	31	1	2	0	1.5	17
0.02589	2	32	1	2	0	1.5	17
0.02645	2	33	1	2	0	1.5	17
0.02652	2	33	1	2	0	1.5	17
0.02656	2	33	1	2	0	1.5	17
0.02665	2	34	1	2	0	1.5	17
0.02671	2	36	1	2	0	1.5	17
0.02673	2	38	1	2	0	1.5	18
0.0271	2	39	1	2	0	1.5	19
0.02714	2	40	1	2	0	1.5	20
0.02719	2	41	1	2	0	1.5	20
0.02752	2	42	1	2	0	1.5	20
0.02767	2	43	1	2	0	1.5	20
0.02798	2	44	1	2	0	1.5	20
0.02801	2	45	1	2	0	1.5	20
0.0281	2	47	1	2	0	1.5	20
0.02812	2	48	1	2	0	1.5	21
0.02871	2	49	1	2	0	1.5	22
0.02878	2	50	1	2	0	1.5	22
0.02887	2	51	1	2	0	1.5	22
0.02904	2	52	1	2	0	1.5	22
0.02924	2	53	1	2	0	1.5	22
0.02939	2	54	1	2	0	1.5	22
0.02951	2	55	1	2	0	1.5	22
0.02976	2	56	1	2	0	1.5	22
0.02986	2	57	1	2	0	1.5	22
0.02988	2	58	1	2	0	1.5	22
0.0299	2	59	1	2	0	1.5	22
0.02992	2	60	1	2	0	1.5	22
0.02994	2	62	1	2	0	1.5	22
0.03004	2	63	1	2	0	1.5	22
0.03007	2	63	1	2	0	1.5	22
0.03046	2	64	1	2	0	1.5	22
0.03057	2	65	1	2	0	1.5	22
0.03077	2	66	1	2	0	1.5	22
0.03101	2	67	1	2	0	1.5	24
0.03103	2	68	1	2	0	1.5	24
0.0311	2	69	1	2	0	1.5	24
0.03114	2	69	1	2	0	1.5	24
0.03154	2	69	1	2	0	1.5	24
0.03156	2	70	1	2	0	1.5	24
0.03173	2	71	1	2	0	1.5	24
0.03175	2	72	1	2	0	1.5	24
0.03177	2	73	1	2	0	1.5	24
0.03185	2	74	1	2	0	1.5	24
0.03188	2	75	1	2	0	1.5	24
0.03198	2	76	1	2	0	1.5	24
0.03204	2	77	1	2	0	1.5	24
0.03212	2	77	1	2	0	1.5	24
0.0324	2	77	1	2	0	1.5	24
0.03251	2	78	1	2	0	1.5	24
0.03253	2	79	1	2	0	1.5	24
0.03267	2	80	1	2	0	1.5	24
0.03295	2	82	1	2	0	1.5	24
0.03319	2	82	1	2	0	1.5	24
0.03334	2	83	1	2	0	1.5	24
0.03341	2	83	1	2	0	1.5	24
0.03346	2	83	1	2	0	1.5	24
0.03348	2	84	1	2	0	1.5	24
0.0335	2	86	1	2	0	1.5	24
0.03357	2	87	1	2	0	1.5	25
0.03363	2	87	1	2	0	1.5	25
0.03366	2	88	1	2	0	1.5	25
0.03373	2	89	1	2	0	1.5	25
0.03382	2	90	1	2	0	1.5	25
0.03384	2	90	1	2	0	1.5	25
0.03388	2	91	1	2	0	1.5	25
0.03391	2	91	1	2	0	1.5	25
0.03396	2	92	1	2	0	1.5	25
0.03398	2	93	1	2	0	1.5	25
0.03408	2	94	1	2	0	1.5	25
0.0341	2	95	1	2	0	1.5	25
0.03414	2	97	1	2	0	1.5	25
0.0343	2	98	1	2	0	1.5	25
0.03435	2	99	1	2	0	1.5	25
0.03438	2	100	1	2	0	1.5	25
0.03441	2	100	1	2	0	1.5	25
0.03446	2	101	1	2	0	1.5	25
0.03449	2	102	1	2	0	1.5	25
0.03451	2	103	1	2	0	1.5	25
0.03459	2	103	1	2	0	1.5	25
0.03472	2	103	1	2	0	1.5	25
0.03487	2	104	1	2	0	1.5	25
0.03505	2	106	1	2	0	1.5	26
0.03508	2	106	1	2	0	1.5	26
0.03529	2	107	1	2	0	1.5	26
0.03551	2	108	1	2	0	1.5	26
0.03558	2	109	1	2	0	1.5	26
0.0356	2	111	1	2	0	1.5	26
0.03568	2	112	1	2	0	1.5	26
0.03591	2	113	1	2	0	1.5	26
0.03594	2	115	1	2	0	1.5	26
0.03601	2	116	1	2	0	1.5	26
0.03603	2	117	1	2	0	1.5	26
0.03605	2	118	1	2	0	1.5	26
0.03625	2	119	1	2	0	1.5	26
0.03632	2	120	1	2	0	1.5	27
0.03644	2	121	1	2	0	1.5	27
0.03651	2	122	1	2	0	1.5	27
0.03654	2	123	1	2	0	1.5	27
0.03665	2	124	1	2	0	1.5	27
0.03669	2	124	1	2	0	1.5	27
0.03679	2	125	1	2	0	1.5	27
0.03681	2	125	1	2	0	1.5	27
0.03685	2	126	1	2	0	1.5	27
0.03691	2	126	1	2	0	1.5	27
0.03695	2	126	1	2	0	1.5	27
0.03698	2	128	1	2	0	1.5	27
0.03708	2	128	1	2	0	1.5	27
0.0371	2	129	1	2	0	1.5	27
0.03719	2	129	1	2	0	1.5	27
0.03724	2	130	1	2	0	1.5	27
0.03727	2	130	1	2	0	1.5	27
0.03734	2	130	1	2	0	1.5	27
0.03744	2	130	1	2	0	1.5	27
0.03751	2	130	1	2	0	1.5	27
0.03753	2	131	1	2	0	1.5	27
0.03755	2	132	1	2	0	1.5	27
0.03761	2	133	1	2	0	1.5	27
0.03766	2	134	1	2	0	1.5	27
0.03787	2	135	1	2	0	1.5	27
0.03791	2	136	1	2	0	1.5	27
0.03801	2	136	1	2	0	1.5	27
0.03803	2	137	1	2	0	1.5	27
0.03805	2	137	1	2	0	1.5	27
0.03808	2	138	1	2	0	1.5	27
0.03817	2	139	1	2	0	1.5	27
0.03823	2	139	1	2	0	1.5	27
0.03835	2	140	1	2	0	1.5	27
0.03848	2	141	1	2	0	1.5	27
0.03857	2	143	1	2	0	1.5	27
0.03863	2	144	1	2	0	1.5	27
0.03867	2	144	1	2	0	1.5	27
0.03879	2	145	1	2	0	1.5	27
0.03884	2	146	1	2	0	1.5	27
0.03893	2	147	1	2	0	1.5	27
0.03895	2	148	1	2	0	1.5	27
0.0391	2	148	1	2	0	1.5	27
0.03912	2	149	1	2	0	1.5	27
0.0393	2	149	1	2	0	1.5	27
0.03935	2	150	1	2	0	1.5	27
0.03939	2	150	1	2	0	1.5	27
0.03949	2	152	1	2	0	1.5	27
0.03964	2	153	1	2	0	1.5	27
0.03966	2	155	1	2	0	1.5	27
0.03984	2	156	1	2	0	1.5	27
0.03987	2	157	1	2	0	1.5	28
0.03989	2	157	1	2	0	1.5	28
0.03993	2	159	1	2	0	1.5	28
0.03997	2	160	1	2	0	1.5	28
0.04002	2	160	1	2	0	1.5	28
0.04005	2	162	1	2	0	1.5	28
0.04008	2	162	1	2	0	1.5	28
0.04017	2	163	1	2	0	1.5	28
0.04021	2	164	1	2	0	1.5	28
0.04028	2	165	1	2	0	1.5	28
0.0403	2	166	1	2	0	1.5	28
0.04045	2	166	1	2	0	1.5	28
0.04048	2	166	1	2	0	1.5	28
0.0405	2	167	1	2	0	1.5	28
0.04059	2	168	1	2	0	1.5	28
0.04064	2	170	1	2	0	1.5	28
0.04071	2	171	1	2	0	1.5	28
0.04078	2	172	1	2	0	1.5	28
0.0408	2	173	1	2	0	1.5	28
0.04103	2	174	1	2	0	1.5	28
0.04113	2	175	1	2	0	1.5	28
0.04123	2	176	1	2	0	1.5	28
0.04134	2	176	1	2	0	1.5	28
0.04143	2	177	1	2	0	1.5	28
0.04145	2	178	1	2	0	1.5	28
0.04162	2	179	1	2	0	1.5	28
0.04166	2	180	1	2	0	1.5	28
0.04176	2	181	1	2	0	1.5	28
0.04189	2	182	1	2	0	1.5	28
0.04194	2	184	1	2	0	1.5	29
0.04196	2	185	1	2	0	1.5	29
0.04229	2	185	1	2	0	1.5	29
0.04231	2	186	1	2	0	1.5	29
0.04236	2	186	1	2	0	1.5	29
0.04243	2	186	1	2	0	1.5	29
0.04254	2	188	1	2	0	1.5	29
0.04263	2	189	1	2	0	1.5	29
0.04272	2	190	1	2	0	1.5	29
0.04277	2	192	1	2	0	1.5	29
0.04284	2	192	1	2	0	1.5	29
0.04286	2	194	1	2	0	1.5	29
0.04296	2	194	1	2	0	1.5	29
0.043	2	195	1	2	0	1.5	30
0.04309	2	195	1	2	0	1.5	30
