Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	25	29	5	11	7	0	1
0.00177	25	95	5	11	7	0	7
0.00179	25	96	5	11	7	0	8
0.00352	25	168	5	11	7	1.5	13
0.00354	25	199	5	11	7	1.5	14
0.00356	25	199	5	11	7	1.5	14
0.00359	25	200	5	11	7	1.5	14
0.00527	25	228	5	11	7	1.5	15
0.00529	25	347	5	11	7	1.5	20
0.00531	25	358	5	11	7	1.5	20
0.00533	25	358	5	11	7	1.5	20
0.00535	25	358	5	11	7	1.5	20
0.00537	25	358	5	11	7	1.5	20
0.0054	25	359	5	11	7	1.5	20
0.00704	25	390	5	11	7	1.5	21
0.00706	25	482	5	11	7	1.5	23
0.00708	25	509	5	11	7	1.5	23
0.00711	25	514	5	11	7	1.5	23
0.00713	25	515	5	11	7	1.5	23
0.00715	25	515	5	11	7	1.5	23
0.00717	25	515	5	11	7	1.5	23
0.00719	25	515	5	11	7	1.5	23
0.00721	25	516	5	11	7	1.5	23
0.0088	25	517	5	11	7	1.5	23
0.00882	25	565	5	11	7	1.5	24
0.00884	25	631	5	11	7	1.5	24
0.00886	25	657	5	11	7	1.5	24
0.00888	25	665	5	11	7	1.5	24
0.0089	25	669	5	11	7	1.5	24
0.00892	25	670	5	11	7	1.5	24
0.00894	25	670	5	11	7	1.5	24
0.00896	25	670	5	11	7	1.5	24
0.00898	25	670	5	11	7	1.5	24
0.009	25	671	5	11	7	1.5	24
0.01059	25	677	5	11	7	1.5	24
0.01061	25	733	5	11	7	1.5	24
0.01063	25	789	5	11	7	1.5	24
0.01065	25	813	5	11	7	1.5	24
0.01067	25	820	5	11	7	1.5	24
0.01069	25	822	5	11	7	1.5	24
0.01071	25	823	5	11	7	1.5	24
0.01073	25	824	5	11	7	1.5	24
0.01075	25	824	5	11	7	1.5	24
0.01078	25	824	5	11	7	1.5	24
0.0108	25	824	5	11	7	1.5	24
0.0109	25	825	5	11	7	1.5	24
0.01238	25	835	5	11	7	1.5	24
0.0124	25	853	5	11	7	1.5	24
0.01242	25	908	5	11	7	1.5	24
0.01244	25	923	5	11	7	1.5	24
0.01246	25	933	5	11	7	1.5	24
0.01248	25	938	5	11	7	1.5	24
0.0125	25	940	5	11	7	1.5	24
0.01252	25	940	5	11	7	1.5	24
0.01254	25	940	5	11	7	1.5	24
0.01258	25	940	5	11	7	1.5	24
0.01261	25	940	5	11	7	1.5	24
0.01263	25	940	5	11	7	1.5	24
0.01275	25	941	5	11	7	1.5	24
0.01416	25	950	5	11	7	1.5	24
0.01418	25	964	5	11	7	1.5	24
0.0142	25	993	5	11	7	1.5	24
0.01422	25	1013	5	11	7	1.5	24
0.01424	25	1030	5	11	7	1.5	24
0.01427	25	1036	5	11	7	1.5	24
0.0143	25	1040	5	11	7	1.5	24
0.01432	25	1040	5	11	7	1.5	24
0.01434	25	1040	5	11	7	1.5	24
0.01436	25	1040	5	11	7	1.5	24
0.01438	25	1040	5	11	7	1.5	24
0.0144	25	1040	5	11	7	1.5	24
0.01442	25	1041	5	11	7	1.5	24
0.01595	25	1044	5	11	7	1.5	24
0.01597	25	1050	5	11	7	1.5	24
0.01599	25	1066	5	11	7	1.5	24
0.01601	25	1080	5	11	7	1.5	24
0.01603	25	1095	5	11	7	1.5	24
0.01605	25	1103	5	11	7	1.5	24
0.01608	25	1105	5	11	7	1.5	24
0.0161	25	1105	5	11	7	1.5	24
0.01612	25	1106	5	11	7	1.5	24
0.01617	25	1107	5	11	7	1.5	24
0.0162	25	1107	5	11	7	1.5	24
0.01622	25	1107	5	11	7	1.5	24
0.01624	25	1107	5	11	7	1.5	24
0.01626	25	1108	5	11	7	1.5	24
0.01777	25	1110	5	11	7	1.5	24
0.0178	25	1123	5	11	7	1.5	24
0.01782	25	1128	5	11	7	1.5	24
0.01784	25	1138	5	11	7	1.5	24
0.01786	25	1145	5	11	7	1.5	24
0.0179	25	1145	5	11	7	1.5	24
0.01794	25	1145	5	11	7	1.5	24
0.01797	25	1145	5	11	7	1.5	24
0.018	25	1145	5	11	7	1.5	24
0.01805	25	1145	5	11	7	1.5	24
0.01807	25	1146	5	11	7	1.5	24
0.01959	25	1147	5	11	7	1.5	24
0.01962	25	1153	5	11	7	1.5	24
0.01965	25	1155	5	11	7	1.5	24
0.01967	25	1158	5	11	7	1.5	24
0.01969	25	1160	5	11	7	1.5	24
0.01971	25	1163	5	11	7	1.5	24
0.01978	25	1163	5	11	7	1.5	24
0.01986	25	1163	5	11	7	1.5	24
0.01988	25	1164	5	11	7	1.5	24
0.02143	25	1169	5	11	7	1.5	24
0.02148	25	1170	5	11	7	1.5	24
0.02175	25	1170	5	11	7	1.5	24
0.02179	25	1171	5	11	7	1.5	24
0.02323	25	1173	5	11	7	1.5	24
0.02327	25	1175	5	11	7	1.5	24
0.0233	25	1176	5	11	7	1.5	24
0.02512	25	1177	5	11	7	1.5	25
0.12566	25	1178	5	11	7	1.5	25
0.12569	25	1179	5	11	7	1.5	25
0.12582	25	1180	5	11	7	1.5	25
0.12778	25	1181	5	11	7	1.5	25
0.12808	25	1182	5	11	7	1.5	25
0.12993	25	1183	5	11	7	1.5	25
0.13402	25	1184	5	11	7	1.5	25
0.13414	25	1184	5	11	7	1.5	25
0.1344	25	1185	5	11	7	1.5	25
0.13468	25	1186	5	11	7	1.5	25
0.13475	25	1187	5	11	7	1.5	25
0.135	25	1188	5	11	7	1.5	25
0.13648	25	1189	5	11	7	1.5	25
0.13668	25	1190	5	11	7	1.5	25
0.13678	25	1191	5	11	7	1.5	25
0.13693	25	1192	5	11	7	1.5	25
0.137	25	1193	5	11	7	1.5	25
0.13704	25	1194	5	11	7	1.5	25
0.13706	25	1195	5	11	7	1.5	25
0.13843	25	1196	5	11	7	1.5	25
0.13884	25	1199	5	11	7	1.5	25
0.13913	25	1200	5	11	7	1.5	25
0.13916	25	1201	5	11	7	1.5	25
0.13919	25	1202	5	11	7	1.5	25
0.13938	25	1204	5	11	7	1.5	25
0.13942	25	1207	5	11	7	1.5	25
0.13998	25	1208	5	11	7	1.5	25
0.14102	25	1209	5	11	7	1.5	25
0.14118	25	1210	5	11	7	1.5	25
0.1412	25	1210	5	11	7	1.5	25
0.14123	25	1211	5	11	7	1.5	25
0.14149	25	1212	5	11	7	1.5	25
0.14152	25	1212	5	11	7	1.5	25
0.14289	25	1213	5	11	7	1.5	25
0.14329	25	1214	5	11	7	1.5	25
0.14359	25	1215	5	11	7	1.5	25
0.14362	25	1216	5	11	7	1.5	25
0.14366	25	1217	5	11	7	1.5	25
0.14391	25	1218	5	11	7	1.5	25
0.14426	25	1219	5	11	7	1.5	25
0.14548	25	1220	5	11	7	1.5	25
0.14565	25	1221	5	11	7	1.5	25
0.1478	25	1221	5	11	7	1.5	25
0.148	25	1222	5	11	7	1.5	25
0.14806	25	1223	5	11	7	-50.8333	25
0.14811	25	1224	5	11	7	-103.167	25
0.15228	25	1225	5	11	7	0	25
