Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	2
0.00055	2	2	1	2	0	0	5
0.00108	2	8	1	2	0	0	10
0.00161	2	10	1	2	0	1.5	11
0.00214	2	16	1	2	0	1.5	13
0.00267	2	18	1	2	0	1.5	14
0.0032	2	27	1	2	0	1.5	20
0.00373	2	38	1	2	0	1.5	23
0.00375	2	39	1	2	0	1.5	23
0.00427	2	53	1	2	0	1.5	26
0.0048	2	62	1	2	0	1.5	27
0.00482	2	64	1	2	0	1.5	27
0.00533	2	69	1	2	0	1.5	27
0.00535	2	80	1	2	0	1.5	31
0.00587	2	98	1	2	0	1.5	32
0.00589	2	102	1	2	0	1.5	33
0.0064	2	115	1	2	0	1.5	35
0.00642	2	135	1	2	0	1.5	37
0.00644	2	136	1	2	0	1.5	37
0.00694	2	156	1	2	0	1.5	37
0.00696	2	164	1	2	0	1.5	37
0.00747	2	173	1	2	0	1.5	37
0.00749	2	184	1	2	0	1.5	37
0.00751	2	185	1	2	0	1.5	37
0.00801	2	193	1	2	0	1.5	37
0.00803	2	222	1	2	0	1.5	42
0.00805	2	223	1	2	0	1.5	43
0.00811	2	224	1	2	0	1.5	44
0.00855	2	234	1	2	0	1.5	44
0.00857	2	256	1	2	0	1.5	44
0.00859	2	258	1	2	0	1.5	44
0.00873	2	260	1	2	0	1.5	44
0.00875	2	261	1	2	0	1.5	44
0.00908	2	265	1	2	0	1.5	44
0.0091	2	300	1	2	0	1.5	44
0.00912	2	305	1	2	0	1.5	44
0.00914	2	306	1	2	0	1.5	44
0.00936	2	309	1	2	0	1.5	44
0.00962	2	313	1	2	0	1.5	44
0.00964	2	337	1	2	0	1.5	44
0.00966	2	350	1	2	0	1.5	44
0.00968	2	352	1	2	0	1.5	44
0.00999	2	355	1	2	0	1.5	44
0.01015	2	355	1	2	0	1.5	44
0.01017	2	376	1	2	0	1.5	44
0.01019	2	393	1	2	0	1.5	44
0.01021	2	397	1	2	0	1.5	44
0.01023	2	398	1	2	0	1.5	44
0.01061	2	401	1	2	0	1.5	44
0.01063	2	401	1	2	0	1.5	44
0.01068	2	402	1	2	0	1.5	44
0.0107	2	411	1	2	0	1.5	44
0.01072	2	427	1	2	0	1.5	44
0.01074	2	437	1	2	0	1.5	44
0.01076	2	437	1	2	0	1.5	44
0.01078	2	437	1	2	0	1.5	44
0.01123	2	441	1	2	0	1.5	44
0.01125	2	456	1	2	0	1.5	44
0.01127	2	482	1	2	0	1.5	44
0.01129	2	485	1	2	0	1.5	45
0.01131	2	486	1	2	0	1.5	45
0.01178	2	492	1	2	0	1.5	45
0.0118	2	509	1	2	0	1.5	45
0.01182	2	528	1	2	0	1.5	45
0.01184	2	530	1	2	0	1.5	45
0.01186	2	532	1	2	0	1.5	45
0.01188	2	536	1	2	0	1.5	45
0.01191	2	536	1	2	0	1.5	45
0.01231	2	539	1	2	0	1.5	45
0.01233	2	545	1	2	0	1.5	45
0.01235	2	566	1	2	0	1.5	46
0.01237	2	578	1	2	0	1.5	47
0.01239	2	578	1	2	0	1.5	47
0.01241	2	579	1	2	0	1.5	47
0.0125	2	579	1	2	0	1.5	47
0.01253	2	580	1	2	0	1.5	47
0.01284	2	581	1	2	0	1.5	47
