Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	2
0.00061	2	2	1	2	0	0	4
0.00119	2	5	1	2	0	0	8
0.00135	2	6	1	2	0	0	9
0.00178	2	8	1	2	0	0	10
0.00203	2	9	1	2	0	0	11
0.00237	2	10	1	2	0	1.5	11
0.00239	2	12	1	2	0	1.5	12
0.00296	2	13	1	2	0	1.5	12
0.00355	2	16	1	2	0	1.5	14
0.00357	2	16	1	2	0	1.5	14
0.00403	2	17	1	2	0	1.5	14
0.00415	2	18	1	2	0	1.5	15
0.00475	2	20	1	2	0	1.5	16
0.00479	2	21	1	2	0	1.5	17
0.00532	2	22	1	2	0	1.5	17
0.00535	2	24	1	2	0	1.5	19
0.00537	2	25	1	2	0	1.5	19
0.00593	2	28	1	2	0	1.5	20
0.00595	2	33	1	2	0	1.5	21
0.00598	2	35	1	2	0	1.5	23
0.00637	2	36	1	2	0	1.5	24
0.00652	2	37	1	2	0	1.5	25
0.00654	2	41	1	2	0	1.5	27
0.00657	2	42	1	2	0	1.5	27
0.00659	2	43	1	2	0	1.5	27
0.00673	2	44	1	2	0	1.5	27
0.00711	2	47	1	2	0	1.5	27
0.00713	2	53	1	2	0	1.5	29
0.00717	2	54	1	2	0	1.5	29
0.00719	2	54	1	2	0	1.5	29
0.00735	2	54	1	2	0	1.5	29
0.00738	2	55	1	2	0	1.5	30
0.0074	2	57	1	2	0	1.5	30
0.00743	2	57	1	2	0	1.5	30
0.00746	2	58	1	2	0	1.5	30
0.0077	2	61	1	2	0	1.5	31
0.00772	2	67	1	2	0	1.5	31
0.00774	2	71	1	2	0	1.5	31
0.00778	2	72	1	2	0	1.5	31
0.00801	2	72	1	2	0	1.5	31
0.00805	2	73	1	2	0	1.5	31
0.00822	2	74	1	2	0	1.5	31
0.00831	2	83	1	2	0	1.5	32
0.00833	2	87	1	2	0	1.5	32
0.00835	2	92	1	2	0	1.5	33
0.00837	2	93	1	2	0	1.5	33
0.00839	2	95	1	2	0	1.5	34
0.00866	2	95	1	2	0	1.5	34
0.00868	2	95	1	2	0	1.5	34
0.00875	2	96	1	2	0	1.5	34
0.0088	2	96	1	2	0	1.5	34
0.00883	2	97	1	2	0	1.5	34
0.00891	2	99	1	2	0	1.5	34
0.00893	2	107	1	2	0	1.5	36
0.00895	2	112	1	2	0	1.5	36
0.00897	2	114	1	2	0	1.5	37
0.00899	2	115	1	2	0	1.5	37
0.00914	2	116	1	2	0	1.5	37
0.00926	2	117	1	2	0	1.5	37
0.00934	2	117	1	2	0	1.5	37
0.00937	2	117	1	2	0	1.5	37
0.00939	2	117	1	2	0	1.5	37
0.00942	2	117	1	2	0	1.5	37
0.00944	2	118	1	2	0	1.5	37
0.00947	2	121	1	2	0	1.5	37
0.0095	2	127	1	2	0	1.5	37
0.00952	2	136	1	2	0	1.5	38
0.00954	2	141	1	2	0	1.5	38
0.00958	2	141	1	2	0	1.5	38
0.00999	2	141	1	2	0	1.5	38
0.01002	2	141	1	2	0	1.5	38
0.01004	2	142	1	2	0	1.5	38
0.01006	2	143	1	2	0	1.5	38
0.01009	2	146	1	2	0	1.5	38
0.01011	2	151	1	2	0	1.5	38
0.01013	2	156	1	2	0	1.5	38
0.01015	2	158	1	2	0	1.5	38
0.01017	2	162	1	2	0	1.5	38
0.01019	2	162	1	2	0	1.5	38
0.01021	2	162	1	2	0	1.5	38
0.01065	2	163	1	2	0	1.5	38
0.0107	2	166	1	2	0	1.5	38
0.01072	2	172	1	2	0	1.5	39
0.01074	2	181	1	2	0	1.5	39
0.01076	2	183	1	2	0	1.5	39
0.01078	2	186	1	2	0	1.5	39
0.0108	2	189	1	2	0	1.5	40
0.01083	2	191	1	2	0	1.5	40
0.01085	2	191	1	2	0	1.5	40
0.01088	2	192	1	2	0	1.5	40
0.01109	2	193	1	2	0	1.5	40
0.01112	2	194	1	2	0	1.5	40
0.01129	2	197	1	2	0	1.5	40
0.01131	2	202	1	2	0	1.5	40
0.01133	2	211	1	2	0	1.5	41
0.01135	2	221	1	2	0	1.5	41
0.01137	2	226	1	2	0	1.5	41
0.01139	2	228	1	2	0	1.5	41
0.01141	2	230	1	2	0	1.5	41
0.01144	2	230	1	2	0	1.5	41
0.01146	2	230	1	2	0	1.5	41
0.01148	2	231	1	2	0	1.5	41
0.01153	2	234	1	2	0	1.5	42
0.01185	2	235	1	2	0	1.5	42
0.01187	2	236	1	2	0	1.5	42
0.0119	2	245	1	2	0	1.5	42
0.01192	2	255	1	2	0	1.5	43
0.01194	2	264	1	2	0	1.5	43
0.01196	2	268	1	2	0	1.5	43
0.01198	2	269	1	2	0	1.5	43
0.01201	2	273	1	2	0	1.5	43
0.01204	2	274	1	2	0	1.5	43
0.01207	2	274	1	2	0	1.5	43
0.0121	2	274	1	2	0	1.5	43
0.01213	2	277	1	2	0	1.5	44
0.01215	2	279	1	2	0	1.5	44
0.01218	2	280	1	2	0	1.5	44
0.01222	2	282	1	2	0	1.5	44
0.0125	2	287	1	2	0	1.5	44
0.01252	2	296	1	2	0	1.5	44
0.01254	2	300	1	2	0	1.5	44
0.01256	2	306	1	2	0	1.5	44
0.01258	2	311	1	2	0	1.5	44
0.01261	2	313	1	2	0	1.5	44
0.01266	2	314	1	2	0	1.5	44
0.01269	2	314	1	2	0	1.5	44
0.01272	2	315	1	2	0	1.5	44
0.01275	2	315	1	2	0	1.5	44
0.01277	2	317	1	2	0	1.5	44
0.01283	2	318	1	2	0	1.5	44
0.01286	2	319	1	2	0	1.5	44
0.01288	2	320	1	2	0	1.5	44
0.01292	2	321	1	2	0	1.5	44
0.01298	2	324	1	2	0	1.5	44
0.013	2	325	1	2	0	1.5	44
0.01308	2	327	1	2	0	1.5	44
0.0131	2	332	1	2	0	1.5	44
0.01312	2	342	1	2	0	1.5	44
0.01314	2	356	1	2	0	1.5	44
0.01316	2	362	1	2	0	1.5	44
0.01318	2	364	1	2	0	1.5	44
0.0132	2	366	1	2	0	1.5	44
0.01322	2	367	1	2	0	1.5	44
0.01324	2	367	1	2	0	1.5	44
0.01337	2	367	1	2	0	1.5	44
0.01339	2	367	1	2	0	1.5	44
0.01344	2	368	1	2	0	1.5	44
0.01351	2	368	1	2	0	1.5	44
0.01354	2	370	1	2	0	1.5	44
0.01356	2	374	1	2	0	1.5	44
0.0136	2	375	1	2	0	1.5	44
0.01362	2	375	1	2	0	1.5	44
0.01364	2	375	1	2	0	1.5	44
0.01367	2	376	1	2	0	1.5	44
0.0137	2	383	1	2	0	1.5	44
0.01372	2	391	1	2	0	1.5	44
0.01374	2	400	1	2	0	1.5	44
0.01376	2	407	1	2	0	1.5	44
0.01378	2	410	1	2	0	1.5	44
0.0138	2	413	1	2	0	1.5	44
0.01386	2	414	1	2	0	1.5	44
0.01391	2	416	1	2	0	1.5	44
0.01393	2	418	1	2	0	1.5	44
0.01395	2	420	1	2	0	1.5	44
0.01405	2	420	1	2	0	1.5	44
0.01407	2	420	1	2	0	1.5	44
0.01411	2	420	1	2	0	1.5	44
0.01415	2	420	1	2	0	1.5	44
0.01418	2	420	1	2	0	1.5	44
0.0142	2	421	1	2	0	1.5	44
0.01425	2	423	1	2	0	1.5	44
0.01427	2	424	1	2	0	1.5	44
0.0143	2	429	1	2	0	1.5	44
0.01432	2	435	1	2	0	1.5	44
0.01434	2	449	1	2	0	1.5	44
0.01436	2	459	1	2	0	1.5	44
0.01438	2	464	1	2	0	1.5	44
0.0144	2	466	1	2	0	1.5	44
0.01443	2	470	1	2	0	1.5	44
0.01445	2	471	1	2	0	1.5	44
0.01447	2	473	1	2	0	1.5	44
0.0145	2	474	1	2	0	1.5	44
0.01461	2	475	1	2	0	1.5	44
0.01464	2	477	1	2	0	1.5	44
0.01475	2	477	1	2	0	1.5	44
0.01479	2	477	1	2	0	1.5	44
0.01481	2	479	1	2	0	1.5	45
0.01485	2	479	1	2	0	1.5	45
0.01487	2	482	1	2	0	1.5	45
0.01489	2	483	1	2	0	1.5	45
0.01491	2	485	1	2	0	1.5	45
0.01493	2	489	1	2	0	1.5	45
0.01495	2	495	1	2	0	1.5	45
0.01497	2	501	1	2	0	1.5	45
0.01499	2	505	1	2	0	1.5	45
0.01501	2	506	1	2	0	1.5	45
0.01503	2	508	1	2	0	1.5	45
0.01505	2	510	1	2	0	1.5	45
0.01507	2	511	1	2	0	1.5	45
0.01509	2	514	1	2	0	1.5	45
0.0154	2	514	1	2	0	1.5	45
0.01546	2	514	1	2	0	1.5	45
0.01548	2	515	1	2	0	1.5	46
0.01551	2	518	1	2	0	1.5	46
0.01553	2	527	1	2	0	1.5	46
0.01555	2	536	1	2	0	1.5	47
0.01557	2	540	1	2	0	1.5	47
0.01559	2	545	1	2	0	1.5	47
0.01561	2	549	1	2	0	1.5	47
0.01563	2	553	1	2	0	1.5	47
0.01565	2	557	1	2	0	1.5	47
0.01567	2	562	1	2	0	1.5	47
0.01569	2	564	1	2	0	1.5	47
0.01571	2	564	1	2	0	1.5	47
0.01575	2	565	1	2	0	1.5	47
0.01579	2	567	1	2	0	1.5	47
0.01583	2	569	1	2	0	1.5	48
0.0161	2	571	1	2	0	1.5	48
0.01612	2	575	1	2	0	1.5	48
0.01614	2	580	1	2	0	1.5	48
0.01616	2	583	1	2	0	1.5	48
0.01618	2	591	1	2	0	1.5	48
0.0162	2	594	1	2	0	1.5	48
0.01622	2	597	1	2	0	1.5	48
0.01627	2	599	1	2	0	1.5	48
0.01629	2	599	1	2	0	1.5	48
0.01631	2	601	1	2	0	1.5	48
0.01633	2	601	1	2	0	1.5	48
0.01635	2	602	1	2	0	1.5	48
0.01638	2	602	1	2	0	1.5	48
0.01641	2	602	1	2	0	1.5	48
0.01645	2	603	1	2	0	1.5	48
0.01647	2	604	1	2	0	1.5	48
0.0165	2	606	1	2	0	1.5	48
0.01668	2	607	1	2	0	1.5	48
0.01671	2	609	1	2	0	1.5	48
0.01674	2	615	1	2	0	1.5	48
0.01676	2	625	1	2	0	1.5	49
0.01678	2	633	1	2	0	1.5	49
0.01681	2	637	1	2	0	1.5	49
0.01683	2	639	1	2	0	1.5	49
0.01685	2	639	1	2	0	1.5	49
0.01688	2	642	1	2	0	1.5	49
0.0169	2	644	1	2	0	1.5	49
0.01693	2	645	1	2	0	1.5	49
0.01695	2	645	1	2	0	1.5	49
0.01701	2	650	1	2	0	1.5	49
0.01703	2	650	1	2	0	1.5	49
0.01705	2	651	1	2	0	1.5	49
0.01707	2	651	1	2	0	1.5	49
0.01713	2	651	1	2	0	1.5	49
0.01716	2	651	1	2	0	1.5	49
0.0172	2	652	1	2	0	1.5	49
0.01733	2	654	1	2	0	1.5	49
0.01735	2	664	1	2	0	1.5	50
0.01737	2	669	1	2	0	1.5	50
0.0174	2	676	1	2	0	1.5	50
0.01742	2	679	1	2	0	1.5	50
0.01744	2	683	1	2	0	1.5	50
0.01746	2	685	1	2	0	1.5	50
0.01748	2	688	1	2	0	1.5	50
0.0175	2	691	1	2	0	1.5	50
0.01752	2	694	1	2	0	1.5	50
0.01755	2	694	1	2	0	1.5	50
0.01763	2	695	1	2	0	1.5	50
0.01766	2	696	1	2	0	1.5	50
0.01769	2	697	1	2	0	1.5	50
0.01771	2	698	1	2	0	1.5	50
0.01775	2	699	1	2	0	1.5	50
0.01778	2	699	1	2	0	1.5	50
0.01781	2	699	1	2	0	1.5	50
0.01783	2	700	1	2	0	1.5	50
0.01794	2	703	1	2	0	1.5	50
0.01796	2	707	1	2	0	1.5	50
0.01798	2	709	1	2	0	1.5	50
0.018	2	712	1	2	0	1.5	50
0.01802	2	716	1	2	0	1.5	50
0.01804	2	726	1	2	0	1.5	50
0.01808	2	728	1	2	0	1.5	50
0.0181	2	731	1	2	0	1.5	50
0.01817	2	731	1	2	0	1.5	50
0.01819	2	731	1	2	0	1.5	50
0.01826	2	731	1	2	0	1.5	50
0.01838	2	731	1	2	0	1.5	50
0.01841	2	732	1	2	0	1.5	50
0.01843	2	733	1	2	0	1.5	50
0.01846	2	733	1	2	0	1.5	50
0.01849	2	734	1	2	0	1.5	50
0.01851	2	736	1	2	0	1.5	50
0.01854	2	739	1	2	0	1.5	50
0.01856	2	743	1	2	0	1.5	50
0.01858	2	748	1	2	0	1.5	50
0.0186	2	757	1	2	0	1.5	50
0.01862	2	761	1	2	0	1.5	50
0.01864	2	766	1	2	0	1.5	50
0.01866	2	769	1	2	0	1.5	50
0.0187	2	771	1	2	0	1.5	50
0.01872	2	774	1	2	0	1.5	50
0.01874	2	776	1	2	0	1.5	50
0.01879	2	778	1	2	0	1.5	50
0.01881	2	780	1	2	0	1.5	50
0.0189	2	780	1	2	0	1.5	50
0.01892	2	781	1	2	0	1.5	50
0.01903	2	782	1	2	0	1.5	50
0.01906	2	783	1	2	0	1.5	50
0.01909	2	784	1	2	0	1.5	50
0.01911	2	786	1	2	0	1.5	50
0.01913	2	788	1	2	0	1.5	50
0.01915	2	791	1	2	0	1.5	50
0.01917	2	797	1	2	0	1.5	50
0.01919	2	800	1	2	0	1.5	50
0.01921	2	803	1	2	0	1.5	50
0.01923	2	808	1	2	0	1.5	50
0.01925	2	812	1	2	0	1.5	50
0.01927	2	815	1	2	0	1.5	50
0.0193	2	816	1	2	0	1.5	50
0.01934	2	819	1	2	0	1.5	50
0.01937	2	821	1	2	0	1.5	50
0.01939	2	823	1	2	0	1.5	50
0.01946	2	824	1	2	0	1.5	50
0.01949	2	824	1	2	0	1.5	50
