Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	18	29	5	8	4	0	1
0.00541	18	33	5	8	4	0	5
0.00545	18	62	5	8	4	0	13
0.00547	18	82	5	8	4	0	16
0.00553	18	91	5	8	4	0	17
0.00557	18	92	5	8	4	0	17
0.01074	18	93	5	8	4	1.5	17
0.01087	18	100	5	8	4	1.5	17
0.0109	18	113	5	8	4	1.5	17
0.01098	18	169	5	8	4	1.5	17
0.01104	18	180	5	8	4	1.5	17
0.01108	18	182	5	8	4	1.5	17
0.0111	18	185	5	8	4	1.5	17
0.01114	18	186	5	8	4	1.5	17
0.01117	18	216	5	8	4	1.5	17
0.01123	18	222	5	8	4	1.5	17
0.01608	18	222	5	8	4	1.5	17
0.01612	18	223	5	8	4	1.5	17
0.01618	18	224	5	8	4	1.5	17
0.01634	18	227	5	8	4	1.5	20
0.01636	18	228	5	8	4	1.5	21
0.01638	18	232	5	8	4	1.5	21
0.01644	18	254	5	8	4	1.5	21
0.01647	18	256	5	8	4	1.5	22
0.01652	18	267	5	8	4	1.5	25
0.01657	18	268	5	8	4	1.5	25
0.01663	18	284	5	8	4	1.5	25
0.01665	18	305	5	8	4	1.5	25
0.01671	18	328	5	8	4	1.5	26
0.01674	18	330	5	8	4	1.5	27
0.0168	18	333	5	8	4	1.5	27
0.01683	18	333	5	8	4	1.5	27
0.01692	18	365	5	8	4	1.5	27
0.01701	18	370	5	8	4	1.5	27
0.02168	18	370	5	8	4	1.5	27
0.02176	18	370	5	8	4	1.5	27
0.02179	18	371	5	8	4	1.5	27
0.02187	18	372	5	8	4	1.5	27
0.0219	18	372	5	8	4	1.5	27
0.02192	18	373	5	8	4	1.5	28
0.02194	18	374	5	8	4	1.5	28
0.02198	18	375	5	8	4	1.5	28
0.022	18	375	5	8	4	1.5	28
0.02202	18	375	5	8	4	1.5	28
0.02206	18	378	5	8	4	1.5	28
0.02208	18	384	5	8	4	1.5	28
0.0221	18	397	5	8	4	1.5	28
