Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00068	2	2	1	2	0	0	3
0.00201	2	3	1	2	0	0	5
0.00234	2	3	1	2	0	0	7
0.00396	2	3	1	2	0	0	7
0.00431	2	4	1	2	0	0	8
0.00434	2	5	1	2	0	0	9
0.00569	2	6	1	2	0	0	9
0.00602	2	7	1	2	0	0	9
0.00635	2	8	1	2	0	1.5	11
0.00637	2	9	1	2	0	1.5	12
0.0067	2	11	1	2	0	1.5	13
0.00848	2	12	1	2	0	1.5	13
0.00883	2	13	1	2	0	1.5	14
0.00903	2	14	1	2	0	1.5	15
0.00941	2	15	1	2	0	1.5	15
0.01018	2	16	1	2	0	1.5	16
0.0104	2	17	1	2	0	1.5	16
0.01074	2	21	1	2	0	1.5	17
0.01077	2	22	1	2	0	1.5	18
0.01109	2	23	1	2	0	1.5	20
0.01117	2	24	1	2	0	1.5	21
0.01125	2	25	1	2	0	1.5	21
0.0114	2	26	1	2	0	1.5	21
0.01143	2	27	1	2	0	1.5	22
0.01162	2	28	1	2	0	1.5	22
0.01175	2	29	1	2	0	1.5	23
0.0119	2	31	1	2	0	1.5	24
0.0121	2	34	1	2	0	1.5	24
0.01243	2	37	1	2	0	1.5	26
0.01246	2	38	1	2	0	1.5	27
0.01249	2	39	1	2	0	1.5	27
0.01252	2	39	1	2	0	1.5	27
0.0126	2	39	1	2	0	1.5	27
0.01266	2	40	1	2	0	1.5	27
0.01279	2	42	1	2	0	1.5	27
0.01281	2	44	1	2	0	1.5	29
0.01285	2	44	1	2	0	1.5	29
0.01289	2	44	1	2	0	1.5	29
0.01298	2	45	1	2	0	1.5	29
0.01312	2	47	1	2	0	1.5	29
0.01314	2	48	1	2	0	1.5	29
0.01345	2	50	1	2	0	1.5	29
0.01347	2	52	1	2	0	1.5	29
0.01349	2	54	1	2	0	1.5	30
0.01358	2	55	1	2	0	1.5	30
0.01361	2	56	1	2	0	1.5	30
0.01375	2	57	1	2	0	1.5	30
0.01378	2	58	1	2	0	1.5	30
0.01381	2	62	1	2	0	1.5	30
0.01383	2	63	1	2	0	1.5	31
0.01395	2	64	1	2	0	1.5	31
0.01411	2	65	1	2	0	1.5	31
0.01414	2	67	1	2	0	1.5	31
0.01419	2	68	1	2	0	1.5	31
0.01421	2	68	1	2	0	1.5	31
0.01425	2	69	1	2	0	1.5	31
0.01435	2	69	1	2	0	1.5	31
0.01444	2	69	1	2	0	1.5	31
0.01447	2	73	1	2	0	1.5	33
0.0145	2	75	1	2	0	1.5	33
0.01463	2	76	1	2	0	1.5	33
0.01467	2	77	1	2	0	1.5	33
0.01469	2	77	1	2	0	1.5	33
0.0148	2	78	1	2	0	1.5	33
0.01482	2	86	1	2	0	1.5	33
0.01485	2	88	1	2	0	1.5	33
0.01488	2	90	1	2	0	1.5	33
0.01502	2	92	1	2	0	1.5	33
0.01512	2	93	1	2	0	1.5	33
0.01515	2	95	1	2	0	1.5	33
0.01517	2	97	1	2	0	1.5	33
0.0152	2	98	1	2	0	1.5	34
0.01524	2	99	1	2	0	1.5	34
0.01534	2	101	1	2	0	1.5	34
0.01542	2	102	1	2	0	1.5	34
0.01545	2	103	1	2	0	1.5	34
0.01547	2	105	1	2	0	1.5	34
0.01549	2	111	1	2	0	1.5	35
0.01551	2	116	1	2	0	1.5	35
0.01554	2	118	1	2	0	1.5	35
0.01556	2	118	1	2	0	1.5	35
0.01558	2	119	1	2	0	1.5	35
0.0156	2	120	1	2	0	1.5	35
0.01562	2	122	1	2	0	1.5	35
0.01583	2	124	1	2	0	1.5	35
0.01585	2	128	1	2	0	1.5	35
0.01587	2	130	1	2	0	1.5	35
0.0159	2	131	1	2	0	1.5	35
0.01593	2	131	1	2	0	1.5	35
0.01599	2	133	1	2	0	1.5	35
0.01603	2	134	1	2	0	1.5	35
0.01606	2	135	1	2	0	1.5	35
0.0161	2	136	1	2	0	1.5	35
0.01615	2	137	1	2	0	1.5	35
0.01617	2	139	1	2	0	1.5	35
0.01619	2	142	1	2	0	1.5	35
0.01621	2	143	1	2	0	1.5	35
0.01625	2	143	1	2	0	1.5	35
0.01627	2	144	1	2	0	1.5	36
0.01634	2	145	1	2	0	1.5	36
0.0164	2	146	1	2	0	1.5	36
0.01644	2	147	1	2	0	1.5	36
0.01648	2	148	1	2	0	1.5	36
0.0165	2	152	1	2	0	1.5	36
0.01653	2	156	1	2	0	1.5	38
0.01655	2	159	1	2	0	1.5	39
0.01658	2	160	1	2	0	1.5	40
0.01664	2	160	1	2	0	1.5	40
0.01668	2	161	1	2	0	1.5	40
0.01672	2	161	1	2	0	1.5	40
0.01679	2	162	1	2	0	1.5	40
0.01686	2	163	1	2	0	1.5	40
0.01688	2	164	1	2	0	1.5	40
0.01691	2	165	1	2	0	1.5	40
0.01693	2	165	1	2	0	1.5	40
0.01696	2	165	1	2	0	1.5	40
0.017	2	165	1	2	0	1.5	40
0.01704	2	165	1	2	0	1.5	40
0.01706	2	167	1	2	0	1.5	40
0.0171	2	168	1	2	0	1.5	40
0.0172	2	173	1	2	0	1.5	40
0.01722	2	176	1	2	0	1.5	40
0.01724	2	180	1	2	0	1.5	40
0.01727	2	182	1	2	0	1.5	40
0.01731	2	183	1	2	0	1.5	40
0.01733	2	184	1	2	0	1.5	40
0.01736	2	185	1	2	0	1.5	40
0.01738	2	186	1	2	0	1.5	41
0.0174	2	189	1	2	0	1.5	41
0.01743	2	191	1	2	0	1.5	42
0.01749	2	192	1	2	0	1.5	42
0.01752	2	193	1	2	0	1.5	42
0.01755	2	195	1	2	0	1.5	42
0.01757	2	197	1	2	0	1.5	42
0.01759	2	199	1	2	0	1.5	42
0.01761	2	199	1	2	0	1.5	42
0.01763	2	200	1	2	0	1.5	42
0.01765	2	200	1	2	0	1.5	42
0.01774	2	201	1	2	0	1.5	42
0.01782	2	202	1	2	0	1.5	42
0.01789	2	204	1	2	0	1.5	42
0.01791	2	207	1	2	0	1.5	42
0.01794	2	210	1	2	0	1.5	42
0.01797	2	211	1	2	0	1.5	42
0.0181	2	211	1	2	0	1.5	42
0.01817	2	212	1	2	0	1.5	42
0.01824	2	215	1	2	0	1.5	42
0.01827	2	216	1	2	0	1.5	42
0.01829	2	218	1	2	0	1.5	42
0.01832	2	220	1	2	0	1.5	42
0.01834	2	221	1	2	0	1.5	42
0.01836	2	221	1	2	0	1.5	42
0.01838	2	222	1	2	0	1.5	43
0.01841	2	223	1	2	0	1.5	43
0.01843	2	224	1	2	0	1.5	43
0.01846	2	225	1	2	0	1.5	43
0.01849	2	225	1	2	0	1.5	43
0.01854	2	226	1	2	0	1.5	43
0.01856	2	228	1	2	0	1.5	43
0.01859	2	236	1	2	0	1.5	43
0.01861	2	240	1	2	0	1.5	43
0.01863	2	242	1	2	0	1.5	43
0.01866	2	245	1	2	0	1.5	43
0.01868	2	247	1	2	0	1.5	43
0.0187	2	248	1	2	0	1.5	43
0.01872	2	249	1	2	0	1.5	43
0.01875	2	250	1	2	0	1.5	43
0.01878	2	251	1	2	0	1.5	43
0.01881	2	255	1	2	0	1.5	43
0.01889	2	256	1	2	0	1.5	43
0.01891	2	261	1	2	0	1.5	43
0.01893	2	265	1	2	0	1.5	43
0.01895	2	267	1	2	0	1.5	43
0.01897	2	269	1	2	0	1.5	43
0.01899	2	269	1	2	0	1.5	43
0.01903	2	270	1	2	0	1.5	43
0.01914	2	272	1	2	0	1.5	43
0.01916	2	272	1	2	0	1.5	43
0.01918	2	274	1	2	0	1.5	44
0.0192	2	276	1	2	0	1.5	44
0.01922	2	278	1	2	0	1.5	44
0.01924	2	280	1	2	0	1.5	44
0.01926	2	285	1	2	0	1.5	44
0.01928	2	288	1	2	0	1.5	44
0.01931	2	289	1	2	0	1.5	44
0.01933	2	290	1	2	0	1.5	44
0.01936	2	290	1	2	0	1.5	44
0.01939	2	292	1	2	0	1.5	44
0.0195	2	295	1	2	0	1.5	44
0.01952	2	295	1	2	0	1.5	44
0.01956	2	296	1	2	0	1.5	44
0.01958	2	297	1	2	0	1.5	44
0.0196	2	300	1	2	0	1.5	44
0.01962	2	303	1	2	0	1.5	44
0.01964	2	304	1	2	0	1.5	44
0.01967	2	305	1	2	0	1.5	44
0.01969	2	305	1	2	0	1.5	44
0.01971	2	305	1	2	0	1.5	44
0.01973	2	305	1	2	0	1.5	44
0.01975	2	305	1	2	0	1.5	44
0.0198	2	305	1	2	0	1.5	44
0.01982	2	306	1	2	0	1.5	44
0.01985	2	307	1	2	0	1.5	44
0.01987	2	308	1	2	0	1.5	44
0.0199	2	309	1	2	0	1.5	45
0.01992	2	311	1	2	0	1.5	45
0.01994	2	317	1	2	0	1.5	45
0.01996	2	319	1	2	0	1.5	45
0.01998	2	320	1	2	0	1.5	45
0.02	2	321	1	2	0	1.5	45
0.02003	2	322	1	2	0	1.5	45
0.02006	2	325	1	2	0	1.5	45
0.02008	2	326	1	2	0	1.5	45
0.0201	2	327	1	2	0	1.5	45
0.02012	2	328	1	2	0	1.5	46
0.02016	2	329	1	2	0	1.5	46
0.02023	2	330	1	2	0	1.5	46
0.02025	2	332	1	2	0	1.5	46
0.02027	2	333	1	2	0	1.5	46
0.02029	2	335	1	2	0	1.5	46
0.02032	2	339	1	2	0	1.5	46
0.02034	2	342	1	2	0	1.5	46
0.02036	2	342	1	2	0	1.5	46
0.02038	2	343	1	2	0	1.5	46
0.02042	2	344	1	2	0	1.5	46
0.02047	2	345	1	2	0	1.5	46
0.02049	2	346	1	2	0	1.5	46
0.02052	2	347	1	2	0	1.5	46
0.02055	2	348	1	2	0	1.5	46
0.0206	2	350	1	2	0	1.5	46
0.02062	2	352	1	2	0	1.5	46
0.02064	2	356	1	2	0	1.5	46
0.02066	2	359	1	2	0	1.5	46
0.02068	2	362	1	2	0	1.5	46
0.0207	2	364	1	2	0	1.5	46
0.02072	2	366	1	2	0	1.5	46
0.02077	2	366	1	2	0	1.5	46
0.02079	2	366	1	2	0	1.5	46
0.02084	2	368	1	2	0	1.5	46
0.02086	2	369	1	2	0	1.5	46
0.02088	2	370	1	2	0	1.5	46
0.02091	2	371	1	2	0	1.5	46
0.02093	2	372	1	2	0	1.5	46
0.02097	2	375	1	2	0	1.5	46
0.02099	2	380	1	2	0	1.5	46
0.02102	2	383	1	2	0	1.5	46
0.02105	2	383	1	2	0	1.5	46
0.02107	2	385	1	2	0	1.5	47
0.02109	2	387	1	2	0	1.5	47
0.02113	2	387	1	2	0	1.5	47
0.02115	2	388	1	2	0	1.5	47
0.02117	2	389	1	2	0	1.5	47
0.02122	2	390	1	2	0	1.5	47
0.02124	2	392	1	2	0	1.5	47
0.02126	2	394	1	2	0	1.5	48
0.02131	2	395	1	2	0	1.5	48
0.02134	2	396	1	2	0	1.5	48
0.02137	2	398	1	2	0	1.5	48
0.02139	2	399	1	2	0	1.5	48
0.02141	2	399	1	2	0	1.5	48
0.02145	2	399	1	2	0	1.5	48
0.02147	2	399	1	2	0	1.5	48
0.02149	2	399	1	2	0	1.5	48
0.02156	2	400	1	2	0	1.5	48
0.02158	2	401	1	2	0	1.5	48
0.0216	2	403	1	2	0	1.5	48
0.02163	2	406	1	2	0	1.5	48
0.02165	2	408	1	2	0	1.5	48
0.02167	2	413	1	2	0	1.5	48
0.02169	2	415	1	2	0	1.5	48
0.02171	2	416	1	2	0	1.5	48
0.02176	2	417	1	2	0	1.5	48
0.02179	2	418	1	2	0	1.5	48
0.02181	2	420	1	2	0	1.5	48
0.02184	2	420	1	2	0	1.5	48
0.02186	2	421	1	2	0	1.5	48
0.02188	2	422	1	2	0	1.5	48
0.02193	2	422	1	2	0	1.5	48
0.02199	2	426	1	2	0	1.5	48
0.02201	2	428	1	2	0	1.5	48
0.02203	2	429	1	2	0	1.5	48
0.02205	2	430	1	2	0	1.5	48
0.02208	2	432	1	2	0	1.5	48
0.0221	2	432	1	2	0	1.5	48
0.02212	2	433	1	2	0	1.5	48
0.02216	2	434	1	2	0	1.5	48
0.0222	2	434	1	2	0	1.5	48
0.02224	2	436	1	2	0	1.5	48
0.02226	2	437	1	2	0	1.5	48
0.02229	2	438	1	2	0	1.5	48
0.02231	2	442	1	2	0	1.5	48
0.02233	2	443	1	2	0	1.5	48
0.02235	2	444	1	2	0	1.5	48
0.02237	2	448	1	2	0	1.5	48
0.02239	2	452	1	2	0	1.5	48
0.02241	2	454	1	2	0	1.5	48
0.02244	2	455	1	2	0	1.5	48
0.02246	2	456	1	2	0	1.5	48
0.02248	2	458	1	2	0	1.5	48
0.0225	2	458	1	2	0	1.5	48
0.02256	2	458	1	2	0	1.5	48
0.02259	2	459	1	2	0	1.5	48
0.02262	2	460	1	2	0	1.5	48
0.02267	2	462	1	2	0	1.5	48
0.02269	2	466	1	2	0	1.5	48
0.02272	2	467	1	2	0	1.5	48
0.02274	2	468	1	2	0	1.5	48
0.02276	2	471	1	2	0	1.5	48
0.02279	2	473	1	2	0	1.5	48
0.02281	2	473	1	2	0	1.5	48
0.02284	2	473	1	2	0	1.5	48
0.02286	2	475	1	2	0	1.5	48
0.0229	2	475	1	2	0	1.5	48
0.02294	2	476	1	2	0	1.5	48
0.02296	2	477	1	2	0	1.5	48
0.02298	2	477	1	2	0	1.5	48
0.023	2	477	1	2	0	1.5	48
0.02302	2	479	1	2	0	1.5	48
0.02305	2	481	1	2	0	1.5	48
0.02307	2	482	1	2	0	1.5	48
0.0231	2	484	1	2	0	1.5	48
0.02313	2	484	1	2	0	1.5	48
0.02316	2	485	1	2	0	1.5	48
0.02319	2	486	1	2	0	1.5	48
0.02322	2	487	1	2	0	1.5	48
0.02326	2	487	1	2	0	1.5	48
0.02328	2	489	1	2	0	1.5	48
0.0233	2	490	1	2	0	1.5	48
0.02333	2	490	1	2	0	1.5	48
0.02337	2	492	1	2	0	1.5	48
0.02339	2	493	1	2	0	1.5	48
0.02341	2	495	1	2	0	1.5	48
0.02343	2	499	1	2	0	1.5	48
0.02346	2	502	1	2	0	1.5	48
0.02349	2	503	1	2	0	1.5	48
0.02352	2	505	1	2	0	1.5	48
0.02356	2	507	1	2	0	1.5	48
0.02362	2	508	1	2	0	1.5	48
0.02365	2	509	1	2	0	1.5	48
0.02367	2	511	1	2	0	1.5	48
0.0237	2	513	1	2	0	1.5	48
0.02373	2	516	1	2	0	1.5	48
0.02375	2	521	1	2	0	1.5	48
0.02378	2	523	1	2	0	1.5	48
0.0238	2	525	1	2	0	1.5	48
0.02385	2	528	1	2	0	1.5	48
0.02388	2	530	1	2	0	1.5	48
0.0239	2	531	1	2	0	1.5	48
0.02396	2	532	1	2	0	1.5	48
0.02398	2	533	1	2	0	1.5	48
0.02401	2	533	1	2	0	1.5	48
0.02405	2	537	1	2	0	1.5	48
0.02408	2	541	1	2	0	1.5	48
0.0241	2	543	1	2	0	1.5	48
0.02412	2	544	1	2	0	1.5	48
0.02415	2	545	1	2	0	1.5	48
0.02417	2	547	1	2	0	1.5	48
0.02419	2	547	1	2	0	1.5	48
0.02421	2	549	1	2	0	1.5	48
0.02423	2	551	1	2	0	1.5	48
0.02427	2	553	1	2	0	1.5	48
0.02429	2	554	1	2	0	1.5	48
0.02433	2	555	1	2	0	1.5	48
0.02435	2	556	1	2	0	1.5	48
0.02438	2	560	1	2	0	1.5	48
0.0244	2	561	1	2	0	1.5	48
0.02442	2	565	1	2	0	1.5	48
0.02444	2	568	1	2	0	1.5	48
0.02447	2	569	1	2	0	1.5	48
0.02449	2	572	1	2	0	1.5	48
0.02455	2	573	1	2	0	1.5	48
0.02457	2	574	1	2	0	1.5	48
0.02461	2	576	1	2	0	1.5	48
0.02466	2	577	1	2	0	1.5	48
0.02468	2	577	1	2	0	1.5	48
0.02471	2	578	1	2	0	1.5	48
0.02473	2	580	1	2	0	1.5	48
0.02476	2	583	1	2	0	1.5	48
0.02478	2	584	1	2	0	1.5	48
0.02481	2	586	1	2	0	1.5	48
0.02483	2	588	1	2	0	1.5	49
0.02485	2	589	1	2	0	1.5	49
0.02489	2	589	1	2	0	1.5	49
0.02491	2	590	1	2	0	1.5	49
0.02493	2	591	1	2	0	1.5	49
0.025	2	593	1	2	0	1.5	49
0.02502	2	595	1	2	0	1.5	49
0.02505	2	597	1	2	0	1.5	49
0.02507	2	600	1	2	0	1.5	49
0.02509	2	602	1	2	0	1.5	49
0.02511	2	604	1	2	0	1.5	49
0.02513	2	604	1	2	0	1.5	49
0.02515	2	610	1	2	0	1.5	49
0.02517	2	612	1	2	0	1.5	49
0.02519	2	613	1	2	0	1.5	49
0.02523	2	613	1	2	0	1.5	49
0.02525	2	617	1	2	0	1.5	49
0.02527	2	618	1	2	0	1.5	49
0.02537	2	618	1	2	0	1.5	49
0.02541	2	619	1	2	0	1.5	49
0.02543	2	620	1	2	0	1.5	49
0.02545	2	624	1	2	0	1.5	49
0.02547	2	625	1	2	0	1.5	49
0.02549	2	627	1	2	0	1.5	49
