Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	2	1	1	2	0	0	0
0.00412	2	2	1	2	0	0	3
0.0099	2	3	1	2	0	0	5
0.01062	2	4	1	2	0	0	6
0.01197	2	5	1	2	0	0	7
0.01825	2	6	1	2	0	0	8
0.02141	2	7	1	2	0	0	8
0.0217	2	8	1	2	0	0	10
0.02404	2	9	1	2	0	0	11
0.02628	2	10	1	2	0	0	12
0.0271	2	11	1	2	0	0	13
0.02775	2	11	1	2	0	0	13
0.02821	2	12	1	2	0	0	15
0.02882	2	13	1	2	0	1.5	17
0.02994	2	14	1	2	0	1.5	18
0.03066	2	15	1	2	0	1.5	18
0.03145	2	16	1	2	0	1.5	18
0.03312	2	17	1	2	0	1.5	19
0.03315	2	17	1	2	0	1.5	20
0.03359	2	18	1	2	0	1.5	20
0.03457	2	18	1	2	0	1.5	20
0.03473	2	19	1	2	0	1.5	21
0.03489	2	20	1	2	0	1.5	21
0.03506	2	21	1	2	0	1.5	22
0.03532	2	22	1	2	0	1.5	22
0.03581	2	22	1	2	0	1.5	22
0.03584	2	23	1	2	0	1.5	22
0.03636	2	24	1	2	0	1.5	22
0.03669	2	25	1	2	0	1.5	22
0.0374	2	26	1	2	0	1.5	22
0.03749	2	27	1	2	0	1.5	22
0.03756	2	28	1	2	0	1.5	22
0.03802	2	29	1	2	0	1.5	22
0.03834	2	30	1	2	0	1.5	22
0.0387	2	30	1	2	0	1.5	22
0.03877	2	31	1	2	0	1.5	22
0.03895	2	31	1	2	0	1.5	22
0.03898	2	32	1	2	0	1.5	22
0.03902	2	33	1	2	0	1.5	22
0.03904	2	34	1	2	0	1.5	22
0.03921	2	35	1	2	0	1.5	22
0.03932	2	36	1	2	0	1.5	24
0.03938	2	37	1	2	0	1.5	24
0.03944	2	38	1	2	0	1.5	24
0.03981	2	39	1	2	0	1.5	25
0.03995	2	39	1	2	0	1.5	25
0.03997	2	40	1	2	0	1.5	25
0.04007	2	41	1	2	0	1.5	25
0.0401	2	41	1	2	0	1.5	25
0.04037	2	42	1	2	0	1.5	25
0.04058	2	44	1	2	0	1.5	25
0.04066	2	45	1	2	0	1.5	26
0.04089	2	46	1	2	0	1.5	26
0.04091	2	47	1	2	0	1.5	26
0.04098	2	48	1	2	0	1.5	27
0.04105	2	50	1	2	0	1.5	27
0.04118	2	51	1	2	0	1.5	28
0.04121	2	52	1	2	0	1.5	29
0.04141	2	53	1	2	0	1.5	29
0.04143	2	54	1	2	0	1.5	29
0.04153	2	55	1	2	0	1.5	29
0.04157	2	56	1	2	0	1.5	29
0.04164	2	57	1	2	0	1.5	29
0.04175	2	59	1	2	0	1.5	30
0.04188	2	60	1	2	0	1.5	30
0.04195	2	61	1	2	0	1.5	30
0.04205	2	62	1	2	0	1.5	30
0.04224	2	63	1	2	0	1.5	30
0.0425	2	64	1	2	0	1.5	30
0.04253	2	65	1	2	0	1.5	30
0.04255	2	67	1	2	0	1.5	30
0.04263	2	68	1	2	0	1.5	30
0.04269	2	69	1	2	0	1.5	30
0.04278	2	72	1	2	0	1.5	30
0.04283	2	73	1	2	0	1.5	30
0.04285	2	75	1	2	0	1.5	30
0.04292	2	76	1	2	0	1.5	30
0.04297	2	77	1	2	0	1.5	30
0.04313	2	78	1	2	0	1.5	30
0.04315	2	79	1	2	0	1.5	30
0.0432	2	80	1	2	0	1.5	31
0.04332	2	81	1	2	0	1.5	31
0.04346	2	83	1	2	0	1.5	32
0.04349	2	84	1	2	0	1.5	34
0.04352	2	85	1	2	0	1.5	34
0.0437	2	86	1	2	0	1.5	34
0.04379	2	87	1	2	0	1.5	34
0.04381	2	89	1	2	0	1.5	34
0.04399	2	90	1	2	0	1.5	34
0.04402	2	91	1	2	0	1.5	35
0.04404	2	93	1	2	0	1.5	35
0.04412	2	93	1	2	0	1.5	35
0.04423	2	94	1	2	0	1.5	35
0.04437	2	95	1	2	0	1.5	35
0.04441	2	96	1	2	0	1.5	35
0.04444	2	97	1	2	0	1.5	36
0.04451	2	98	1	2	0	1.5	36
0.04461	2	98	1	2	0	1.5	36
0.04467	2	99	1	2	0	1.5	36
0.0447	2	102	1	2	0	1.5	36
0.04475	2	104	1	2	0	1.5	36
0.04492	2	105	1	2	0	1.5	36
0.04494	2	108	1	2	0	1.5	36
0.04524	2	109	1	2	0	1.5	36
0.04528	2	111	1	2	0	1.5	36
0.04532	2	112	1	2	0	1.5	36
0.04535	2	114	1	2	0	1.5	37
0.04563	2	114	1	2	0	1.5	37
0.04569	2	117	1	2	0	1.5	37
0.04571	2	119	1	2	0	1.5	37
0.04574	2	121	1	2	0	1.5	37
0.04579	2	122	1	2	0	1.5	37
0.04587	2	123	1	2	0	1.5	37
0.04615	2	124	1	2	0	1.5	37
0.04623	2	126	1	2	0	1.5	38
0.04628	2	127	1	2	0	1.5	38
0.04632	2	128	1	2	0	1.5	38
0.0464	2	129	1	2	0	1.5	38
0.04642	2	131	1	2	0	1.5	38
0.04659	2	132	1	2	0	1.5	38
0.04662	2	133	1	2	0	1.5	38
0.04664	2	134	1	2	0	1.5	38
0.04683	2	135	1	2	0	1.5	38
0.04693	2	136	1	2	0	1.5	38
0.04703	2	138	1	2	0	1.5	38
0.04718	2	140	1	2	0	1.5	38
0.04723	2	141	1	2	0	1.5	38
0.04725	2	142	1	2	0	1.5	38
0.04732	2	142	1	2	0	1.5	38
0.04737	2	143	1	2	0	1.5	38
0.04745	2	145	1	2	0	1.5	38
0.0475	2	146	1	2	0	1.5	38
0.04756	2	148	1	2	0	1.5	38
0.04758	2	150	1	2	0	1.5	38
0.04767	2	151	1	2	0	1.5	38
0.04777	2	152	1	2	0	1.5	38
0.04779	2	153	1	2	0	1.5	39
0.04781	2	154	1	2	0	1.5	39
0.04786	2	156	1	2	0	1.5	39
0.04796	2	156	1	2	0	1.5	39
0.04798	2	156	1	2	0	1.5	39
0.04804	2	157	1	2	0	1.5	39
0.04809	2	158	1	2	0	1.5	39
0.04811	2	160	1	2	0	1.5	39
0.04817	2	161	1	2	0	1.5	39
0.04823	2	163	1	2	0	1.5	39
0.04825	2	164	1	2	0	1.5	39
0.04828	2	165	1	2	0	1.5	39
0.04833	2	166	1	2	0	1.5	39
0.04839	2	168	1	2	0	1.5	39
0.0485	2	171	1	2	0	1.5	39
0.04854	2	172	1	2	0	1.5	39
0.04869	2	174	1	2	0	1.5	39
0.04878	2	175	1	2	0	1.5	39
0.0488	2	176	1	2	0	1.5	39
0.04891	2	177	1	2	0	1.5	39
0.04895	2	177	1	2	0	1.5	39
0.04911	2	179	1	2	0	1.5	39
0.04914	2	179	1	2	0	1.5	39
0.04925	2	181	1	2	0	1.5	39
0.04927	2	182	1	2	0	1.5	39
0.04932	2	183	1	2	0	1.5	39
0.04935	2	183	1	2	0	1.5	39
0.04937	2	184	1	2	0	1.5	39
0.04941	2	186	1	2	0	1.5	39
0.04946	2	187	1	2	0	1.5	39
0.04954	2	188	1	2	0	1.5	39
0.04959	2	189	1	2	0	1.5	39
0.04963	2	190	1	2	0	1.5	39
0.04968	2	192	1	2	0	1.5	39
0.04975	2	193	1	2	0	1.5	39
0.04977	2	194	1	2	0	1.5	39
0.04984	2	195	1	2	0	1.5	39
0.04991	2	196	1	2	0	1.5	39
0.04993	2	197	1	2	0	1.5	39
0.05	2	199	1	2	0	1.5	39
0.05002	2	200	1	2	0	1.5	39
0.05012	2	201	1	2	0	1.5	39
0.05015	2	202	1	2	0	1.5	39
0.0502	2	203	1	2	0	1.5	39
0.05024	2	205	1	2	0	1.5	39
0.05026	2	206	1	2	0	1.5	39
0.05028	2	207	1	2	0	1.5	39
0.05033	2	208	1	2	0	1.5	39
0.05036	2	210	1	2	0	1.5	40
0.05038	2	212	1	2	0	1.5	40
0.05045	2	213	1	2	0	1.5	40
0.05053	2	214	1	2	0	1.5	40
0.05055	2	214	1	2	0	1.5	40
0.05058	2	215	1	2	0	1.5	40
0.05061	2	217	1	2	0	1.5	40
0.05065	2	219	1	2	0	1.5	40
0.05068	2	220	1	2	0	1.5	40
0.05071	2	220	1	2	0	1.5	40
0.05081	2	221	1	2	0	1.5	40
0.05089	2	223	1	2	0	1.5	40
0.05092	2	225	1	2	0	1.5	40
0.05096	2	227	1	2	0	1.5	40
0.05098	2	229	1	2	0	1.5	40
0.05108	2	229	1	2	0	1.5	40
0.05116	2	231	1	2	0	1.5	40
0.05121	2	232	1	2	0	1.5	40
0.05124	2	233	1	2	0	1.5	40
0.05127	2	234	1	2	0	1.5	40
0.0513	2	235	1	2	0	1.5	40
0.05132	2	238	1	2	0	1.5	40
0.05135	2	239	1	2	0	1.5	41
0.05137	2	240	1	2	0	1.5	41
0.0514	2	242	1	2	0	1.5	41
0.05146	2	244	1	2	0	1.5	41
0.05148	2	246	1	2	0	1.5	41
0.0515	2	248	1	2	0	1.5	41
0.05153	2	250	1	2	0	1.5	41
0.05161	2	252	1	2	0	1.5	41
0.05169	2	255	1	2	0	1.5	41
0.05173	2	256	1	2	0	1.5	41
0.05177	2	257	1	2	0	1.5	41
0.05179	2	260	1	2	0	1.5	41
0.05185	2	261	1	2	0	1.5	42
0.05194	2	262	1	2	0	1.5	42
0.05197	2	265	1	2	0	1.5	42
0.05211	2	266	1	2	0	1.5	42
0.05219	2	267	1	2	0	1.5	42
0.05229	2	268	1	2	0	1.5	42
0.05236	2	271	1	2	0	1.5	42
0.05238	2	272	1	2	0	1.5	42
0.0524	2	273	1	2	0	1.5	42
0.05242	2	275	1	2	0	1.5	42
0.05248	2	276	1	2	0	1.5	42
0.05253	2	278	1	2	0	1.5	42
0.05256	2	280	1	2	0	1.5	42
0.0526	2	280	1	2	0	1.5	42
0.05268	2	282	1	2	0	1.5	42
0.0527	2	284	1	2	0	1.5	42
0.05272	2	285	1	2	0	1.5	42
0.05276	2	286	1	2	0	1.5	42
0.05278	2	287	1	2	0	1.5	42
0.05289	2	287	1	2	0	1.5	42
0.05293	2	288	1	2	0	1.5	42
0.05298	2	289	1	2	0	1.5	42
0.05304	2	290	1	2	0	1.5	42
0.05312	2	292	1	2	0	1.5	42
0.05317	2	292	1	2	0	1.5	42
0.05319	2	293	1	2	0	1.5	42
0.05325	2	294	1	2	0	1.5	42
0.05331	2	295	1	2	0	1.5	42
0.05333	2	295	1	2	0	1.5	42
0.05335	2	298	1	2	0	1.5	42
0.05339	2	300	1	2	0	1.5	42
0.05343	2	301	1	2	0	1.5	42
0.05345	2	302	1	2	0	1.5	42
0.05351	2	303	1	2	0	1.5	42
0.05356	2	304	1	2	0	1.5	42
0.0536	2	306	1	2	0	1.5	42
0.05365	2	306	1	2	0	1.5	42
0.05367	2	310	1	2	0	1.5	42
0.05369	2	311	1	2	0	1.5	42
0.05371	2	312	1	2	0	1.5	42
0.05376	2	314	1	2	0	1.5	42
0.05387	2	315	1	2	0	1.5	42
0.05389	2	316	1	2	0	1.5	42
0.05391	2	318	1	2	0	1.5	42
0.05397	2	319	1	2	0	1.5	42
0.05402	2	320	1	2	0	1.5	42
0.05419	2	325	1	2	0	1.5	42
0.05425	2	326	1	2	0	1.5	42
0.05427	2	328	1	2	0	1.5	43
0.05431	2	329	1	2	0	1.5	43
0.05433	2	331	1	2	0	1.5	43
0.05435	2	332	1	2	0	1.5	43
0.05437	2	334	1	2	0	1.5	43
0.05441	2	335	1	2	0	1.5	43
0.05444	2	337	1	2	0	1.5	43
0.05447	2	338	1	2	0	1.5	43
0.0545	2	339	1	2	0	1.5	43
0.05454	2	341	1	2	0	1.5	43
0.05459	2	342	1	2	0	1.5	43
0.05462	2	342	1	2	0	1.5	43
0.05464	2	343	1	2	0	1.5	43
0.05466	2	344	1	2	0	1.5	43
0.05471	2	346	1	2	0	1.5	43
0.05473	2	349	1	2	0	1.5	44
0.05475	2	351	1	2	0	1.5	44
0.05478	2	353	1	2	0	1.5	44
0.05481	2	354	1	2	0	1.5	44
0.05485	2	355	1	2	0	1.5	44
0.05487	2	356	1	2	0	1.5	44
0.05491	2	356	1	2	0	1.5	44
0.055	2	357	1	2	0	1.5	44
0.05502	2	358	1	2	0	1.5	44
0.05504	2	360	1	2	0	1.5	44
0.05506	2	361	1	2	0	1.5	44
0.05511	2	363	1	2	0	1.5	44
0.05515	2	365	1	2	0	1.5	44
0.05517	2	366	1	2	0	1.5	44
0.05521	2	368	1	2	0	1.5	44
