Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
1e-05	4	2	2	2	2	0	4
0.00154	4	4	2	2	2	0	8
0.00384	4	5	2	2	2	0	9
0.0046	4	7	2	2	2	0	10
0.00536	4	8	2	2	2	0	11
0.00616	4	8	2	2	2	0	11
0.0069	4	11	2	2	2	0	12
0.00845	4	13	2	2	2	0	14
0.00923	4	15	2	2	2	0	14
0.01001	4	20	2	2	2	0	16
0.01077	4	23	2	2	2	0	16
0.01081	4	24	2	2	2	1.5	16
0.01155	4	27	2	2	2	1.5	16
0.01157	4	31	2	2	2	1.5	17
0.01186	4	32	2	2	2	1.5	17
0.01231	4	36	2	2	2	1.5	17
0.01234	4	39	2	2	2	1.5	17
0.01237	4	40	2	2	2	1.5	17
0.01266	4	41	2	2	2	1.5	18
0.01309	4	45	2	2	2	1.5	19
0.01312	4	47	2	2	2	1.5	19
0.01315	4	49	2	2	2	1.5	21
0.01319	4	50	2	2	2	1.5	21
0.01356	4	50	2	2	2	1.5	21
0.01386	4	54	2	2	2	1.5	21
0.01388	4	62	2	2	2	1.5	23
0.0139	4	68	2	2	2	1.5	23
0.01392	4	69	2	2	2	1.5	24
0.01401	4	70	2	2	2	1.5	24
0.01426	4	70	2	2	2	1.5	24
0.01463	4	71	2	2	2	1.5	24
0.01466	4	72	2	2	2	1.5	24
0.01468	4	77	2	2	2	1.5	25
0.01471	4	79	2	2	2	1.5	27
0.01517	4	81	2	2	2	1.5	27
0.01521	4	81	2	2	2	1.5	27
0.01523	4	82	2	2	2	1.5	27
0.01542	4	83	2	2	2	1.5	27
0.01545	4	87	2	2	2	1.5	27
0.01547	4	93	2	2	2	1.5	27
0.01549	4	96	2	2	2	1.5	27
0.01621	4	98	2	2	2	1.5	27
0.01623	4	104	2	2	2	1.5	27
0.01625	4	110	2	2	2	1.5	27
0.01627	4	112	2	2	2	1.5	27
0.01631	4	113	2	2	2	1.5	27
0.01688	4	117	2	2	2	1.5	28
0.01691	4	118	2	2	2	1.5	28
0.01695	4	119	2	2	2	1.5	29
0.01697	4	120	2	2	2	1.5	29
0.01699	4	123	2	2	2	1.5	31
0.01701	4	125	2	2	2	1.5	31
0.01704	4	128	2	2	2	1.5	31
0.01706	4	128	2	2	2	1.5	31
0.01709	4	128	2	2	2	1.5	31
0.01713	4	128	2	2	2	1.5	31
0.01755	4	128	2	2	2	1.5	31
0.01773	4	129	2	2	2	1.5	31
0.01779	4	130	2	2	2	1.5	31
0.01781	4	135	2	2	2	1.5	31
0.01784	4	137	2	2	2	1.5	31
0.01786	4	138	2	2	2	1.5	32
0.01849	4	139	2	2	2	1.5	32
0.01857	4	142	2	2	2	1.5	32
0.01859	4	149	2	2	2	1.5	32
0.01861	4	151	2	2	2	1.5	33
0.01864	4	151	2	2	2	1.5	33
0.01866	4	151	2	2	2	1.5	33
0.01908	4	152	2	2	2	1.5	33
0.01927	4	152	2	2	2	1.5	33
0.01931	4	152	2	2	2	1.5	33
0.01933	4	155	2	2	2	1.5	33
0.01936	4	159	2	2	2	1.5	33
0.01938	4	164	2	2	2	1.5	33
0.0194	4	166	2	2	2	1.5	33
0.01942	4	170	2	2	2	1.5	33
0.01944	4	171	2	2	2	1.5	33
0.01947	4	171	2	2	2	1.5	33
0.01967	4	172	2	2	2	1.5	33
0.01986	4	173	2	2	2	1.5	33
0.01989	4	173	2	2	2	1.5	33
0.02012	4	174	2	2	2	1.5	33
0.02014	4	178	2	2	2	1.5	33
0.02016	4	180	2	2	2	1.5	33
0.02018	4	184	2	2	2	1.5	33
0.02022	4	185	2	2	2	1.5	33
0.02025	4	186	2	2	2	1.5	33
0.0203	4	189	2	2	2	1.5	34
0.02033	4	192	2	2	2	1.5	34
0.02035	4	193	2	2	2	1.5	35
0.02041	4	194	2	2	2	1.5	35
0.02085	4	194	2	2	2	1.5	35
0.02089	4	195	2	2	2	1.5	35
0.02091	4	196	2	2	2	1.5	35
0.02093	4	198	2	2	2	1.5	35
0.02095	4	199	2	2	2	1.5	35
0.02098	4	202	2	2	2	1.5	35
0.021	4	204	2	2	2	1.5	35
0.02103	4	205	2	2	2	1.5	35
0.02152	4	206	2	2	2	1.5	36
0.02157	4	206	2	2	2	1.5	36
0.02164	4	206	2	2	2	1.5	36
0.02169	4	207	2	2	2	1.5	36
0.02171	4	210	2	2	2	1.5	36
0.02173	4	212	2	2	2	1.5	36
0.02176	4	213	2	2	2	1.5	36
0.02178	4	214	2	2	2	1.5	36
0.0218	4	219	2	2	2	1.5	37
0.02182	4	219	2	2	2	1.5	37
0.02184	4	219	2	2	2	1.5	37
0.0219	4	220	2	2	2	1.5	37
0.02195	4	221	2	2	2	1.5	37
0.02203	4	222	2	2	2	1.5	37
0.02205	4	222	2	2	2	1.5	37
0.02207	4	223	2	2	2	1.5	37
0.02209	4	225	2	2	2	1.5	37
0.02214	4	226	2	2	2	1.5	37
0.02216	4	226	2	2	2	1.5	37
0.02218	4	227	2	2	2	1.5	37
0.02235	4	227	2	2	2	1.5	37
0.02247	4	228	2	2	2	1.5	37
0.02252	4	230	2	2	2	1.5	37
0.02255	4	232	2	2	2	1.5	37
0.02257	4	233	2	2	2	1.5	37
0.02261	4	234	2	2	2	1.5	37
0.02263	4	235	2	2	2	1.5	37
0.02273	4	236	2	2	2	1.5	37
0.02286	4	237	2	2	2	1.5	37
0.02314	4	238	2	2	2	1.5	37
0.02317	4	238	2	2	2	1.5	37
0.02321	4	239	2	2	2	1.5	37
0.02325	4	239	2	2	2	1.5	37
0.02327	4	242	2	2	2	1.5	37
0.02329	4	244	2	2	2	1.5	37
0.02331	4	247	2	2	2	1.5	37
0.02333	4	252	2	2	2	1.5	37
0.02336	4	253	2	2	2	1.5	37
0.02338	4	253	2	2	2	1.5	37
0.02343	4	254	2	2	2	1.5	37
0.02345	4	254	2	2	2	1.5	37
0.02354	4	254	2	2	2	1.5	37
0.02362	4	255	2	2	2	1.5	37
0.02374	4	256	2	2	2	1.5	37
0.02376	4	257	2	2	2	1.5	37
0.02397	4	258	2	2	2	1.5	37
0.02399	4	258	2	2	2	1.5	37
0.02401	4	258	2	2	2	1.5	37
0.02406	4	260	2	2	2	1.5	38
0.02408	4	264	2	2	2	1.5	38
0.0241	4	265	2	2	2	1.5	38
0.02412	4	266	2	2	2	1.5	38
0.02414	4	269	2	2	2	1.5	38
0.02416	4	270	2	2	2	1.5	38
0.02418	4	271	2	2	2	1.5	38
0.0242	4	271	2	2	2	1.5	38
0.02425	4	271	2	2	2	1.5	38
0.02427	4	271	2	2	2	1.5	38
0.02429	4	272	2	2	2	1.5	38
0.02443	4	273	2	2	2	1.5	38
0.02451	4	274	2	2	2	1.5	38
0.02475	4	276	2	2	2	1.5	38
0.02477	4	277	2	2	2	1.5	38
0.02481	4	279	2	2	2	1.5	38
0.02484	4	280	2	2	2	1.5	38
0.02486	4	281	2	2	2	1.5	38
0.02488	4	282	2	2	2	1.5	38
