ID1,ID2,Distance
-.02_AG.NL.2003.270712670864298.-.EUR,-.02_AG.CM.2002.CK1_29.-.AFR_SSA,0.0277193
-.02_AG.CM.2008.03068W84.-.AFR_SSA,2175799.02_AG.ES.2007.826MHDO2007.NR.EUR,0.0298192
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.ES.2007.4517MHDO2007.-.EUR,0.0289777
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1833.-.AFR_SSA,0.0287227
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1863.-.AFR_SSA,0.029392
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1949.-.AFR_SSA,0.0257083
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1627.-.AFR_SSA,0.0290614
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1879.-.AFR_SSA,0.0277651
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2007.HJ1683.-.AFR_SSA,0.0298754
-.02_AG.CM.2008.03068W84.-.AFR_SSA,2175799.02_AG.ES.2007.2175799.NR.EUR,0.0298192
-.02_AG.NL.2003.270712670864298.-.EUR,-.02_AG.CM.2007.HJ1949.-.AFR_SSA,0.0283094
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2009.MR129.-.AFR_SSA,0.0298381
-.02_AG.CM.2008.03068W84.-.AFR_SSA,-.02_AG.CM.2015.CIRCB-LQ09.-.AFR_SSA,0.0260326
-.02_AG.CM.2007.HJ1952.-.AFR_SSA,-.02_AG.CM.2007.HJ1683.-.AFR_SSA,0.0246819
-.02_AG.ES.2008.HCIII-00416350.-.EUR,11432.02_AG.US.2009.HIVST-011432.NR.NAM,0.0263286
-.02_AG.ES.2008.HCIII-00416350.-.EUR,18202.02_AG.US.2010.HIVST-018202.NR.NAM,0.0291765
-.02_AG.ES.2008.HCIII-00416350.-.EUR,20569.02_AG.US.2010.HIVST-020569.NR.NAM,0.0266799
-.02_AG.ES.2008.HCIII-00416350.-.EUR,4040121.02_AG.ES.2005.4040121.NR.EUR,0.0268181
-.02_AG.BJ.2004.B067.-.AFR_SSA,SK3001.02_AG.CM.2007.SK3001_PI.NR.AFR_SSA,0.0251103
-.02_AG.CM.2007.HJ1952.-.AFR_SSA,-.02_AG.CM.2009.CM-1-027.-.AFR_SSA,0.0285605
-.02_AG.ES.2008.HCIII-00416350.-.EUR,1768.02_AG.DE.2002.02-00069.SH.EUR,0.0298123
SK3016.02_AG.CM.2007.SK3016_PI.NR.AFR_SSA,-.02_AG.CM.2007.HJ1863.-.AFR_SSA,0.0298964
SK3016.02_AG.CM.2007.SK3016_PI.NR.AFR_SSA,-.02_AG.CM.2007.HJ1463.-.AFR_SSA,0.0290703
SK3016.02_AG.CM.2007.SK3016_PI.NR.AFR_SSA,-.02_AG.CM.2007.HJ1683.-.AFR_SSA,0.0297161
-.02_AG.ES.2008.HCIII-00416350.-.EUR,-.02_AG.US.1999.NC_LC_1956.-.NAM,0.0271244
-.02_AG.ES.2008.HCIII-00416350.-.EUR,-.02_AG.US.2005.10002216.-.NAM,0.0294636
SK3016.02_AG.CM.2007.SK3016_PI.NR.AFR_SSA,-.02_AG.CM.2009.CM-1-027.-.AFR_SSA,0.0298913
-.02_AG.ES.2008.HCIII-00416350.-.EUR,-.02_AG.HK.-.KB2044.-.ASI,0.0282215
-.02_AG.ES.2008.HCIII-00416350.-.EUR,-.02_AG.HK.-.KB2284.-.ASI,0.027418
-.02_AG.CM.2007.HJ1979.-.AFR_SSA,-.02_AG.CM.2007.HJ1463.-.AFR_SSA,0.0252032
