ID1,ID2,Distance
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,0.0697984
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,0.0628385
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00612657
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00078478
CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.0526095
CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,0.0589282
CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,0.0872434
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.000434737
CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0680841
CEC-21-5045-JCLU,CEC-22-7801-VBML-genotype-1b-consensus-0.2_merged,0.129727
CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,0.0773748
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,0.0626194
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,0.0649197
CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0775829
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00568752
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00568006
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00235731
CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0645685
CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,0.0762404
CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,0.0554963
CEC-22-7801-VBML-genotype-1b-consensus-0.2_merged,CEC-21-5785-RVOD-genotype-1b-consensus-0.2_merged,0.0379921
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.000379184
CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,0.112221
CEC-21-5045-JCLU,CEC-22-7801-VBML-genotype-1b-consensus-0.2_merged,0.129727
CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0702772
CEC-21-5045-JCLU,CEC-21-5785-RVOD-genotype-1b-consensus-0.2_merged,0.0291704
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,0.094014
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,0.076153
CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0506831
CEC-21-5045-JCLU,CEC-22-7801-VBML-genotype-1b-consensus-0.2_merged,0.0997519
CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,0.0826574
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00612657
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.0019648
CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.067205
CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,0.0470838
CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.0508842
CEC-21-5045-JCLU,CEC-21-5785-RVOD-genotype-1b-consensus-0.2_merged,0.0291704
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00195941
CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0775071
CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0696999
CEC-21-5045-JCLU,CEC-21-5785-RVOD-genotype-1b-consensus-0.2_merged,0.0251839
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0683752
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,0.0711613
CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,0.0428253
CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.0754268
CEC-21-5045-JCLU,CEC-22-7801-VBML-genotype-1b-consensus-0.2_merged,0.0983151
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00436831
CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0656285
CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,0.0717075
CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0645524
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00275082
CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,0.0749951
CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0720082
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,0.0953926
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,0.070068
CEC-21-5045-JCLU,CEC-21-5785-RVOD-genotype-1b-consensus-0.2_merged,0.025154
CEC-21-5599-NAA-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.0441504
CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0917887
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00393041
CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0672734
CEC-22-6511-GRHR-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0683912
CEC-21-5045-JCLU,CEC-21-5045-JCLU,0.00392527
CEC-22-7796-MPH-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.088122
lcl|AJ238799.1_cds_CAB46677.1_1_ns5a-ns5b-ns3,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0701738
CEC-22-8147-FTJC-genotype-1b-consensus-0.2_merged,CEC-21-5077-STMA-genotype-1b-consensus-0.2_merged,0.0673898
CEC-22-6633-CCPA-genotype-1b-consensus-0.2_merged,CEC-22-8148-RVJ-genotype-1b-consensus-0.2_merged,0.0439787
CEC-21-5695-CHA-genotype-1b-consensus-0.2_merged,CEC-21-5045-JCLU,0.0942088
