ID1,ID2,Distance
CEC-22-8310-ACES-genotype-2b-consensus-0.1_merged,CEC-21-5777-HZL-genotype-2b-consensus-0.1_merged,0.0962497
CEC-22-8495-HZD-genotype-2b-consensus-0.1_merged,CEC-22-9095-JVJA-genotype-2b-consensus-0.1_merged,0.0696317
CEC-22-9095-JVJA-genotype-2b-consensus-0.1_merged,CEC-22-8310-ACES-genotype-2b-consensus-0.1_merged,0.0734465
AB030907.1_ns5a-ns5b-ns3,CEC-22-8495-HZD-genotype-2b-consensus-0.1_merged,0.0818854
CEC-22-8495-HZD-genotype-2b-consensus-0.1_merged,CEC-22-8310-ACES-genotype-2b-consensus-0.1_merged,0.084854
CEC-22-9095-JVJA-genotype-2b-consensus-0.1_merged,CEC-21-5777-HZL-genotype-2b-consensus-0.1_merged,0.0815961
AB030907.1_ns5a-ns5b-ns3,CEC-22-9095-JVJA-genotype-2b-consensus-0.1_merged,0.0771985
CEC-22-8495-HZD-genotype-2b-consensus-0.1_merged,CEC-21-5777-HZL-genotype-2b-consensus-0.1_merged,0.0864029
AB030907.1_ns5a-ns5b-ns3,CEC-22-8310-ACES-genotype-2b-consensus-0.1_merged,0.0888999
AB030907.1_ns5a-ns5b-ns3,CEC-21-5777-HZL-genotype-2b-consensus-0.1_merged,0.087918
