ID1,ID2,Distance
CEC-22-8447-RAR-genotype-4d-consensus-0.01_merged,CEC-22-7438-HMCJ-genotype-4d-consensus-0.01_merged,0.0245955
CEC-22-7438-HMCJ-genotype-4d-consensus-0.01_merged,CEC-22-7907-PCLR-genotype-4d-consensus-0.01_merged,0.0244165
CEC-22-9263-LAJ-genotype-4d-consensus-0.01_merged,CEC-22-6973-GMAJ-genotype-4d-consensus-0.01_merged,0.037546
CEC-21-5550-CCE-genotype-4d-consensus-0.01_merged,CEC-23-10007-LCMC-genotype-4d-consensus-0.01_merged,0.0312376
CEC-22-7907-PCLR-genotype-4d-consensus-0.01_merged,CEC-21-5550-CCE-genotype-4d-consensus-0.01_merged,0.028424
CEC-22-8447-RAR-genotype-4d-consensus-0.01_merged,CEC-22-7907-PCLR-genotype-4d-consensus-0.01_merged,0.0128587
CEC-22-7705-OPJE-genotype-4d-consensus-0.01_merged,CEC-22-8087-OOJ-genotype-4d-consensus-0.01_merged,0.0338808
CEC-22-7935-GOAJ-genotype-4d-consensus-0.01_merged,CEC-22-9324-MBCA-genotype-4d-consensus-0.01_merged,0.0252186
CEC-22-5963-MRKJ-genotype-4d-consensus-0.01_merged,CEC-22-7799-ZMH-genotype-4d-consensus-0.01_merged,0.0164396
CEC-22-7438-HMCJ-genotype-4d-consensus-0.01_merged,CEC-21-5550-CCE-genotype-4d-consensus-0.01_merged,0.0228497
CEC-21-5739-CVV-genotype-4d-consensus-0.01_merged,CEC-21-5547-RPRA-genotype-4d-consensus-0.01_merged,0.0203189
CEC-22-9324-MBCA-genotype-4d-consensus-0.01_merged,CEC-22-8062-MAJA-genotype-4d-consensus-0.01_merged,0.0222694
CEC-22-9263-LAJ-genotype-4d-consensus-0.01_merged,CEC-22-8312-SFJH-genotype-4d-consensus-0.01_merged,0.0413004
EU392173.1_ns5a-ns5b-ns3,CEC-22-5963-MRKJ-genotype-4d-consensus-0.01_merged,0.193818
CEC-21-5547-RPRA-genotype-4d-consensus-0.01_merged,CEC-21-4789-BPA-genotype-4d-consensus-0.01_merged,0.0326238
CEC-21-4789-BPA-genotype-4d-consensus-0.01_merged,CEC-22-7698-FADA-genotype-4d-consensus-0.01_merged,0.0368717
CEC-22-7802-BJA-genotype-4d-consensus-0.01_merged,CEC-22-9263-LAJ-genotype-4d-consensus-0.01_merged,0.0397868
CEC-23-10486-MSE-genotype-4d-consensus-0.01_merged,CEC-22-7802-BJA-genotype-4d-consensus-0.01_merged,0.0264826
CEC-23-10007-LCMC-genotype-4d-consensus-0.01_merged,CEC-22-7705-OPJE-genotype-4d-consensus-0.01_merged,0.0320147
CEC-22-6973-GMAJ-genotype-4d-consensus-0.01_merged,CEC-22-8312-SFJH-genotype-4d-consensus-0.01_merged,0.0416231
CEC-22-8087-OOJ-genotype-4d-consensus-0.01_merged,CEC-21-5739-CVV-genotype-4d-consensus-0.01_merged,0.0217864
CEC-22-8062-MAJA-genotype-4d-consensus-0.01_merged,CEC-23-10486-MSE-genotype-4d-consensus-0.01_merged,0.0336858
CEC-22-7698-FADA-genotype-4d-consensus-0.01_merged,CEC-21-5257-CEE,0.0282094
CEC-22-7641-MMHA-genotype-4d-consensus-0.01_merged,CEC-23-10200-APJ-genotype-4d-consensus-0.01_merged,0.0382954
CEC-22-8312-SFJH-genotype-4d-consensus-0.01_merged,CEC-23-10204-MGJU-genotype-4d-consensus-0.01_merged,0.0348367
CEC-23-10204-MGJU-genotype-4d-consensus-0.01_merged,CEC-22-7641-MMHA-genotype-4d-consensus-0.01_merged,0.0304624
CEC-22-8241-MTMM-genotype-4d-consensus-0.01_merged,CEC-22-8055-AOF-genotype-4d-consensus-0.01_merged,0.0228607
CEC-22-8055-AOF-genotype-4d-consensus-0.01_merged,CEC-21-5696-CBAE-genotype-4d-consensus-0.01_merged,0.0298923
CEC-21-5257-CEE,CEC-21-4999-HRLG,0.0235702
CEC-23-10200-APJ-genotype-4d-consensus-0.01_merged,CEC-21-5306-FPPE-genotype-4d-consensus-0.01_merged,0.0360044
CEC-21-5306-FPPE-genotype-4d-consensus-0.01_merged,CEC-22-8241-MTMM-genotype-4d-consensus-0.01_merged,0.0284385
