ID1,ID2,Distance
CEC-22-7641-MMHA-genotype-4d-consensus-0.05_merged,CEC-22-8087-OOJ-genotype-4d-consensus-0.05_merged,0.0192363
CEC-21-4789-BPA-genotype-4d-consensus-0.05_merged,CEC-21-5920-CMA-genotype-4d-consensus-0.05_merged,0.0318002
CEC-21-5920-CMA-genotype-4d-consensus-0.05_merged,CEC-22-9326-GNCY-genotype-4d-consensus-0.05_merged,0.0302203
CEC-22-9326-GNCY-genotype-4d-consensus-0.05_merged,CEC-22-8055-AOF-genotype-4d-consensus-0.05_merged,0.0238464
CEC-22-5963-MRKJ-genotype-4d-consensus-0.05_merged,CEC-22-7935-GOAJ-genotype-4d-consensus-0.05_merged,0.0303425
CEC-21-5881-GGJR-genotype-4d-consensus-0.05_merged,CEC-22-6085-MRR-genotype-4d-consensus-0.05_merged,0.0182025
CEC-22-6973-GMAJ-genotype-4d-consensus-0.05_merged,CEC-22-7802-BJA-genotype-4d-consensus-0.05_merged,0.028769
CEC-22-7935-GOAJ-genotype-4d-consensus-0.05_merged,CEC-22-6632-SGO-genotype-4d-consensus-0.05_merged,0.0317882
CEC-22-7705-OPJE-genotype-4d-consensus-0.05_merged,CEC-22-7438-HMCJ-genotype-4d-consensus-0.05_merged,0.0346633
CEC-22-9324-MBCA-genotype-4d-consensus-0.05_merged,CEC-21-5256-SRJL-genotype-4d-consensus-0.05_merged,0.0150923
CEC-23-10204-MGJU-genotype-4d-consensus-0.05_merged,CEC-22-8242-FAMI-genotype-4d-consensus-0.05_merged,0.0282867
CEC-22-8055-AOF-genotype-4d-consensus-0.05_merged,CEC-22-6973-GMAJ-genotype-4d-consensus-0.05_merged,0.0155048
CEC-22-8374-GBF-genotype-4d-consensus-0.05_merged,CEC-22-5963-MRKJ-genotype-4d-consensus-0.05_merged,0.0138496
CEC-22-7438-HMCJ-genotype-4d-consensus-0.05_merged,CEC-21-5550-CCE-genotype-4d-consensus-0.05_merged,0.0168366
CEC-22-8239-GZJL-genotype-4d-consensus-0.05_merged,CEC-21-5306-FPPE-genotype-4d-consensus-0.05_merged,0.0258547
CEC-21-5256-SRJL-genotype-4d-consensus-0.05_merged,CEC-23-10200-APJ-genotype-4d-consensus-0.05_merged,0.0269294
EU392173.1_ns5a-ns5b-ns3,CEC-22-8374-GBF-genotype-4d-consensus-0.05_merged,0.207463
CEC-21-4789-BPA-genotype-4d-consensus-0.05_merged,CEC-22-9326-GNCY-genotype-4d-consensus-0.05_merged,0.0301749
CEC-22-6555-AGAS-genotype-4d-consensus-0.05_merged,CEC-22-7705-OPJE-genotype-4d-consensus-0.05_merged,0.0411138
CEC-22-7802-BJA-genotype-4d-consensus-0.05_merged,CEC-22-7907-PCLR-genotype-4d-consensus-0.05_merged,0.0301307
CEC-21-5306-FPPE-genotype-4d-consensus-0.05_merged,CEC-23-10204-MGJU-genotype-4d-consensus-0.05_merged,0.0173605
CEC-22-7907-PCLR-genotype-4d-consensus-0.05_merged,CEC-22-9388-VCX-genotype-4d-consensus-0.05_merged,0.0141232
CEC-21-5920-CMA-genotype-4d-consensus-0.05_merged,CEC-22-8055-AOF-genotype-4d-consensus-0.05_merged,0.0239001
CEC-22-9326-GNCY-genotype-4d-consensus-0.05_merged,CEC-22-6973-GMAJ-genotype-4d-consensus-0.05_merged,0.0294842
CEC-22-6632-SGO-genotype-4d-consensus-0.05_merged,CEC-22-8239-GZJL-genotype-4d-consensus-0.05_merged,0.0265455
CEC-22-7641-MMHA-genotype-4d-consensus-0.05_merged,CEC-21-4789-BPA-genotype-4d-consensus-0.05_merged,0.0281376
CEC-22-5963-MRKJ-genotype-4d-consensus-0.05_merged,CEC-22-6632-SGO-genotype-4d-consensus-0.05_merged,0.0237429
CEC-22-8242-FAMI-genotype-4d-consensus-0.05_merged,CEC-21-5881-GGJR-genotype-4d-consensus-0.05_merged,0.0202363
CEC-22-7799-ZMH-genotype-4d-consensus-0.05_merged,CEC-22-9324-MBCA-genotype-4d-consensus-0.05_merged,0.0210748
CEC-22-8062-MAJA-genotype-4d-consensus-0.05_merged,CEC-22-9263-LAJ-genotype-4d-consensus-0.05_merged,0.0280112
CEC-22-9263-LAJ-genotype-4d-consensus-0.05_merged,CEC-22-7799-ZMH-genotype-4d-consensus-0.05_merged,0.027379
CEC-22-6085-MRR-genotype-4d-consensus-0.05_merged,CEC-22-6555-AGAS-genotype-4d-consensus-0.05_merged,0.0241625
CEC-21-5550-CCE-genotype-4d-consensus-0.05_merged,CEC-22-8062-MAJA-genotype-4d-consensus-0.05_merged,0.0144923
CEC-22-8087-OOJ-genotype-4d-consensus-0.05_merged,CEC-21-4789-BPA-genotype-4d-consensus-0.05_merged,0.0184418
CEC-21-5881-GGJR-genotype-4d-consensus-0.05_merged,CEC-22-6555-AGAS-genotype-4d-consensus-0.05_merged,0.0212976
CEC-22-6973-GMAJ-genotype-4d-consensus-0.05_merged,CEC-22-7907-PCLR-genotype-4d-consensus-0.05_merged,0.0144786
CEC-22-7935-GOAJ-genotype-4d-consensus-0.05_merged,CEC-22-8239-GZJL-genotype-4d-consensus-0.05_merged,0.0324436
CEC-22-7705-OPJE-genotype-4d-consensus-0.05_merged,CEC-21-5550-CCE-genotype-4d-consensus-0.05_merged,0.029396
CEC-22-9324-MBCA-genotype-4d-consensus-0.05_merged,CEC-23-10200-APJ-genotype-4d-consensus-0.05_merged,0.0407021
CEC-22-8055-AOF-genotype-4d-consensus-0.05_merged,CEC-22-7802-BJA-genotype-4d-consensus-0.05_merged,0.0259712
CEC-22-8374-GBF-genotype-4d-consensus-0.05_merged,CEC-22-7935-GOAJ-genotype-4d-consensus-0.05_merged,0.0300142
CEC-22-7438-HMCJ-genotype-4d-consensus-0.05_merged,CEC-22-8062-MAJA-genotype-4d-consensus-0.05_merged,0.0254597
CEC-22-8239-GZJL-genotype-4d-consensus-0.05_merged,CEC-23-10204-MGJU-genotype-4d-consensus-0.05_merged,0.028303
CEC-23-10204-MGJU-genotype-4d-consensus-0.05_merged,CEC-21-5881-GGJR-genotype-4d-consensus-0.05_merged,0.0251132
EU392173.1_ns5a-ns5b-ns3,CEC-22-5963-MRKJ-genotype-4d-consensus-0.05_merged,0.215738
CEC-21-4789-BPA-genotype-4d-consensus-0.05_merged,CEC-22-8055-AOF-genotype-4d-consensus-0.05_merged,0.0274565
CEC-22-6555-AGAS-genotype-4d-consensus-0.05_merged,CEC-22-7438-HMCJ-genotype-4d-consensus-0.05_merged,0.0234024
CEC-21-5256-SRJL-genotype-4d-consensus-0.05_merged,CEC-23-10007-LCMC-genotype-4d-consensus-0.05_merged,0.025118
CEC-22-7802-BJA-genotype-4d-consensus-0.05_merged,CEC-22-9388-VCX-genotype-4d-consensus-0.05_merged,0.0203615
CEC-21-5306-FPPE-genotype-4d-consensus-0.05_merged,CEC-22-8242-FAMI-genotype-4d-consensus-0.05_merged,0.0228232
CEC-22-7907-PCLR-genotype-4d-consensus-0.05_merged,CEC-22-8412-DRC-genotype-4d-consensus-0.05_merged,0.0182191
CEC-21-5920-CMA-genotype-4d-consensus-0.05_merged,CEC-22-6973-GMAJ-genotype-4d-consensus-0.05_merged,0.0249307
CEC-22-9326-GNCY-genotype-4d-consensus-0.05_merged,CEC-22-7802-BJA-genotype-4d-consensus-0.05_merged,0.00814913
CEC-22-7641-MMHA-genotype-4d-consensus-0.05_merged,CEC-21-5920-CMA-genotype-4d-consensus-0.05_merged,0.0252212
CEC-22-5963-MRKJ-genotype-4d-consensus-0.05_merged,CEC-22-8239-GZJL-genotype-4d-consensus-0.05_merged,0.0073434
CEC-22-6632-SGO-genotype-4d-consensus-0.05_merged,CEC-21-5306-FPPE-genotype-4d-consensus-0.05_merged,0.0260019
CEC-22-7799-ZMH-genotype-4d-consensus-0.05_merged,CEC-21-5256-SRJL-genotype-4d-consensus-0.05_merged,0.0187156
CEC-22-8062-MAJA-genotype-4d-consensus-0.05_merged,CEC-22-7799-ZMH-genotype-4d-consensus-0.05_merged,0.0232447
CEC-22-9263-LAJ-genotype-4d-consensus-0.05_merged,CEC-22-9324-MBCA-genotype-4d-consensus-0.05_merged,0.021403
CEC-22-8242-FAMI-genotype-4d-consensus-0.05_merged,CEC-22-6085-MRR-genotype-4d-consensus-0.05_merged,0.0271794
CEC-22-6085-MRR-genotype-4d-consensus-0.05_merged,CEC-22-7705-OPJE-genotype-4d-consensus-0.05_merged,0.0346741
CEC-21-5550-CCE-genotype-4d-consensus-0.05_merged,CEC-22-9263-LAJ-genotype-4d-consensus-0.05_merged,0.0210383
CEC-21-5881-GGJR-genotype-4d-consensus-0.05_merged,CEC-22-7705-OPJE-genotype-4d-consensus-0.05_merged,0.0303751
