ID1,ID2,Distance
CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.02555
D17763.1_ns5a-ns5b-ns3,CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,0.0645772
CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0167652
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,0.0643477
CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,0.0336833
CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,0.0117015
CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,0.0610362
D17763.1_ns5a-ns5b-ns3,CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,0.0576994
CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.0249564
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,0.0703207
CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,0.0401898
CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0106094
CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,0.0675408
D17763.1_ns5a-ns5b-ns3,CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,0.0531901
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,0.0777915
CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.0210924
CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0403874
D17763.1_ns5a-ns5b-ns3,CEC-22-6914-CRJA-genotype-3a-consensus-0.05_merged,0.0534525
CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,0.0732557
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,0.0875032
D17763.1_ns5a-ns5b-ns3,CEC-23-10205-JCJA-genotype-3a-consensus-0.05_merged,0.0602048
CEC-22-7750-MHH-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.0385282
CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0728797
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0859049
D17763.1_ns5a-ns5b-ns3,CEC-22-7444-LNGS-genotype-3a-consensus-0.05_merged,0.0569231
CEC-22-7110-LCR-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.0704577
D17763.1_ns5a-ns5b-ns3,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.0548393
CEC-22-6442-MHG-genotype-3a-consensus-0.05_merged,CEC-21-5598-DCMA-genotype-3a-consensus-0.05_merged,0.08049
