ID1,ID2,Distance
CEC-23-10114-MLM-genotype-1a-consensus-0.01_merged,CEC-22-7752-VCJA-genotype-1a-consensus-0.01_merged,0.00418471
CEC-22-6058-RGR-genotype-1a-consensus-0.01_merged,CEC-22-6972-GLDA-genotype-1a-consensus-0.01_merged,0.00645965
CEC-22-6725-CVAF-genotype-1a-consensus-0.01_merged,CEC-21-5258-BBJ-genotype-1a-consensus-0.01_merged,0.0288978
CEC-22-6971-VPMA-genotype-1a-consensus-0.01_merged,CEC-21-5399-RHJJ-genotype-1a-consensus-0.01_merged,0.0474329
CEC-23-9963-AHA-genotype-1a-consensus-0.01_merged,CEC-21-5742-TAFR-genotype-1a-consensus-0.01_merged,0.0876034
CEC-22-8377-MOMA-genotype-1a-consensus-0.01_merged,CEC-22-7745-LSFJ-genotype-1a-consensus-0.01_merged,0.0491818
CEC-22-7992-FAEA-genotype-1a-consensus-0.01_merged,CEC-22-8272-AA-genotype-1a-consensus-0.01_merged,0.00840284
CEC-22-7851-MGCI-genotype-1a-consensus-0.01_merged,CEC-22-8794-ORLG-genotype-1a-consensus-0.01_merged,0.056508
CEC-22-9668-PEA-genotype-1a-consensus-0.01_merged,CEC-22-6798-VRE-genotype-1a-consensus-0.01_merged,0.0522903
CEC-23-10114-MLM-genotype-1a-consensus-0.01_merged,CEC-22-7846-PBVH-genotype-1a-consensus-0.01_merged,0.00289142
CEC-21-5464-MMJA-genotype-1a-consensus-0.01_merged,CEC-22-9402-RLSES-genotype-1a-consensus-0.01_merged,0.00969683
CEC-22-7104-GTEC-genotype-1a-consensus-0.01_merged,CEC-22-7850-SLAE-genotype-1a-consensus-0.01_merged,0.00032124
CEC-22-8407-FRMD-genotype-1a-consensus-0.01_merged,CEC-22-6916-HRIA-genotype-1a-consensus-0.01_merged,0.065077
CEC-23-10070-GDI-genotype-1a-consensus-0.01_merged,CEC-22-9521-CGA-genotype-1a-consensus-0.01_merged,0.0421607
CEC-21-4950-MLO-genotype-1a-consensus-0.01_merged,CEC-22-7528-RZA-genotype-1a-consensus-0.01_merged,0.0356358
CEC-22-7439-GAR-genotype-1a-consensus-0.01_merged,CEC-22-7263-VRJM-genotype-1a-consensus-0.01_merged,0.0464118
